planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJqfVhLdgX2jER2kZ_c0HspPA,BriliBrain Edu Chinese Tuition Centre (给力华文),"520 Balestier Rd, VIIO @ Balestier, Singapore 329853",5.0,88,"[""establishment"", ""point_of_interest""]",1.3270832,103.8458365,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJi5Hl56kZ2jERnWxvqONlgbg,MapleBear Moulmein,"207 Balestier Rd, #03-01, Singapore 329683",4.8,35,"[""establishment"", ""point_of_interest"", ""school""]",1.3210019,103.8525792,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJtRuEGmAX2jERr_CziDS8r14,Little Footprints Preschool @ Balestier,"530 Balestier Rd, #01-02/03 Monville Mansion, Singapore 329857",4.9,34,"[""establishment"", ""point_of_interest"", ""school""]",1.3270987,103.8457551,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJQ1q5qfsZ2jERqRFB8AHRb88,PlayFACTO School @ Balestier | Student Care Balestier,"360 Balestier Rd, #03-05/06 Shaw Plaza, Singapore 329783",4.9,119,"[""establishment"", ""point_of_interest""]",1.3250218,103.851151,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJ-6SREGYa2jERD9UbyecWlJg,Singapore Centre for Chinese Language (SCCL),"565 Balestier Rd, #05-05, Singapore 329927",4.6,8,"[""establishment"", ""point_of_interest""]",1.3257583,103.8449253,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJW0xEBwsZ2jERaHDPTTMKKR4,Kinderland Preschool @ Revenue House (for civil servants and IRAS staff only),"55 Newton Rd, #05-01, Singapore 307987",4.8,35,"[""establishment"", ""point_of_interest"", ""school""]",1.3193769,103.8421082,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJQYch1-0Z2jERSnYSX4vZIls,MindChamps MindSpace @ Square 2 (Novena) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,"10 Sinaran Dr, #04-27/55 Square 2, Singapore 307506",4.7,40,"[""establishment"", ""point_of_interest""]",1.3206513,103.8443689,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJ35h6JOcZ2jER91ew6uSQCHU,Kiddiwinkie Schoolhouse @ Novena,"1 Novena Terrace, Singapore 307903",4.9,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3210943,103.8424364,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJOSddZtgZ2jERp-FWsKsQ0Gg,Little Footprints Preschool @ Balestier 2,"60 Kim Keat Rd, #01-01/03 Kim Keat House, Singapore 328827",4.9,21,"[""establishment"", ""point_of_interest"", ""school""]",1.3252909,103.85384,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJcWKu6EIZ2jERTUR7JlnDv0c,Learning Leap Student Care Centre (Newton),"204 Bukit Timah Rd, #01-00 Boon Liew Building, Singapore 229863",4.7,15,"[""establishment"", ""point_of_interest""]",1.3119379,103.8419827,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJg_ZPdNgZ2jERKh9rC0klBwc,Hajjah Rahimahbi Mosque Kindergarten,"76 Kim Keat Rd, Singapore 328835",4.4,7,"[""establishment"", ""point_of_interest"", ""school""]",1.3261613,103.8548583,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJuR6D5s0Z2jER3anRnYz7aZs,Joyful Tots at Bendemeer,"70 Bendemeer Rd, #03-03, Singapore 339940",4.6,23,"[""establishment"", ""point_of_interest"", ""school""]",1.3164173,103.8625531,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJOVDqdXwZ2jER3bOWxKg7i7M,Concept Discovery,"159A Thomson Rd, Goldhill centre, Singapore 307612",5.0,17,"[""establishment"", ""point_of_interest""]",1.3181649,103.843933,True
Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",ChIJtytWhSYX2jERE5pYBPyYhAA,Mulberry Learning @ Braddell,"1 Lor 2 Toa Payoh, #01-02/03/04, Singapore 319637",4.7,76,"[""establishment"", ""point_of_interest"", ""school""]",1.3402113,103.8474403,True
