timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:39:03.719766,text_search,1,AIzaSy...IDGw,769,Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:05.555463,text_search,1,AIzaSy...IDGw,770,Orchard,Boulevard,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:07.592931,text_search,1,AIzaSy...IDGw,771,Orchard,Boulevard,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:09.256139,text_search,1,AIzaSy...IDGw,772,Orchard,Boulevard,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:11.390835,text_search,1,AIzaSy...IDGw,773,Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:13.554465,text_search,1,AIzaSy...IDGw,774,Orchard,Boulevard,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Boulevard, Orchard, Singapore",OK,,20,
2026-07-20T15:39:15.614542,text_search,1,AIzaSy...IDGw,775,Orchard,Somerset,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:17.446134,text_search,1,AIzaSy...IDGw,776,Orchard,Somerset,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:19.664226,text_search,1,AIzaSy...IDGw,777,Orchard,Somerset,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:21.898097,text_search,1,AIzaSy...IDGw,778,Orchard,Somerset,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:23.827009,text_search,1,AIzaSy...IDGw,779,Orchard,Somerset,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:25.706460,text_search,1,AIzaSy...IDGw,780,Orchard,Somerset,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Somerset, Orchard, Singapore",OK,,20,
2026-07-20T15:39:27.820728,text_search,1,AIzaSy...IDGw,781,Orchard,Tanglin,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Tanglin, Orchard, Singapore",OK,,20,
2026-07-20T15:39:29.811858,text_search,1,AIzaSy...IDGw,782,Orchard,Tanglin,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Tanglin, Orchard, Singapore",OK,,20,
2026-07-20T15:39:31.948628,text_search,1,AIzaSy...IDGw,783,Orchard,Tanglin,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Tanglin, Orchard, Singapore",OK,,20,
2026-07-20T15:39:33.903659,text_search,1,AIzaSy...IDGw,784,Orchard,Tanglin,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Tanglin, Orchard, Singapore",OK,,20,
