planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Orchard,Boulevard,education,20,4.795,987,95.9
Orchard,Boulevard,transport,20,4.325,2301,86.5
Orchard,Boulevard,food,20,4.215,141690,84.3
Orchard,Boulevard,shopping,20,4.3,132458,86.0
Orchard,Boulevard,recreation,20,4.33,8503,86.6
Orchard,Boulevard,nature,20,4.46,34537,89.2
Orchard,Somerset,education,20,4.739,823,94.78
Orchard,Somerset,transport,20,4.325,2552,86.5
Orchard,Somerset,food,20,4.315,119436,86.3
Orchard,Somerset,shopping,20,4.295,157838,85.9
Orchard,Somerset,recreation,20,4.385,11978,87.7
Orchard,Somerset,nature,20,4.38,180557,87.6
Orchard,Tanglin,education,20,4.711,1036,94.22
Orchard,Tanglin,transport,20,4.326,1742,86.52
Orchard,Tanglin,food,20,4.25,136670,85.0
Orchard,Tanglin,shopping,20,4.325,181882,86.5
Orchard,Tanglin,recreation,20,4.535,6985,90.7
Orchard,Tanglin,nature,20,4.435,30246,88.7
