planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJIROZiW8Z2jERkijlp_0ZWBE,Kiddiwinkie Schoolhouse @ Orchard,"15 Scotts Rd, #02-01 Thong Teck Building, Singapore 228218",4.8,49,"[""establishment"", ""point_of_interest"", ""school""]",1.3079487,103.8325852,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJ24gDtIwZ2jERQXnNShn9mUU,MapleBear Orchard,"442 Orchard Rd, Singapore 238879",5.0,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3074332,103.8287549,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJBaw6-5YZ2jERuBHq4mqdAk8,Brainy Child Montessori Learning Centre,"150 Orchard Rd, #05-38/43 Orchard Plaza, Singapore 238841",4.9,67,"[""establishment"", ""point_of_interest"", ""school""]",1.301086,103.8409854,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJeRAZJKMZ2jEReqgQnY-FnXc,YMCA Education,"1 Orchard Rd, Singapore 238824",4.3,4,"[""establishment"", ""point_of_interest""]",1.297606,103.8479948,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJM_36YxoX2jERbUVXfDO3OUg,Lyza Education @ Orchard,"545 Orchard Rd, #16-07A Far East Shopping Centre, Singapore 238882",5.0,41,"[""establishment"", ""point_of_interest""]",1.305512,103.8300944,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJ-b9b7goa2jERaNDixhYc6Qw,Learning Vision Hwa Chong,"673 Bukit Timah Rd, Hall D Hwa Chong Institution Boarding School, Singapore 269735",4.9,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3249853,103.7997397,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJLQGKZs4Z2jERpEubiqeOf1c,Little Scholars - Tuition Centre & Enrichment Classes in Orchard Road Singapore,"150 Orchard Rd, #08-12, Singapore 238841",5.0,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3009768,103.8410562,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJL2b6iToa2jERLPjNN7hKfIE,Children's Cove Preschool,"58 Jln Penjara, Singapore 149382",4.7,103,"[""establishment"", ""point_of_interest"", ""school""]",1.2993345,103.8071035,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJUYykUEUa2jERze28RnPFuqo,"Creative Campus (Orchard) - English & Literature Tuition and Enrichment Centre, GP and IB Tuition","545 Orchard Rd, #14-07/08 Far East Shopping Centre, Singapore 238882",4.9,76,"[""establishment"", ""point_of_interest""]",1.3054908,103.8300058,True
Orchard,Boulevard,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boulevard, Orchard, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
