planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Orchard,Tanglin,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,4.6,422,0,Joseph Lim,https://www.google.com/maps/contrib/106647801599884165582/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIOSj0yfvCL_FVVcYSqkrA97Kwc8H_q_z0sNRncPzsDwRbo3A=s128-c0x00000000-cc-rp-mo-ba5,4,2 weeks ago,1783248342,"Nice and quiet.  Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""checking and secure my seat booking"", thus the booking got canceled,  and went to someone else."
Orchard,Tanglin,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,4.6,422,1,Cuong Nguyen (Alfred),https://www.google.com/maps/contrib/109524607658296668317/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUwWB73-gZyYlSTXwTRA2ONyR6nwVVP_6ppg9KlGII218zoysbfsw=s128-c0x00000000-cc-rp-mo-ba5,5,8 months ago,1762137776,"Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice view over a green park."
Orchard,Tanglin,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,4.6,422,2,Melene Loo,https://www.google.com/maps/contrib/102904063770296029909/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKtm6WZcXgHRdRK0OTg76kreXhmo4cDoJ9BW6vsXuWmKu2OJQ=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1745477902,"building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats

if you really want a table, they have a table booking system you can use to ensure you have one when you get there!"
Orchard,Tanglin,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,4.6,422,3,Flo G,https://www.google.com/maps/contrib/113094459489500763998/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVtC6JoZPBVDy6v1c0cYP1Dgw7gEx0mwSducKz9XQu4a_Aq4a5C=s128-c0x00000000-cc-rp-mo-ba7,5,2 years ago,1718814524,"Nostalgia a plenty in this well preserved library that houses many childhood memories for some.

Located in the quiet side of Queenstown facing sky residences @ Dawson, short walk from Queenstown MRT, a cozy library to spend your time here.

2 levels served by a lift & stairs, lots of reading areas and I particularly enjoy the level 2 quiet reading room facing the greenery.

There are lots of nostalgia and nice touches to this library.

Take your time to explore, read, borrow or exchange. what a privilege!"
Orchard,Tanglin,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,4.6,422,4,Raghul Vijay,https://www.google.com/maps/contrib/114921605524491320290/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI1nWcOfMV3spP-yWrdL_Tdibcr3w1jyltRKZo9Xe8-zfV3Aw=s128-c0x00000000-cc-rp-mo,3,3 months ago,1776665526,"As of April 2026: It is a old school library with the kinda of nostalgia you get when you visited a library in the 2000's.

Most of the Library's floor space is dedicated to books with working space being rather limited. It's not very convenient to access either as you gotta walk abit from the MRT station and not much amenities nearby.

The tables tend to get booked out until like 7pm ish. With patrons playing musical chairs where someone who has a booking asks those who didn't make a booking to move.

Interesting mix of patrons, with elderly men being the majority and somehow quite a few expats."
Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,0,Vlad Tapia,https://www.google.com/maps/contrib/104302249587464076392/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVujY_BVCu76Ul_zk_keYrNHc2oAYmjCeDAhMeCKO0acL5uibbO=s128-c0x00000000-cc-rp-mo-ba5,5,9 months ago,1759733707,Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center.
Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,1,Pauline Wong,https://www.google.com/maps/contrib/105049081627213827044/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKEdk4RloMmf3H8ZUsr3WPyiCFNeb-7i4S5tDHZ-WYMIZ86dg=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764138348,"Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls!"
Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,2,Caleb Tan,https://www.google.com/maps/contrib/113662045918405903382/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJx6byWBOl-84nPNWAy7nj8HGSdOXkeSfNxn8d4806X_0jAuY3c=s128-c0x00000000-cc-rp-mo-ba4,1,a year ago,1733913912,"Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court.

Had so much potential as one of the only few sheltered basketball courts in the area but unfortunately poorly maintained and not used to its potential.

Can you imagine a basketball court that is booked every evening (except Tuesdays) for non-basketball related activities? This is it."
Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,3,Tran Jolly,https://www.google.com/maps/contrib/109190124922135975831/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXosDTt2_TDxjWEbgW7J4MVPpu6aUyz7tQ_SmRFTDgeQoOrtPdBdA=s128-c0x00000000-cc-rp-mo,1,5 months ago,1770794431,"Appealing for CDC voucher, take almost 1 month didn't approve.  Call every single day,the staffs kept give the reason * in- charge is not in the office * . Just wondering when the in charge will be in the office,? And when the voucher will be issued???"
Orchard,Boulevard,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,4,Keith,https://www.google.com/maps/contrib/112794073900214876808/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIKvowqxeXEm2meqhyZCXr5rmIJ_Xe2qUV7NdM0uQ6iaGdKww=s128-c0x00000000-cc-rp-mo,5,8 months ago,1763195988,I went over to do some collection and update certain issues. I was served by Mr Stanley Tan who was outstanding in his customer handling. He was patient and always answered my questions well and it showed his good product knowledge. He was courteous and a credit to your CC. Kindly convey my thanks to him
