timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:39:46.670998,text_search,1,AIzaSy...IDGw,796,Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",OK,,18,
2026-07-20T15:39:48.727985,text_search,1,AIzaSy...IDGw,797,Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",OK,,20,
2026-07-20T15:39:50.569029,text_search,1,AIzaSy...IDGw,798,Outram,China Square,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near China Square, Outram, Singapore",OK,,20,
2026-07-20T15:39:55.297342,text_search,1,AIzaSy...IDGw,799,Outram,China Square,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near China Square, Outram, Singapore",OK,,20,
2026-07-20T15:39:57.657821,text_search,1,AIzaSy...IDGw,800,Outram,China Square,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near China Square, Outram, Singapore",OK,,20,
2026-07-20T15:39:59.521901,text_search,1,AIzaSy...IDGw,801,Outram,China Square,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near China Square, Outram, Singapore",OK,,20,
2026-07-20T15:40:02.070418,text_search,1,AIzaSy...IDGw,802,Outram,Chinatown,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:03.706732,text_search,1,AIzaSy...IDGw,803,Outram,Chinatown,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:05.677859,text_search,1,AIzaSy...IDGw,804,Outram,Chinatown,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:07.814882,text_search,1,AIzaSy...IDGw,805,Outram,Chinatown,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:09.804938,text_search,1,AIzaSy...IDGw,806,Outram,Chinatown,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:12.069113,text_search,1,AIzaSy...IDGw,807,Outram,Chinatown,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Chinatown, Outram, Singapore",OK,,20,
2026-07-20T15:40:14.127790,text_search,1,AIzaSy...IDGw,808,Outram,Pearl'S Hill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pearl'S Hill, Outram, Singapore",OK,,20,
2026-07-20T15:40:15.978849,text_search,1,AIzaSy...IDGw,809,Outram,Pearl'S Hill,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Pearl'S Hill, Outram, Singapore",OK,,20,
2026-07-20T15:40:17.915021,text_search,1,AIzaSy...IDGw,810,Outram,Pearl'S Hill,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Pearl'S Hill, Outram, Singapore",OK,,20,
2026-07-20T15:40:19.952912,text_search,1,AIzaSy...IDGw,811,Outram,Pearl'S Hill,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Pearl'S Hill, Outram, Singapore",OK,,20,
2026-07-20T15:40:22.472930,text_search,1,AIzaSy...IDGw,812,Outram,Pearl'S Hill,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Pearl'S Hill, Outram, Singapore",OK,,20,
2026-07-20T15:40:24.316814,text_search,1,AIzaSy...IDGw,813,Outram,Pearl'S Hill,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Pearl'S Hill, Outram, Singapore",OK,,15,
2026-07-20T15:40:26.113423,text_search,1,AIzaSy...IDGw,814,Outram,People'S Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:28.364676,text_search,1,AIzaSy...IDGw,815,Outram,People'S Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:30.340669,text_search,1,AIzaSy...IDGw,816,Outram,People'S Park,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:32.062785,text_search,1,AIzaSy...IDGw,817,Outram,People'S Park,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:34.334294,text_search,1,AIzaSy...IDGw,818,Outram,People'S Park,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:36.170412,text_search,1,AIzaSy...IDGw,819,Outram,People'S Park,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near People'S Park, Outram, Singapore",OK,,20,
2026-07-20T15:40:36.214294,place_details_reviews,1,AIzaSy...IDGw,819,Outram,People'S Park,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,OK,,5,Queenstown Library
2026-07-20T15:40:36.215341,place_details_reviews,1,AIzaSy...IDGw,819,Outram,China Square,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:40:36.960710,place_details_reviews,1,AIzaSy...IDGw,820,Outram,China Square,shopping,shopping groceries malls supermarkets markets,ChIJBXC7TAsZ2jERdpAi-2uczMQ,OK,,5,Chinatown Point
2026-07-20T15:40:36.961431,place_details_reviews,1,AIzaSy...IDGw,820,Outram,Pearl'S Hill,nature,parks gardens nature waterfront park connectors,ChIJC_hOgcgb2jERfF9HNB10xfI,OK,,5,HortPark
2026-07-20T15:40:36.961715,place_details_reviews,1,AIzaSy...IDGw,820,Outram,Chinatown,education,education facilities schools childcare libraries,ChIJDcJs9UEZ2jER4dKm3CUVyMk,OK,,5,Harbourfront Library
2026-07-20T15:40:36.962075,place_details_reviews,1,AIzaSy...IDGw,820,Outram,China Square,recreation,recreation sports gyms swimming community clubs,ChIJG54AV6YZ2jEREJaczuWecw8,OK,,5,Singapore Recreation Club
2026-07-20T15:40:36.962518,place_details_reviews,1,AIzaSy...IDGw,820,Outram,China Square,education,education facilities schools childcare libraries,ChIJJfVEO6UZ2jERq7ZasSTiEgg,OK,,5,Central Library
2026-07-20T15:40:36.962777,place_details_reviews,1,AIzaSy...IDGw,820,Outram,Chinatown,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T15:40:36.962968,place_details_reviews,1,AIzaSy...IDGw,820,Outram,China Square,nature,parks gardens nature waterfront park connectors,ChIJMxZ-kwQZ2jERdsqftXeWCWI,OK,,5,Gardens by the Bay
2026-07-20T15:40:36.963128,place_details_reviews,1,AIzaSy...IDGw,820,Outram,Chinatown,shopping,shopping groceries malls supermarkets markets,ChIJR1Fyfr0Z2jERzwO-AZiJ-HM,OK,,5,Plaza Singapura
2026-07-20T15:40:36.963356,place_details_reviews,1,AIzaSy...IDGw,820,Outram,People'S Park,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,OK,,5,Singapore Swimming Club
2026-07-20T15:40:37.824410,place_details_reviews,1,AIzaSy...IDGw,821,Outram,China Square,education,education facilities schools childcare libraries,ChIJScI1FHoZ2jERNfs4hj7_ytE,OK,,5,Tiong Bahru Community Centre
2026-07-20T15:40:37.825568,place_details_reviews,1,AIzaSy...IDGw,821,Outram,China Square,nature,parks gardens nature waterfront park connectors,ChIJVSYjJKIZ2jERpRFinATD52s,OK,,5,Fort Canning Park
2026-07-20T15:40:37.826635,place_details_reviews,1,AIzaSy...IDGw,821,Outram,China Square,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,OK,,5,City Square Mall
2026-07-20T15:40:37.827193,place_details_reviews,1,AIzaSy...IDGw,821,Outram,China Square,transport,public transport MRT LRT bus stops,ChIJfaoDoHQZ2jERLr4T5bcHKgM,OK,,5,Chinatown
2026-07-20T15:40:37.828070,place_details_reviews,1,AIzaSy...IDGw,821,Outram,Chinatown,nature,parks gardens nature waterfront park connectors,ChIJi090zPwS2jERiJCqFWoP8Z4,OK,,5,Woodlands Waterfront Park
2026-07-20T15:40:37.828648,place_details_reviews,1,AIzaSy...IDGw,821,Outram,Chinatown,transport,public transport MRT LRT bus stops,ChIJj7KfORMZ2jERJAUe-Q0aW5I,OK,,5,Tanjong Pagar
2026-07-20T15:40:37.829011,place_details_reviews,1,AIzaSy...IDGw,821,Outram,Chinatown,shopping,shopping groceries malls supermarkets markets,ChIJj7TW9LoZ2jERQgNlXkKhASQ,OK,,5,Bugis Street
2026-07-20T15:40:38.748853,place_details_reviews,1,AIzaSy...IDGw,822,Outram,China Square,recreation,recreation sports gyms swimming community clubs,ChIJmcUnag4Z2jERW51bPSTihd0,OK,,5,Fitness First @ One Raffles Quay
2026-07-20T15:40:38.750892,place_details_reviews,1,AIzaSy...IDGw,822,Outram,Pearl'S Hill,shopping,shopping groceries malls supermarkets markets,ChIJo7SpNMYZ2jER15JNmTE6Ne0,OK,,5,Mustafa Centre
