planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ2zOiSwsZ2jERY2Wt9PYlO_A,Chinatown Library,"133 New Bridge Rd, #04-12 Chinatown Point, Singapore 059413",3.6,160,"[""establishment"", ""library"", ""point_of_interest""]",1.2852093,103.8447228,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJc21FHncZ2jERTiZcR-ZeS8o,The Chinese Kindergarten Preschool,"256 Outram Rd, Singapore 169053",4.5,12,"[""establishment"", ""point_of_interest"", ""school""]",1.2857555,103.8359317,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJq6o66w0Z2jERJadnQLulA80,MindChamps Chinese PreSchool @ Cecil Street,"105 Cecil St, #04-01/04, Singapore 069534",4.7,26,"[""establishment"", ""point_of_interest"", ""school""]",1.2806884,103.8492068,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJo-E5RxIZ2jERb28ybXebVTI,Mulberry Learning @ Shenton Way,"6A Shenton Wy, #03-01/04/04A/05 Downtown Gallery, Singapore 068809",4.4,45,"[""establishment"", ""point_of_interest""]",1.2771468,103.8485274,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJj8lwOGwZ2jERCKcuHsVr4Z0,T.E.A.M. Student Care @ Tanjong Pagar (Cantonment),"101 Cantonment Rd, #01-04 Community Club, Singapore 089774",4.9,32,"[""establishment"", ""point_of_interest""]",1.2765467,103.8416837,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJQebkZf4Z2jERD4PaG3nxw1o,Superland Pre-School (Ganges),"568 Ganges Ave, #02-102, Singapore 160568",3.7,12,"[""establishment"", ""point_of_interest"", ""school""]",1.2899641,103.831136,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJScI1FHoZ2jERNfs4hj7_ytE,Tiong Bahru Community Centre,"67A Eu Chin St, CC, Singapore 169715",4.2,404,"[""establishment"", ""point_of_interest""]",1.2834582,103.831883,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ19vsmxIZ2jERQCivSBJ3liI,Kinderland Child Care Centre Shenton Way,"7 Maxwell Rd, Singapore 069111",5.0,1,"[""establishment"", ""point_of_interest""]",1.2794012,103.8467008,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJm605JyAZ2jERbXw3tTLfTEc,Pat's Learning Space,"335B Smith St, Singapore 052335",5.0,11,"[""establishment"", ""point_of_interest""]",1.2823787,103.8435143,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJEYhXuBIZ2jERCTJH4PpNIHQ,The Children Learning Centre Pte Ltd,"5 Maxwell Rd, Singapore 069110",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.278909,103.845805,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ91tFFncZ2jERR8MIEb_n53w,Outram Cdc/Nursery/Kindergarten,"254 Outram Rd, Singapore 169051",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.2853086,103.835141,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJF3PfLdMZ2jERvGa4zD3aoOk,My Childhood Place HPGT Studio (Student Care),"178 Clemenceau Ave, #07-00 Har Paw Glass Tower, Singapore 239926",4.6,9,"[""establishment"", ""point_of_interest""]",1.2969995,103.8440893,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ1UW7cBMZ2jERkUDWq4dWArU,International Centre For Early Childhood,"8 Shenton Wy, Singapore 068811",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.2760157,103.8469077,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ5baPsoEZ2jERC-0L3SHs-Zc,GATE Junior - Orchard,"178 Clemenceau Ave, #01-00 Haw Par Glass Tower, Singapore 239926",5.0,6,"[""establishment"", ""point_of_interest"", ""school""]",1.2969995,103.8440893,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJiePXyigZ2jERKmSLAqZM8Oo,Thrive At Schools,"105 Cecil St, #06-02H The Octagon, Singapore 069534",,0,"[""establishment"", ""point_of_interest""]",1.2806884,103.8492068,True
Outram,China Square,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near China Square, Outram, Singapore",ChIJ2VzqOGwZ2jER5rzcSCmWjMc,Kidspace Learning Place Cantonment,"Maritime House, #04-00, 120 Cantonment Rd, Singapore 089760, Singapore 089760",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.276612,103.840361,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJG8EyZHMZ2jER9b122AhLjwA,Chinatown Stn Exit C,Singapore,4.1,16,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.284143,103.843059,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJY2dDtHQZ2jERK9ul7zwkaDM,Chinatown Stn Exit E,Singapore,3.6,14,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.285311,103.844551,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJfaoDoHQZ2jERLr4T5bcHKgM,Chinatown,"151 New Bridge Road 91 Upper Cross Street Singapore 059443/058362, New Bridge Rd, Singapore 059443",4.3,785,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.28452,103.84357,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJtzd0DXIZ2jERyvX8DFuL7Hw,Outram Pk Stn Exit 4,Singapore,4.0,27,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.280276,103.840302,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJaRyBB3IZ2jERiBztojttuT0,Outram Park,"Outram Rd, Singapore 169037",4.2,322,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.2814435,103.8391367,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJIZy2pXQZ2jERLkykYs_kU9E,Chinatown MRT station,Singapore,4.2,122,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2847875,103.8439312,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJsxht-eEZ2jER1cl3Egt3Na4,Chinatown MRT Station (DT19),"91 Upper Cross St, Singapore 058362",4.5,761,"[""establishment"", ""point_of_interest""]",1.2850731,103.8437719,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJL4A5mnEZ2jERSnwBN2eysvU,Outram Pk Stn Exit 7,Singapore,4.0,7,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2806461,103.839078,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJZeKeyXQZ2jERibb0S39rgiY,Aft Chinatown Stn Exit D,Singapore,4.1,7,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.28571,103.84438,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJpYdkhnEZ2jERhcrXZB-w43w,Outram Pk Stn Exit 1,Singapore,4.3,7,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.28177,103.838387,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJgxfaDm4Z2jERslXxemkYIh4,Outram Pk Stn Exit 6/SGH,Singapore,2.0,4,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.2790214,103.8385521,True
Outram,China Square,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near China Square, Outram, Singapore",ChIJtfpUrgwZ2jERHO8H8yW2_CU,Opp Chinatown Stn,Singapore,4.5,4,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2840377,103.8452651,True
