planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Pasir Ris,Flora Drive,education,20,4.655,665,93.1
Pasir Ris,Flora Drive,transport,20,3.935,1778,78.7
Pasir Ris,Flora Drive,food,20,4.095,23661,81.9
Pasir Ris,Flora Drive,shopping,20,4.13,29268,82.6
Pasir Ris,Flora Drive,recreation,20,4.44,6865,88.8
Pasir Ris,Flora Drive,nature,20,4.27,11489,85.4
Pasir Ris,Loyang East,education,20,4.78,1695,95.6
Pasir Ris,Loyang East,transport,20,4.11,1945,82.2
Pasir Ris,Loyang East,food,20,4.35,24253,87.0
Pasir Ris,Loyang East,shopping,20,4.155,31026,83.1
Pasir Ris,Loyang East,recreation,20,4.385,9846,87.7
Pasir Ris,Loyang East,nature,20,4.33,20341,86.6
Pasir Ris,Loyang West,education,20,4.815,1754,96.3
Pasir Ris,Loyang West,transport,20,4.205,1958,84.1
Pasir Ris,Loyang West,food,20,4.28,25574,85.6
Pasir Ris,Loyang West,shopping,20,4.125,30638,82.5
Pasir Ris,Loyang West,recreation,20,4.42,22602,88.4
Pasir Ris,Loyang West,nature,20,4.3,21505,86.0
Pasir Ris,Pasir Ris Central,education,20,4.81,863,96.2
Pasir Ris,Pasir Ris Central,transport,20,3.715,2507,74.3
Pasir Ris,Pasir Ris Central,food,20,4.315,15082,86.3
Pasir Ris,Pasir Ris Central,shopping,20,4.14,29674,82.8
Pasir Ris,Pasir Ris Central,recreation,14,4.521,5289,90.42
Pasir Ris,Pasir Ris Central,nature,20,4.47,9418,89.4
Pasir Ris,Pasir Ris Drive,education,20,4.685,757,93.7
Pasir Ris,Pasir Ris Drive,transport,20,3.725,1784,74.5
Pasir Ris,Pasir Ris Drive,food,20,4.225,14820,84.5
Pasir Ris,Pasir Ris Drive,shopping,20,4.15,29053,83.0
Pasir Ris,Pasir Ris Drive,recreation,18,4.406,6391,88.12
Pasir Ris,Pasir Ris Drive,nature,10,4.51,8678,90.2
Pasir Ris,Pasir Ris Park,education,20,4.725,792,94.5
Pasir Ris,Pasir Ris Park,transport,20,3.89,8102,77.8
Pasir Ris,Pasir Ris Park,food,20,4.37,16811,87.4
Pasir Ris,Pasir Ris Park,shopping,20,4.15,29053,83.0
Pasir Ris,Pasir Ris Park,recreation,20,4.34,21683,86.8
Pasir Ris,Pasir Ris Park,nature,20,4.485,9456,89.7
Pasir Ris,Pasir Ris Wafer Fab Park,education,20,4.755,828,95.1
Pasir Ris,Pasir Ris Wafer Fab Park,transport,20,3.847,8824,76.94
Pasir Ris,Pasir Ris Wafer Fab Park,food,20,4.19,58427,83.8
Pasir Ris,Pasir Ris Wafer Fab Park,shopping,20,4.12,31428,82.4
Pasir Ris,Pasir Ris Wafer Fab Park,recreation,12,4.458,18445,89.16
Pasir Ris,Pasir Ris Wafer Fab Park,nature,20,4.48,16408,89.6
Pasir Ris,Pasir Ris West,education,20,4.81,785,96.2
Pasir Ris,Pasir Ris West,transport,20,3.81,2209,76.2
Pasir Ris,Pasir Ris West,food,20,4.245,15603,84.9
Pasir Ris,Pasir Ris West,shopping,20,4.15,30089,83.0
Pasir Ris,Pasir Ris West,recreation,20,4.385,22536,87.7
Pasir Ris,Pasir Ris West,nature,20,4.515,13473,90.3
