planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Pasir Ris,Flora Drive,education,10,4.3,2,2,2,0,1,0,0,0,1,0,0,0,My daughter has been with Playfactor Vidacity for 2 years already. Shout out to Ms Sylvia and Ms Judy for their hard work. Always follow up on my daughter ting xie and spelling. An... || PlayFACTO Vidacity provides a conducive and child-centric environment. Regular open communication and maintained on child's progress and well-being. Academic materials are aligned ... || Spacious and nice environment. The teachers are nurturing and help with effective supervision of spelling and 听写. Kids are happy at the centre and get along very well with the teac...,0,2,1,0,1,0
Pasir Ris,Flora Drive,transport,10,3.9,1,0,1,1,4,0,0,1,4,0,0,0,"The newly opened Pasir Ris Bus Interchange is a great transport hub offering quick access to the mall and MRT station. It boasts excellent facilities and conveniences, including a ... || Fully air-conditioned bus interchange with shops, similar to Toa Payoh Bus Interchange. Lets dive in! Newly opened bus interchange in Pasir Ris connected to Pasir Ris Mall. This is... || New bus interchange fully air conditioned But still need to open the main link to mrt n interchange Current exit gate 3 is not ok if heavy rain or raining or sunny shelter is missi...",1,0,4,-1,4,0
Pasir Ris,Flora Drive,food,10,3.8,1,0,1,0,1,0,0,0,0,0,1,2,"Many stalls are closed or not rented out.. those that stays open have pretty good standard and choice available. The hawker is airy and face a park, it’s windy and very serene in t... || Special mention to the gourmet mixed rice at level 1! Couple running the stall is very generous and nice, food is perfect for my palate (not too oily, spicy or salty)! Feels quite ... || Sad place. Every other stall is up for rent. Some of the stalls with great reviews didn’t survive. At 7.30pm on a Friday night, the place is empty except 1 or 2 stalls with good re...",1,1,1,0,0,-1
Pasir Ris,Flora Drive,shopping,10,3.5,1,0,0,2,0,0,0,0,4,0,0,0,"Level B1 : rating 6/10 (NTUC + a few Pharmacies + eateries) Level 1 : rating 5/10 (OCBC Bank, Macdonald, KFC) Level 2 : rating 3/10 (nothing interesting) Level 3 : rating 5/10 (DBS... || My go-to neighbourhood mall whenever I need to get my errands done—super convenient and has pretty much everything I need in one place. I especially love the public library there, ... || The first shopping centre at Pasir Ris .It still holds that familiar charm with many of the old tenants still there. As it is just next to the mrt station, it remains an important ...",1,-2,0,0,4,0
Pasir Ris,Flora Drive,recreation,10,3.2,0,0,0,1,0,1,0,0,0,0,1,0,"The space is not well plan. The table tennis area is very hot. They need to have renovation to bring the live back. It is unhealthy to let people want to play sport to enter to thi... || Re – Pasir Ris Sports Centre Like? - facilities – { thumbs up ! } ActiveSG App - lots of features – bookings, etc. - but, but This pic was on Monday 12 Jan2026. With no similar ann... || Horribly maintained gymnasium. Small and dusty/dirty. Air conditioning mostly spoilt, using air blowers to regulate air, giving off a very musty/sweaty/dusty/stuffy environment. Fe...",0,-1,-1,0,0,1
Pasir Ris,Flora Drive,nature,10,4.8,4,0,3,2,3,0,0,0,5,0,0,0,"Beautiful park in the middle of housing estate in Sengkang. Opened area with plenty of space for outdoor activities and picnics. There is a Tenderbest restaurant nearby. Clean and ... || Love this park. Scenic. Bridges. Ponds. Chickens. Parrots. After a jog/walk, hop in to Tenderbest for a cuppa. Bliss. || Big open space. Terrapins roam free (don't feel, I guess and be careful of where you step). Also monitor lizards. Peaceful, air is so clean and fresh. Love the views and the vibes....",4,1,3,0,5,0
Pasir Ris,Loyang East,education,10,4.3,2,2,1,0,2,0,3,0,1,0,0,0,"My son has been at Kinderland since his infant care days, and now he's moving to N1 next year. The principal is incredibly responsive, and the teachers are attentive and nurturing,... || There is a special Childcare Centre - Loyang Point Kinderland Child Care Centre. ​From the outside, you might not see it, but inside this centre is a place bursting with life, love... || My child loves going to this preschool! The teachers are so caring and friendly, and they make learning really fun. I can see how much confidence and joy my little one has gained s...",0,1,2,3,1,0
Pasir Ris,Loyang East,transport,10,3.9,1,0,1,1,4,0,0,1,4,0,0,0,"The newly opened Pasir Ris Bus Interchange is a great transport hub offering quick access to the mall and MRT station. It boasts excellent facilities and conveniences, including a ... || Fully air-conditioned bus interchange with shops, similar to Toa Payoh Bus Interchange. Lets dive in! Newly opened bus interchange in Pasir Ris connected to Pasir Ris Mall. This is... || New bus interchange fully air conditioned But still need to open the main link to mrt n interchange Current exit gate 3 is not ok if heavy rain or raining or sunny shelter is missi...",1,0,4,-1,4,0
Pasir Ris,Loyang East,food,10,3.8,1,0,1,0,1,0,0,0,0,0,1,2,"Many stalls are closed or not rented out.. those that stays open have pretty good standard and choice available. The hawker is airy and face a park, it’s windy and very serene in t... || Special mention to the gourmet mixed rice at level 1! Couple running the stall is very generous and nice, food is perfect for my palate (not too oily, spicy or salty)! Feels quite ... || Sad place. Every other stall is up for rent. Some of the stalls with great reviews didn’t survive. At 7.30pm on a Friday night, the place is empty except 1 or 2 stalls with good re...",1,1,1,0,0,-1
Pasir Ris,Loyang East,shopping,10,3.5,1,0,0,2,0,0,0,0,4,0,0,0,"Level B1 : rating 6/10 (NTUC + a few Pharmacies + eateries) Level 1 : rating 5/10 (OCBC Bank, Macdonald, KFC) Level 2 : rating 3/10 (nothing interesting) Level 3 : rating 5/10 (DBS... || My go-to neighbourhood mall whenever I need to get my errands done—super convenient and has pretty much everything I need in one place. I especially love the public library there, ... || The first shopping centre at Pasir Ris .It still holds that familiar charm with many of the old tenants still there. As it is just next to the mrt station, it remains an important ...",1,-2,0,0,4,0
