planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJByeM-6892jER9tfUdM04Jdw,Little Olive Tree (Pasir Ris 21),"229 Pasir Ris Street 21, #01-28 Block 229, Singapore 510229",5.0,9,"[""establishment"", ""point_of_interest""]",1.3727474,103.961761,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJiZOZRK092jERWQVTt9fGgKw,Edventure Learning Academy (Pasir Ris),"1 Pasir Ris Cl, #02-344 E!Avenue@Downtown East, Singapore 519599",5.0,2,"[""establishment"", ""point_of_interest""]",1.3774014,103.9554328,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJ6Zqi2qg92jERj1HIKZv9xtw,Pasir Ris 51 Student Care Centre,"561 Pasir Ris Street 51, Singapore 510561",4.0,1,"[""establishment"", ""point_of_interest""]",1.367324,103.9514351,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJDfbNZ_g92jEROkyS0QiEP2w,Life Student Care (Park View),"60 Pasir Ris Dr 1, Singapore 519524",5.0,3,"[""establishment"", ""point_of_interest""]",1.3774573,103.9393942,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJFQx2I5g92jER5DgethGhhDw,My First Skool at 3 Pasir Ris Drive | Preschool | Kindergarten | Childcare | Infant Care | Large Centre,"3 Pasir Ris Drive 6, Singapore 519419",4.8,40,"[""establishment"", ""point_of_interest"", ""school""]",1.3708415,103.9559136,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJgeoTqVQ82jER5_eK0Te4aHQ,New Life Preschool @ Pasir Ris,"Blk 214 Pasir Ris Street 21, #01-256, Singapore 510214",4.6,20,"[""establishment"", ""point_of_interest"", ""school""]",1.3678231,103.961273,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJuepKr1w92jERMsHXPzbJyaU,Little Olive Tree (Pasir Ris 51),"Pasir Ris Street 51, #01-265, Singapore 510561",5.0,12,"[""establishment"", ""point_of_interest""]",1.3670285,103.9506103,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJVfwveFQ82jERkSNTdOck4TQ,Bethesda (Pasir Ris) Kindergarten,"11 Pasir Ris Drive 2, Singapore 518458",4.7,35,"[""establishment"", ""point_of_interest"", ""school""]",1.3678222,103.9645428,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJ4Y94tfg92jERSaoxN73xSBo,PlayFACTO School @ Pasir Ris Vidacity | Student Care Pasir Ris,"3A Pasir Ris Drive 6 Vidacity, #01-41, Singapore 519419",4.9,52,"[""establishment"", ""point_of_interest"", ""school""]",1.3708415,103.9559136,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJFYYvh2892jER9jRMpK1Nzj4,Children's Cove Preschool - Pasir Ris,"443 Pasir Ris Drive 6, #03-02, Singapore 510443",4.9,31,"[""establishment"", ""point_of_interest"", ""school""]",1.3692862,103.9573534,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJa05RW7I92jERb3zb2A9pBvU,Sunflower Preschool @ Pasir Ris,"Pasir Ris Drive 6, #01-464 Block 472, Singapore 510472",4.9,45,"[""establishment"", ""point_of_interest"", ""school""]",1.3741653,103.9573188,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJt32_-6892jERnWIg-gesfQ0,Pasir Ris Library,"1 Pasir Ris Central St 3, #04 - 01 / 06 White Sands, Singapore 518457",4.3,228,"[""establishment"", ""library"", ""point_of_interest""]",1.3723308,103.9498495,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJg1_olCo92jERAhEjKgkKZ9s,Learning Adventure Preschool @ Pasir Ris,"15 Pasir Ris Way, Singapore 518531",5.0,33,"[""establishment"", ""point_of_interest"", ""school""]",1.3812703,103.9457203,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJ3WJUW7w92jER9xBOUNRrHiQ,Edufront Learning Centre - Pasir Ris,"614 Elias Rd, #01-120, Singapore 510614",4.5,24,"[""establishment"", ""point_of_interest""]",1.3756814,103.9416969,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJ7yELia892jERZr3Oy5X4XNc,Little Preschool (Pasir Ris) Pte Ltd,"530C Pasir Ris Dr 1, #01-396, Singapore 513530",4.7,23,"[""establishment"", ""point_of_interest"", ""school""]",1.3715655,103.9498805,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJ2wbI9aU92jERXhYFDptMnro,PlayFACTO School @ Elias,"631 Pasir Ris Dr 3, #01-388, Singapore 510631",4.8,47,"[""establishment"", ""point_of_interest""]",1.3789831,103.9401988,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJNRykZLQ92jERPfAhH1UMieg,Riverlife Kindergarten,"6 Loyang Besar Cl, Singapore 509026",4.9,39,"[""establishment"", ""point_of_interest"", ""school""]",1.378617,103.957872,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJN3RKaKw92jERx41mn_uzH_0,Knowledge Park Student Care @ Pasir Ris,"443 Pasir Ris Drive 6, #02-04, Singapore 510443",3.3,12,"[""establishment"", ""point_of_interest""]",1.369182,103.9572857,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJefDFRCA92jERiBDcpvm2F3c,My First Skool at Blk 524C Pasir Ris St 51,"Blk 524C Pasir Ris Street 51, #02-593, Singapore 513524",4.0,1,"[""establishment"", ""point_of_interest"", ""school""]",1.3708851,103.9475655,True
Pasir Ris,Flora Drive,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Flora Drive, Pasir Ris, Singapore",ChIJISCCm5U92jERh6WbF4ESUkA,My Little Campus - MLC (Pasir Ris),"735 Pasir Ris Street 72, #02-344, Singapore 510735",4.8,8,"[""establishment"", ""point_of_interest"", ""school""]",1.379692,103.936062,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJMSK0G6892jERrevpmFqOa-s,Pasir Ris Town Pk,Singapore,4.3,4,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3694961,103.9514547,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJh01u3q892jERy3y75Crc-Rs,Opp Pasir Ris Stn Exit A,Singapore,4.8,4,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.372543,103.950813,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJC4hkIKw92jERgTxj5i-pEzk,Blk 425,Singapore,4.0,2,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.369361,103.955063,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJ3_zVsLo92jER-6vR02ktD3s,Opp Pasir Ris Interchange/Polyclinic,Singapore,2.6,8,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3728313,103.947632,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJswassbo92jERqsWES5JFTo8,Pasir Ris Interchange/Polyclinic,Singapore,3.7,3,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.373135,103.948029,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJbU0IDLA92jER6AOQvkcd3Lg,Pasir Ris Interchange,Singapore,3.4,38,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.373124,103.948057,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJa6MHMsc92jERInc3hopcpho,Pasir Ris Pk,Singapore,4.5,2,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.383963,103.943748,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJ8940Hqw92jERyeFOWGIUqVc,Blk 115,Singapore,4.7,6,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3690971,103.955088,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJPQfXmP882jERqpzYglHe-Wk,Opp Blk 149a,Singapore,4.3,6,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.362261,103.963387,True
Pasir Ris,Flora Drive,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Flora Drive, Pasir Ris, Singapore",ChIJMZUCEbA92jERARp4C_Uz9iE,Pasir Ris Bus Interchange,"501 Pasir Ris Dr 3, Singapore 519490",2.2,17,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3735167,103.9501508,True
