timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:42:40.876706,text_search,1,AIzaSy...IDGw,889,Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:42.815818,text_search,1,AIzaSy...IDGw,890,Paya Lebar,Airport Road,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Airport Road, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:45.060948,text_search,1,AIzaSy...IDGw,891,Paya Lebar,Airport Road,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Airport Road, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:47.053732,text_search,1,AIzaSy...IDGw,892,Paya Lebar,Airport Road,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Airport Road, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:49.105447,text_search,1,AIzaSy...IDGw,893,Paya Lebar,Airport Road,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Airport Road, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:51.169314,text_search,1,AIzaSy...IDGw,894,Paya Lebar,Airport Road,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Airport Road, Paya Lebar, Singapore",OK,,9,
2026-07-20T15:42:53.405216,text_search,1,AIzaSy...IDGw,895,Paya Lebar,Paya Lebar East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Paya Lebar East, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:55.628682,text_search,1,AIzaSy...IDGw,896,Paya Lebar,Paya Lebar East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Paya Lebar East, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:42:57.987594,text_search,1,AIzaSy...IDGw,897,Paya Lebar,Paya Lebar East,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Paya Lebar East, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:00.169942,text_search,1,AIzaSy...IDGw,898,Paya Lebar,Paya Lebar East,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Paya Lebar East, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:02.279832,text_search,1,AIzaSy...IDGw,899,Paya Lebar,Paya Lebar East,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Paya Lebar East, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:04.282963,text_search,1,AIzaSy...IDGw,900,Paya Lebar,Paya Lebar East,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Paya Lebar East, Paya Lebar, Singapore",OK,,9,
2026-07-20T15:43:06.511625,text_search,1,AIzaSy...IDGw,901,Paya Lebar,Paya Lebar North,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Paya Lebar North, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:08.470161,text_search,1,AIzaSy...IDGw,902,Paya Lebar,Paya Lebar North,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Paya Lebar North, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:10.504065,text_search,1,AIzaSy...IDGw,903,Paya Lebar,Paya Lebar North,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Paya Lebar North, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:12.680669,text_search,1,AIzaSy...IDGw,904,Paya Lebar,Paya Lebar North,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Paya Lebar North, Paya Lebar, Singapore",OK,,6,
2026-07-20T15:43:14.970010,text_search,1,AIzaSy...IDGw,905,Paya Lebar,Paya Lebar North,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Paya Lebar North, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:17.221735,text_search,1,AIzaSy...IDGw,906,Paya Lebar,Paya Lebar North,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Paya Lebar North, Paya Lebar, Singapore",OK,,17,
2026-07-20T15:43:19.523521,text_search,1,AIzaSy...IDGw,907,Paya Lebar,Paya Lebar West,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Paya Lebar West, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:21.806656,text_search,1,AIzaSy...IDGw,908,Paya Lebar,Paya Lebar West,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Paya Lebar West, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:23.815895,text_search,1,AIzaSy...IDGw,909,Paya Lebar,Paya Lebar West,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Paya Lebar West, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:26.076352,text_search,1,AIzaSy...IDGw,910,Paya Lebar,Paya Lebar West,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Paya Lebar West, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:28.351010,text_search,1,AIzaSy...IDGw,911,Paya Lebar,Paya Lebar West,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Paya Lebar West, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:30.582424,text_search,1,AIzaSy...IDGw,912,Paya Lebar,Paya Lebar West,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Paya Lebar West, Paya Lebar, Singapore",OK,,5,
2026-07-20T15:43:32.640556,text_search,1,AIzaSy...IDGw,913,Paya Lebar,Plab,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Plab, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:34.624357,text_search,1,AIzaSy...IDGw,914,Paya Lebar,Plab,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Plab, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:36.897294,text_search,1,AIzaSy...IDGw,915,Paya Lebar,Plab,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Plab, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:38.744579,text_search,1,AIzaSy...IDGw,916,Paya Lebar,Plab,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Plab, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:41.475741,text_search,1,AIzaSy...IDGw,917,Paya Lebar,Plab,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Plab, Paya Lebar, Singapore",OK,,20,
2026-07-20T15:43:43.665009,text_search,1,AIzaSy...IDGw,918,Paya Lebar,Plab,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Plab, Paya Lebar, Singapore",OK,,9,
2026-07-20T15:43:43.687698,place_details_reviews,1,AIzaSy...IDGw,918,Paya Lebar,Paya Lebar North,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,OK,,5,East Coast Park
