planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Paya Lebar,Airport Road,education,20,4.482,1177,89.64
Paya Lebar,Airport Road,transport,20,4.058,2421,81.16
Paya Lebar,Airport Road,food,20,4.145,93455,82.9
Paya Lebar,Airport Road,shopping,20,4.215,61595,84.3
Paya Lebar,Airport Road,recreation,20,4.29,7955,85.8
Paya Lebar,Airport Road,nature,9,4.367,7037,87.34
Paya Lebar,Paya Lebar East,education,20,4.494,2898,89.88
Paya Lebar,Paya Lebar East,transport,20,4.053,2317,81.06
Paya Lebar,Paya Lebar East,food,20,4.095,39295,81.9
Paya Lebar,Paya Lebar East,shopping,20,4.135,93724,82.7
Paya Lebar,Paya Lebar East,recreation,20,4.305,24733,86.1
Paya Lebar,Paya Lebar East,nature,9,4.478,9443,89.56
Paya Lebar,Paya Lebar North,education,20,4.524,3261,90.48
Paya Lebar,Paya Lebar North,transport,20,4.145,2921,82.9
Paya Lebar,Paya Lebar North,food,20,4.15,37908,83.0
Paya Lebar,Paya Lebar North,shopping,6,4.25,40678,85.0
Paya Lebar,Paya Lebar North,recreation,20,4.25,24668,85.0
Paya Lebar,Paya Lebar North,nature,17,4.465,49613,89.3
Paya Lebar,Paya Lebar West,education,20,4.512,2805,90.24
Paya Lebar,Paya Lebar West,transport,20,4.147,2737,82.94
Paya Lebar,Paya Lebar West,food,20,4.155,40405,83.1
Paya Lebar,Paya Lebar West,shopping,20,4.14,125166,82.8
Paya Lebar,Paya Lebar West,recreation,20,4.32,20339,86.4
Paya Lebar,Paya Lebar West,nature,5,4.36,7117,87.2
Paya Lebar,Plab,education,20,4.556,1118,91.12
Paya Lebar,Plab,transport,20,4.179,2587,83.58
Paya Lebar,Plab,food,20,4.22,124112,84.4
Paya Lebar,Plab,shopping,20,4.195,141053,83.9
Paya Lebar,Plab,recreation,20,4.26,13201,85.2
Paya Lebar,Plab,nature,9,4.411,8362,88.22
