planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJXQtfBAAX2jERB60mNGJpWqs,Gifted Learners Student Care @ Paya Lebar,"140 Paya Lebar Rd #06-19, AZ @ Paya LebarSingapore, Singapore 409015",5.0,5,"[""establishment"", ""point_of_interest""]",1.3271762,103.8909078,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJmZrv0hsY2jERcDA9ndwATto,MapleBear @ Payalebar,"10 Lor 37 Geylang, Singapore 387907",5.0,82,"[""establishment"", ""point_of_interest""]",1.3159327,103.8899186,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJ9eMzrV8X2jERbmfWBWp188A,Potential Achievers Learning Center,"Centro Bianco Building, 73 Upper Paya Lebar Rd, Singapore 534818",,0,"[""establishment"", ""point_of_interest""]",1.3367344,103.8868223,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJixJHpL0X2jERDIMUx4qcL-U,Our Children's House International Childcare Centre,"106 Paya Lebar Cres, Singapore 536186",4.9,31,"[""establishment"", ""point_of_interest"", ""school""]",1.3465691,103.8828646,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJK9e3LpQX2jERC4vfLgPRKOU,Emile Preschool,"12 New Industrial Rd, #01-02, Singapore 536202",5.0,98,"[""establishment"", ""point_of_interest"", ""school""]",1.3424154,103.8856993,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJQyTTUCMY2jERunI_GcAyOug,Geylang East Library,"50 Geylang East Ave 1, Singapore 389777",4.3,311,"[""establishment"", ""library"", ""point_of_interest""]",1.3174565,103.8857374,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJD9zhoVwZ2jERbUj13E0E4Vk,Sparklekidz Academia,"50 Geylang East Ave 1, Level 3, Singapore 389777",5.0,1,"[""establishment"", ""point_of_interest""]",1.3174355,103.8858638,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJ____L8gX2jERrZGAwj39Q1Q,Living Sanctuary Kindergarten,"2 Hougang Street 22, Singapore 538728",4.5,8,"[""establishment"", ""point_of_interest"", ""school""]",1.3559823,103.8914976,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJGVgQLAkX2jERgSXuc7Yk2QE,KinderBridge (Lorong Ah Soo),"123 Hougang Ave 1, #01-1426, Singapore 530123",5.0,4,"[""establishment"", ""point_of_interest""]",1.3534342,103.8863595,True
Paya Lebar,Airport Road,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Airport Road, Paya Lebar, Singapore",ChIJRZwZ3rsX2jERm7-lw5JW0ik,Paya Lebar Methodist Girls' School (Primary),"298 Lor Ah Soo, Singapore 536741",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3503198,103.8853393,True
