timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-18T16:51:26.544314,text_search,1,AIzaSy...IDGw,1,Pioneer,Benoi Sector,education,kindergarten,"kindergarten in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:27.280460,text_search,1,AIzaSy...IDGw,2,Pioneer,Benoi Sector,education,childcare centre,"childcare centre in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:28.359647,text_search,1,AIzaSy...IDGw,3,Pioneer,Benoi Sector,education,primary school,"primary school in Benoi Sector, Pioneer, Singapore",OK,,13,
2026-07-18T16:51:29.048781,text_search,1,AIzaSy...IDGw,4,Pioneer,Benoi Sector,education,secondary school,"secondary school in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:30.020331,text_search,1,AIzaSy...IDGw,5,Pioneer,Benoi Sector,education,junior college,"junior college in Benoi Sector, Pioneer, Singapore",OK,,18,
2026-07-18T16:51:30.898885,text_search,1,AIzaSy...IDGw,6,Pioneer,Benoi Sector,education,polytechnic,"polytechnic in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:31.552467,text_search,1,AIzaSy...IDGw,7,Pioneer,Benoi Sector,education,university,"university in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:32.311369,text_search,1,AIzaSy...IDGw,8,Pioneer,Benoi Sector,education,tuition centre,"tuition centre in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:32.915528,text_search,1,AIzaSy...IDGw,9,Pioneer,Benoi Sector,education,library,"library in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:33.734879,text_search,1,AIzaSy...IDGw,10,Pioneer,Benoi Sector,transport,MRT station,"MRT station in Benoi Sector, Pioneer, Singapore",OK,,6,
2026-07-18T16:51:34.538359,text_search,1,AIzaSy...IDGw,11,Pioneer,Benoi Sector,transport,bus stop,"bus stop in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:35.176663,text_search,1,AIzaSy...IDGw,12,Pioneer,Benoi Sector,transport,bus interchange,"bus interchange in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:35.827938,text_search,1,AIzaSy...IDGw,13,Pioneer,Benoi Sector,transport,LRT station,"LRT station in Benoi Sector, Pioneer, Singapore",OK,,8,
2026-07-18T16:51:36.647983,text_search,1,AIzaSy...IDGw,14,Pioneer,Benoi Sector,food,hawker centre,"hawker centre in Benoi Sector, Pioneer, Singapore",OK,,13,
2026-07-18T16:51:37.633251,text_search,1,AIzaSy...IDGw,15,Pioneer,Benoi Sector,food,food court,"food court in Benoi Sector, Pioneer, Singapore",OK,,11,
2026-07-18T16:51:38.650366,text_search,1,AIzaSy...IDGw,16,Pioneer,Benoi Sector,food,coffee shop,"coffee shop in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:39.556997,text_search,1,AIzaSy...IDGw,17,Pioneer,Benoi Sector,food,restaurant,"restaurant in Benoi Sector, Pioneer, Singapore",OK,,10,
2026-07-18T16:51:40.428653,text_search,1,AIzaSy...IDGw,18,Pioneer,Benoi Sector,food,cafe,"cafe in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:41.351479,text_search,1,AIzaSy...IDGw,19,Pioneer,Benoi Sector,shopping,shopping mall,"shopping mall in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:42.152926,text_search,1,AIzaSy...IDGw,20,Pioneer,Benoi Sector,shopping,supermarket,"supermarket in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:43.130830,text_search,1,AIzaSy...IDGw,21,Pioneer,Benoi Sector,shopping,grocery store,"grocery store in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:44.172136,text_search,1,AIzaSy...IDGw,22,Pioneer,Benoi Sector,shopping,convenience store,"convenience store in Benoi Sector, Pioneer, Singapore",OK,,14,
2026-07-18T16:51:45.115330,text_search,1,AIzaSy...IDGw,23,Pioneer,Benoi Sector,shopping,wet market,"wet market in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:45.938824,text_search,1,AIzaSy...IDGw,24,Pioneer,Benoi Sector,recreation,gym,"gym in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:46.987562,text_search,1,AIzaSy...IDGw,25,Pioneer,Benoi Sector,recreation,sports centre,"sports centre in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:47.782069,text_search,1,AIzaSy...IDGw,26,Pioneer,Benoi Sector,recreation,swimming complex,"swimming complex in Benoi Sector, Pioneer, Singapore",OK,,17,
2026-07-18T16:51:48.616927,text_search,1,AIzaSy...IDGw,27,Pioneer,Benoi Sector,recreation,cinema,"cinema in Benoi Sector, Pioneer, Singapore",OK,,14,
2026-07-18T16:51:49.396314,text_search,1,AIzaSy...IDGw,28,Pioneer,Benoi Sector,recreation,community club,"community club in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:50.087815,text_search,1,AIzaSy...IDGw,29,Pioneer,Benoi Sector,recreation,playground,"playground in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:51.025848,text_search,1,AIzaSy...IDGw,30,Pioneer,Benoi Sector,nature,park,"park in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:51.647795,text_search,1,AIzaSy...IDGw,31,Pioneer,Benoi Sector,nature,nature reserve,"nature reserve in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:52.460092,text_search,1,AIzaSy...IDGw,32,Pioneer,Benoi Sector,nature,garden,"garden in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:53.045665,text_search,1,AIzaSy...IDGw,33,Pioneer,Benoi Sector,nature,beach,"beach in Benoi Sector, Pioneer, Singapore",OK,,12,
2026-07-18T16:51:53.797981,text_search,1,AIzaSy...IDGw,34,Pioneer,Benoi Sector,nature,waterfront,"waterfront in Benoi Sector, Pioneer, Singapore",OK,,5,
2026-07-18T16:51:55.051708,text_search,1,AIzaSy...IDGw,35,Pioneer,Benoi Sector,nature,park connector,"park connector in Benoi Sector, Pioneer, Singapore",OK,,20,
2026-07-18T16:51:56.023865,text_search,1,AIzaSy...IDGw,36,Pioneer,Gul Basin,education,kindergarten,"kindergarten in Gul Basin, Pioneer, Singapore",OK,,20,
