planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Pioneer,Benoi Sector,education,16,4.423,3762,88.46
Pioneer,Benoi Sector,transport,6,3.65,1142,73.0
Pioneer,Benoi Sector,food,5,3.92,2168,78.4
Pioneer,Benoi Sector,shopping,9,3.975,19599,79.5
Pioneer,Benoi Sector,recreation,12,4.308,8058,86.16
Pioneer,Benoi Sector,nature,11,4.373,22477,87.46
Pioneer,Gul Basin,education,17,4.508,6076,90.16
Pioneer,Gul Basin,transport,7,3.686,1321,73.72
Pioneer,Gul Basin,food,8,4.412,1183,88.24
Pioneer,Gul Basin,shopping,9,3.922,30180,78.44
Pioneer,Gul Basin,recreation,12,4.4,10221,88.0
Pioneer,Gul Basin,nature,12,4.436,164757,88.72
Pioneer,Gul Circle,education,18,4.521,6639,90.42
Pioneer,Gul Circle,transport,2,4.7,254,94.0
Pioneer,Gul Circle,food,6,4.1,1362,82.0
Pioneer,Gul Circle,shopping,7,4.286,4736,85.72
Pioneer,Gul Circle,recreation,12,4.264,10292,85.28
Pioneer,Gul Circle,nature,9,4.556,12197,91.12
Pioneer,Joo Koon,education,15,4.231,7230,84.62
Pioneer,Joo Koon,transport,3,3.833,1906,76.66
Pioneer,Joo Koon,food,7,3.443,1515,68.86
Pioneer,Joo Koon,shopping,5,3.6,3966,72.0
Pioneer,Joo Koon,recreation,11,4.327,9843,86.54
Pioneer,Joo Koon,nature,11,4.336,19365,86.72
Pioneer,Pioneer Sector,education,16,4.542,3306,90.84
Pioneer,Pioneer Sector,transport,5,3.6,1049,72.0
Pioneer,Pioneer Sector,food,9,3.9,4329,78.0
Pioneer,Pioneer Sector,shopping,8,3.925,27928,78.5
Pioneer,Pioneer Sector,recreation,12,4.225,9459,84.5
Pioneer,Pioneer Sector,nature,12,4.333,19205,86.66
