planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Pioneer,Benoi Sector,education,kindergarten,"kindergarten in Benoi Sector, Pioneer, Singapore",ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,"20 Jurong West Street 93, #01-03 Sports Centre, Singapore 648965",5.0,10,"[""establishment"", ""point_of_interest"", ""school""]",1.3383436,103.6943961,True
Pioneer,Benoi Sector,education,kindergarten,"kindergarten in Benoi Sector, Pioneer, Singapore",ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,"21 Yung Ho Rd, #01-01/02 THE AGAPE, Singapore 618593",4.8,65,"[""establishment"", ""point_of_interest"", ""school""]",1.3268828,103.724787,True
Pioneer,Benoi Sector,education,childcare centre,"childcare centre in Benoi Sector, Pioneer, Singapore",ChIJG5i7aoAF2jERMhx2MU177pU,NTUC LearningHub @ Benoi,"60 Benoi Rd, #01-08 EMS Building, Singapore 629906",4.3,361,"[""establishment"", ""point_of_interest""]",1.3264119,103.6802406,True
Pioneer,Benoi Sector,education,primary school,"primary school in Benoi Sector, Pioneer, Singapore",ChIJNfn2jZwP2jERnKZlZ5yCUWc,Pioneer Primary School,"80 Tengah Garden Ave, Singapore 699915",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3545526,103.7322664,True
Pioneer,Benoi Sector,education,primary school,"primary school in Benoi Sector, Pioneer, Singapore",ChIJN2U85fIa2jERU3xusMZifDo,International Community School (Singapore),"27a Jubilee Rd, Singapore 128575",4.6,101,"[""establishment"", ""point_of_interest"", ""school""]",1.3068214,103.7660743,True
Pioneer,Benoi Sector,education,secondary school,"secondary school in Benoi Sector, Pioneer, Singapore",ChIJc2MrR5QP2jERndRHjWsok84,Boon Lay Secondary School,"11 Jurong West Street 65, Singapore 648354",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.343319,103.7019012,True
Pioneer,Benoi Sector,education,secondary school,"secondary school in Benoi Sector, Pioneer, Singapore",ChIJsyTJCRcQ2jERfwQiMdnbBFE,Crest Secondary School,"561 Jurong East St 24, Singapore 609561",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3431881,103.7428957,True
Pioneer,Benoi Sector,education,junior college,"junior college in Benoi Sector, Pioneer, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Pioneer,Benoi Sector,education,junior college,"junior college in Benoi Sector, Pioneer, Singapore",ChIJ7aAp7AkX2jERMXPZER1KuCU,Nanyang Junior College,"128 Serangoon Ave 3, 128, Singapore 556111",4.5,144,"[""establishment"", ""point_of_interest"", ""university""]",1.3503224,103.8664323,True
Pioneer,Benoi Sector,education,polytechnic,"polytechnic in Benoi Sector, Pioneer, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
Pioneer,Benoi Sector,education,polytechnic,"polytechnic in Benoi Sector, Pioneer, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,500,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
Pioneer,Benoi Sector,education,university,"university in Benoi Sector, Pioneer, Singapore",ChIJY0QBmQoP2jERGYItxQAIu7g,Nanyang Technological University,"50 Nanyang Ave, Singapore 639798",4.5,1477,"[""establishment"", ""point_of_interest"", ""university""]",1.3483099,103.6831347,True
Pioneer,Benoi Sector,education,university,"university in Benoi Sector, Pioneer, Singapore",ChIJeV15hGIX2jERD4aFEmOeoYM,Curtin Singapore,"10 Science Park Road, Level 3 Unit 03-08 The Alpha, Science Park II, Singapore 117684",3.4,95,"[""establishment"", ""point_of_interest"", ""university""]",1.288347,103.7796998,True
Pioneer,Benoi Sector,education,tuition centre,"tuition centre in Benoi Sector, Pioneer, Singapore",ChIJxVpRXY0b2jERLaTEQpzXKf0,Pillora Learning,"729 Clementi West Street 2, Singapore 120729",5.0,5,"[""establishment"", ""point_of_interest""]",1.3050998,103.763368,True
