planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Pioneer,Benoi Sector,education,kindergarten,ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,5.0,10,0,Alara,https://www.google.com/maps/contrib/104988384615812305316/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLQn3sQfG2jlx9KulPwZyzYj__nfD_r_F9NumdW0wpPeind45z3=s128-c0x00000000-cc-rp-mo-ba2,5,6 months ago,1768388542,"Small Wonder Pioneer has truly exceeded my expectations. The principal and teachers are genuinely the best! They’re caring, attentive and very dedicated to the children’s growth and well-being. As a parent, I feel a strong sense of trust and confidence knowing my son is in such good hands.

Initially, I was a little worried and skeptical because the school had only a few reviews but every single one was positive. After enrolling my son, I completely understand why. He is now in his second year of Playgroup and the progress he has made is amazing. By the age of 2, he is already able to recognize numbers, ABCs, identify objects and more, which really speaks volumes about the teachers’ guidance and the curriculum.⭐️

Beyond academics, the teachers are very nurturing and patient, creating a safe and happy environment where children feel comfortable to learn and explore. My son enjoys going to school every day and that reassurance means everything to us as parents.

I would highly recommend Small Wonder Pioneer to parents who are considering enrolling their children. It is a school that truly cares for and nurtures its students and I’m very grateful to be part of this community.❤️"
Pioneer,Benoi Sector,education,kindergarten,ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,5.0,10,1,Rogi Ma,https://www.google.com/maps/contrib/109368425649414076341/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocId1deK0wkOL5ojUtGYs3iTac-lwp5Kk8V0hwam4RTIeYsc7A=s128-c0x00000000-cc-rp-mo,5,a year ago,1738802483,"I am truly impressed with the care and learning environment at Small Wonder Pioneer. The teachers are incredibly warm, attentive and nurturing, which helps my child feel safe and supported every day. I can see how the curriculum is thoughtfully designed to promote social, emotional and cognitive development in a fun and interactive way. It’s clear that the teachers and Centre Director genuinely care about children’s well-being and progress. I am grateful for the positive impact they have had on my child’s growth. I feel confident that my child is in great hands here."
Pioneer,Benoi Sector,education,kindergarten,ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,5.0,10,2,Zera OO,https://www.google.com/maps/contrib/118359115896800191724/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWvGYNSTZqV5m8vpSFk647LObQVj4B-3otYo7mK2i-KlGkkj6U=s128-c0x00000000-cc-rp-mo,5,a year ago,1745845768,"I am truly beyond grateful for everything Small Wonder Pioneer Preschool has done for my family. Both my daughters, one in K2 and one in N1, have blossomed so beautifully under the care and guidance of the amazing teachers here.
Every teacher is so dedicated, patient, and full of heart. It is clear how much love and effort they pour into teaching, caring for, and nurturing each child every day. From daily lessons to special events like performances, they always go the extra mile to make every moment meaningful.
Seeing my girls so happy and excited to go to school every day is the best reassurance any parent could ask for. They would even share stories about their day during the car ride home or while getting ready for bed, and those moments are truly precious to me.
I am so thankful I chose Small Wonder Pioneer. It is more than just a preschool. It is a second home filled with warmth, care, and encouragement.
Thank you from the bottom of our hearts for creating such a wonderful environment for our children to learn, grow, and shine."
Pioneer,Benoi Sector,education,kindergarten,ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,5.0,10,3,Anna Nguyen,https://www.google.com/maps/contrib/117953433422360049839/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJWjfh7rfZN3ZJ8XgyzodoBn1y9PY33TNcFrMQEuLLiOkbG4w=s128-c0x00000000-cc-rp-mo,5,a year ago,1738646902,The teachers from Small Wonder Pioneer are so friendly and dedicated. They educate and take a good care of the children. My daughter is happy going to school everyday and she talked a lot about the teachers and friends. Parents concerns are always cared by the teachers. Thank you all the teachers there!
Pioneer,Benoi Sector,education,kindergarten,ChIJjzdbRrfbpaoRyr0wiI8kNKs,Small Wonder Pioneer,5.0,10,4,ttjamaiah azs,https://www.google.com/maps/contrib/103488611035298187960/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXpJ1HGaGaQOLMm5yuCOOEazP83CRzZEhzFzUie7LVXu3NEKN5q=s128-c0x00000000-cc-rp-mo,5,a year ago,1739244358,"As I recalled back, it is quite hard to choose Small Wonder Pioneer which is quite far from our home. No vacancy in other  centres. Little reviews can be found during our time when we want to enrol our daughter for Playgroup. Nevertheless, we entrust our daughter's well-being to the teachers & Principal.

Parents are often kept informed of the curriculum, health of our children and activities in & out of school via the app which is easy to access. Teachers are very helpful, caring & make the effort to communicate with parents. Applause to the teachers & Principal at Small Wonder Pioneer for their dedication & patience 👏🎉"
Pioneer,Benoi Sector,education,kindergarten,ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,4.8,65,0,elva ng,https://www.google.com/maps/contrib/112506003076051620125/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXmbCp0P4DIAlaoTppA9F0ByruJIB6P2buKAwsubUCHVBcAx81A=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767546383,"Both of my children have been with Star Learners Yung Ho for the past 6 years, starting from the PG till K2 graduation class. It has been a truly wonderful experience. The centre is excellent and responsive, and I’ve always felt that my children are in very good hands.

The principal, Ms Lois and all Star Learners Yung Ho teachers are extremely patient, kind, and gentle with the kids. They were always reassuring and consistently showed great dedication in caring and guiding the children. The centre has positive and nurturing vibe and I’m truly grateful that my children were able to grow up in such a holistic and supportive environment, leaving a lasting impression on their early years."
Pioneer,Benoi Sector,education,kindergarten,ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,4.8,65,1,Janice Lee,https://www.google.com/maps/contrib/113088727636475586385/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqbXrbi5TubuD7wdRdSDy9IvuqGUzJ2RimCEGYmy-MS89R17Qb=s128-c0x00000000-cc-rp-mo,5,4 months ago,1771565352,"We enrolled our child here from infant care all the way to K1, and it has been a wonderful journey with the school.

The teachers are caring, attentive and genuinely passionate about what they do. We really appreciate that their teaching approach is literature-based, which helps the children relate better to what they are learning and makes lessons more engaging and meaningful.

The environment is always clean, safe and spacious, giving the kids plenty of room to explore and move around comfortably.

Thank you to the team for creating such a nurturing and enriching experience for our child! 😊"
Pioneer,Benoi Sector,education,kindergarten,ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,4.8,65,2,Noah Zel,https://www.google.com/maps/contrib/103735341638850815085/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXTG8HBKUy4A08L8dXSor6n2WnGRksb3RRdpSpbpxCc_JU5mPnq=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767154213,"A fantastic school with a heart! The teachers are professional and warm, and the curriculum is full of fun learning journeys and hands-on exploration. My child is always excited to go to school and comes home full of stories about the interesting things they discovered that day."
Pioneer,Benoi Sector,education,kindergarten,ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,4.8,65,3,Sherla Tan,https://www.google.com/maps/contrib/105062521868585835517/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8u4onljDTJJ3aDhslhOPhzdqN8lg73HOpiJUDlp7ptsQPfA=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767174784,"It has been a wonderful journey partnering with the principal and teachers from SL@YH! My boy started as a transfer student in N1 and despite long settling period, the teachers were patient and assuring. Ms Lois, the principal, is a experienced principal who is warmth and approachable. I would like to shout out to Tr Jaime, Zhang Laoshi and Tr Haoting! Thank you for everything and he is now finally graduated from K2!"
Pioneer,Benoi Sector,education,kindergarten,ChIJvYCei1UF2jERymQTneDrrAo,Star Learners @ Yung Ho | Preschool & Childcare,4.8,65,4,SR,https://www.google.com/maps/contrib/100831942186746410495/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIekhJl4OIBgYbtNLZD7K3UZz2FFgO5aIU8WYyQUl7lUOYlDA=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767153471,The teachers and staff are patient and caring. The private playground and the large atrium space for riders are a huge plus for the children to get outdoor and physical activity. The enrichment lessons are also varied and of high quality. My child attended Star Leaners @ Yung Ho for over 4 years and loved every moment of it!
