timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:43:49.152342,text_search,1,AIzaSy...IDGw,923,Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",OK,,20,
2026-07-20T15:43:51.484346,text_search,1,AIzaSy...IDGw,924,Punggol,Coney Island,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Coney Island, Punggol, Singapore",OK,,14,
2026-07-20T15:43:53.819029,text_search,1,AIzaSy...IDGw,925,Punggol,Coney Island,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Coney Island, Punggol, Singapore",OK,,20,
2026-07-20T15:43:56.059005,text_search,1,AIzaSy...IDGw,926,Punggol,Coney Island,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Coney Island, Punggol, Singapore",OK,,20,
2026-07-20T15:43:58.564190,text_search,1,AIzaSy...IDGw,927,Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Coney Island, Punggol, Singapore",OK,,20,
2026-07-20T15:44:01.149887,text_search,1,AIzaSy...IDGw,928,Punggol,Coney Island,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Coney Island, Punggol, Singapore",OK,,20,
2026-07-20T15:44:03.399111,text_search,1,AIzaSy...IDGw,929,Punggol,Matilda,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Matilda, Punggol, Singapore",OK,,20,
2026-07-20T15:44:05.505073,text_search,1,AIzaSy...IDGw,930,Punggol,Matilda,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Matilda, Punggol, Singapore",OK,,11,
2026-07-20T15:44:08.038219,text_search,1,AIzaSy...IDGw,931,Punggol,Matilda,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Matilda, Punggol, Singapore",OK,,20,
2026-07-20T15:44:10.170556,text_search,1,AIzaSy...IDGw,932,Punggol,Matilda,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Matilda, Punggol, Singapore",OK,,20,
2026-07-20T15:44:12.413413,text_search,1,AIzaSy...IDGw,933,Punggol,Matilda,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Matilda, Punggol, Singapore",OK,,20,
2026-07-20T15:44:14.500145,text_search,1,AIzaSy...IDGw,934,Punggol,Matilda,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Matilda, Punggol, Singapore",OK,,20,
2026-07-20T15:44:16.827067,text_search,1,AIzaSy...IDGw,935,Punggol,Northshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:19.278791,text_search,1,AIzaSy...IDGw,936,Punggol,Northshore,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:21.686687,text_search,1,AIzaSy...IDGw,937,Punggol,Northshore,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:24.191343,text_search,1,AIzaSy...IDGw,938,Punggol,Northshore,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:26.578970,text_search,1,AIzaSy...IDGw,939,Punggol,Northshore,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:28.720161,text_search,1,AIzaSy...IDGw,940,Punggol,Northshore,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Northshore, Punggol, Singapore",OK,,20,
2026-07-20T15:44:31.287932,text_search,1,AIzaSy...IDGw,941,Punggol,Punggol Canal,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:33.636610,text_search,1,AIzaSy...IDGw,942,Punggol,Punggol Canal,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:35.661661,text_search,1,AIzaSy...IDGw,943,Punggol,Punggol Canal,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:37.849592,text_search,1,AIzaSy...IDGw,944,Punggol,Punggol Canal,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:39.995757,text_search,1,AIzaSy...IDGw,945,Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:42.083324,text_search,1,AIzaSy...IDGw,946,Punggol,Punggol Canal,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Punggol Canal, Punggol, Singapore",OK,,20,
2026-07-20T15:44:44.228553,text_search,1,AIzaSy...IDGw,947,Punggol,Punggol Field,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:46.790449,text_search,1,AIzaSy...IDGw,948,Punggol,Punggol Field,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:49.099601,text_search,1,AIzaSy...IDGw,949,Punggol,Punggol Field,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:51.226418,text_search,1,AIzaSy...IDGw,950,Punggol,Punggol Field,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:53.905161,text_search,2,AIzaSy...8yB0,1,Punggol,Punggol Field,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:56.519857,text_search,2,AIzaSy...8yB0,2,Punggol,Punggol Field,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Punggol Field, Punggol, Singapore",OK,,20,
2026-07-20T15:44:58.665349,text_search,2,AIzaSy...8yB0,3,Punggol,Punggol Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Punggol Town Centre, Punggol, Singapore",OK,,20,
2026-07-20T15:45:00.811139,text_search,2,AIzaSy...8yB0,4,Punggol,Punggol Town Centre,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Punggol Town Centre, Punggol, Singapore",OK,,20,
2026-07-20T15:45:03.536729,text_search,2,AIzaSy...8yB0,5,Punggol,Punggol Town Centre,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Punggol Town Centre, Punggol, Singapore",OK,,20,
