planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Punggol,Coney Island,education,20,4.71,1699,94.2
Punggol,Coney Island,transport,14,4.131,1202,82.62
Punggol,Coney Island,food,20,4.065,19426,81.3
Punggol,Coney Island,shopping,20,4.075,79868,81.5
Punggol,Coney Island,recreation,20,4.37,13488,87.4
Punggol,Coney Island,nature,20,4.54,10617,90.8
Punggol,Matilda,education,20,4.82,1598,96.4
Punggol,Matilda,transport,11,3.87,524,77.4
Punggol,Matilda,food,20,4.02,26306,80.4
Punggol,Matilda,shopping,20,4.035,49228,80.7
Punggol,Matilda,recreation,20,4.321,12670,86.42
Punggol,Matilda,nature,20,4.475,17484,89.5
Punggol,Northshore,education,20,4.615,1597,92.3
Punggol,Northshore,transport,20,4.315,1341,86.3
Punggol,Northshore,food,20,4.19,29496,83.8
Punggol,Northshore,shopping,20,4.035,54981,80.7
Punggol,Northshore,recreation,20,4.41,14490,88.2
Punggol,Northshore,nature,20,4.45,16227,89.0
Punggol,Punggol Canal,education,20,4.71,1806,94.2
Punggol,Punggol Canal,transport,20,3.847,1328,76.94
Punggol,Punggol Canal,food,20,4.1,21280,82.0
Punggol,Punggol Canal,shopping,20,3.98,61873,79.6
Punggol,Punggol Canal,recreation,20,4.337,19076,86.74
Punggol,Punggol Canal,nature,20,4.47,14452,89.4
Punggol,Punggol Field,education,20,4.77,2330,95.4
Punggol,Punggol Field,transport,20,3.91,1279,78.2
Punggol,Punggol Field,food,20,4.06,19343,81.2
Punggol,Punggol Field,shopping,20,4.025,63437,80.5
Punggol,Punggol Field,recreation,20,4.395,14826,87.9
Punggol,Punggol Field,nature,20,4.45,10518,89.0
Punggol,Punggol Town Centre,education,20,4.7,3305,94.0
Punggol,Punggol Town Centre,transport,20,4.04,1414,80.8
Punggol,Punggol Town Centre,food,20,4.12,21402,82.4
Punggol,Punggol Town Centre,shopping,20,4.02,58945,80.4
Punggol,Punggol Town Centre,recreation,20,4.342,13894,86.84
Punggol,Punggol Town Centre,nature,20,4.432,9452,88.64
Punggol,Waterway East,education,20,4.765,1634,95.3
Punggol,Waterway East,transport,20,4.07,1367,81.4
Punggol,Waterway East,food,20,4.135,26032,82.7
Punggol,Waterway East,shopping,20,4.075,82273,81.5
Punggol,Waterway East,recreation,20,4.335,13119,86.7
Punggol,Waterway East,nature,20,4.485,29612,89.7
