planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Punggol,Coney Island,education,10,4.7,7,1,2,0,6,0,1,0,4,0,0,0,"This is very great neighbourhood library with librarians who are very observant and go the extra mile. Especially I thank Ms Fazilah 9 Nov 2025 at 7.30pm. She goes the extra mile f... || We recently took our little one to Sengkang Public Library, which is conveniently located right inside Compass One. It made for a really easy family outing, as we could grab a quic... || What I like in libraries: Books that are available that I originally have on my online To-Be-Read (TBR). Spacious environments. Multiple book genres. The first thing I noticed that...",6,2,6,1,4,0
Punggol,Coney Island,transport,10,4.5,0,0,2,2,5,0,0,0,1,0,0,0,"Just next to a bus station, LRT and Waterway Point. Very useful clean and efficient way of travelling for all Punggo residents. || Super station. In and out very fast. Connected to the LRT and also the bus station in Punggol. Plus next to Waterway Point. Superb. || On Friday the 13th in September 2019, I took C751A 7007/7008 to the station to use exit C to the bus interchange. I noticed the poster of Express 43e which runs between Punggol and...",0,0,5,0,1,0
Punggol,Coney Island,food,10,4.7,1,0,1,1,0,0,0,0,1,0,0,1,"Came here for my father's birthday. The food here was decent, but the price was definitely at the higher end. I had the ribeye steak (220g). The steak was tender, but was definitel... || Whisk & Paddle is a fantastic spot with a great atmosphere and both indoor and outdoor seating. The view of the river and surrounding nature made for a truly relaxing dinner. The f... || Nice restaurant with option for indoor vs outdoor seating. This us my 5th time here and was not disappointed with the breakfast!! Food was delicious and service was prompt & staff ...",1,0,0,0,1,-1
Punggol,Coney Island,shopping,10,4.4,1,0,2,4,2,1,0,1,7,0,0,2,"This mall has everything you need for a relaxing weekend. There is a kids’ play area, as well as a jogging track with a beautiful lake view. It offers plenty of dining options, inc... || Waterway Point is a large and spacious mall with a good mix of shops, products, services and plenty of food options. It covers most day-to-day needs and works well as a one-stop de... || Waterway point shopping mall shopping I would say clothing shops like Uniqlo n playdress.there is a popular bookstore n a toys r us.there is a miniso ...Japan home n value shop I w...",1,-2,1,-1,7,-2
Punggol,Coney Island,recreation,10,4.2,0,0,0,0,3,0,1,0,0,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,3,1,0,0
Punggol,Coney Island,nature,10,4.4,8,0,0,3,0,0,0,0,1,0,0,0,"The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈",8,-3,0,0,1,0
Punggol,Matilda,education,10,4.9,4,0,0,0,4,0,1,0,2,0,0,0,"An unforgettable family sports day where the children learned to be brave, work together, and participate actively. There were a wide variety of activities, and the kids had a grea... || MindChamps Preschool has exceeded our expectations. The school places strong emphasis on confidence-building and critical thinking, which has really helped my child become more exp... || Recently enrolled to MindChamps Punggol. It's a great school with good facilities, nice and engaging teachers, condusive environment for learning. They also frequently conduct work...",4,0,4,1,2,0
Punggol,Matilda,transport,10,3.7,0,0,2,0,3,0,0,1,1,0,0,0,"Just next to a bus station, LRT and Waterway Point. Very useful clean and efficient way of travelling for all Punggo residents. || Super station. In and out very fast. Connected to the LRT and also the bus station in Punggol. Plus next to Waterway Point. Superb. || On Friday the 13th in September 2019, I took C751A 7007/7008 to the station to use exit C to the bus interchange. I noticed the poster of Express 43e which runs between Punggol and...",0,2,3,-1,1,0
Punggol,Matilda,food,10,4.5,0,0,0,1,0,0,0,0,0,0,0,0,This is a seaside dining and lifestyle destination located at the northern tip of Punggol. The two-story building features a variety of restaurants with waterfront views: Seafood S... || This Korean BBQ has plenty of performances to keep you entertained while waiting for the meat to be bbq by the staff. Service is quick and good. || Just had siblings reunion here and the atmosphere was good. Large crowds maybe it was on Saturday. Food was tasty only it was not served together as in it was served 1 by 1 so we n...,0,-1,0,0,0,0
Punggol,Matilda,shopping,10,3.8,1,0,2,5,0,1,0,0,4,0,0,2,"This mall has everything you need for a relaxing weekend. There is a kids’ play area, as well as a jogging track with a beautiful lake view. It offers plenty of dining options, inc... || Waterway Point is a large and spacious mall with a good mix of shops, products, services and plenty of food options. It covers most day-to-day needs and works well as a one-stop de... || Waterway point shopping mall shopping I would say clothing shops like Uniqlo n playdress.there is a popular bookstore n a toys r us.there is a miniso ...Japan home n value shop I w...",1,-3,-1,0,4,-2
Punggol,Matilda,recreation,10,4.2,0,0,0,0,3,0,1,0,0,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,3,1,0,0
Punggol,Matilda,nature,10,4.7,10,0,1,5,1,0,0,0,1,0,0,0,"Quiet, underrated gem in the northeast. Punggol Park has a really chill vibe, especially around the big lake in the middle. Great for evening walks, light jogs, or just sitting dow... || If u are in Hougang / Sengkang area, and wanted a park to stroll or exercise. Try this Punggol Park. Pls note that although it called Punggol Park, it’s actually in end of upper Se... || Actually, It's a Nice and quiet park with a running loop around a pond.The park with a lot of place to rest chair benches. It's shady with huge trees and bird chirping. The place i...",10,-4,1,0,1,0
Punggol,Northshore,education,10,4.9,4,0,0,0,4,0,1,0,2,0,0,0,"An unforgettable family sports day where the children learned to be brave, work together, and participate actively. There were a wide variety of activities, and the kids had a grea... || MindChamps Preschool has exceeded our expectations. The school places strong emphasis on confidence-building and critical thinking, which has really helped my child become more exp... || Recently enrolled to MindChamps Punggol. It's a great school with good facilities, nice and engaging teachers, condusive environment for learning. They also frequently conduct work...",4,0,4,1,2,0
Punggol,Northshore,transport,10,4.5,0,0,2,2,5,0,0,0,1,0,0,0,"Just next to a bus station, LRT and Waterway Point. Very useful clean and efficient way of travelling for all Punggo residents. || Super station. In and out very fast. Connected to the LRT and also the bus station in Punggol. Plus next to Waterway Point. Superb. || On Friday the 13th in September 2019, I took C751A 7007/7008 to the station to use exit C to the bus interchange. I noticed the poster of Express 43e which runs between Punggol and...",0,0,5,0,1,0
Punggol,Northshore,food,10,4.4,0,2,0,2,1,0,0,0,1,0,2,0,This is a seaside dining and lifestyle destination located at the northern tip of Punggol. The two-story building features a variety of restaurants with waterfront views: Seafood S... || This Korean BBQ has plenty of performances to keep you entertained while waiting for the meat to be bbq by the staff. Service is quick and good. || Just had siblings reunion here and the atmosphere was good. Large crowds maybe it was on Saturday. Food was tasty only it was not served together as in it was served 1 by 1 so we n...,-2,-2,1,0,1,2
Punggol,Northshore,shopping,10,4.6,1,0,3,6,1,1,0,0,4,0,0,2,"This mall has everything you need for a relaxing weekend. There is a kids’ play area, as well as a jogging track with a beautiful lake view. It offers plenty of dining options, inc... || Waterway Point is a large and spacious mall with a good mix of shops, products, services and plenty of food options. It covers most day-to-day needs and works well as a one-stop de... || Waterway point shopping mall shopping I would say clothing shops like Uniqlo n playdress.there is a popular bookstore n a toys r us.there is a miniso ...Japan home n value shop I w...",1,-3,0,0,4,-2
Punggol,Northshore,recreation,10,4.2,0,0,0,0,3,0,1,0,0,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,3,1,0,0
Punggol,Northshore,nature,10,4.7,10,0,1,5,1,0,0,0,1,0,0,0,"Quiet, underrated gem in the northeast. Punggol Park has a really chill vibe, especially around the big lake in the middle. Great for evening walks, light jogs, or just sitting dow... || If u are in Hougang / Sengkang area, and wanted a park to stroll or exercise. Try this Punggol Park. Pls note that although it called Punggol Park, it’s actually in end of upper Se... || Actually, It's a Nice and quiet park with a running loop around a pond.The park with a lot of place to rest chair benches. It's shady with huge trees and bird chirping. The place i...",10,-4,1,0,1,0
Punggol,Punggol Canal,education,10,4.7,7,1,2,0,6,0,1,0,4,0,0,0,"This is very great neighbourhood library with librarians who are very observant and go the extra mile. Especially I thank Ms Fazilah 9 Nov 2025 at 7.30pm. She goes the extra mile f... || We recently took our little one to Sengkang Public Library, which is conveniently located right inside Compass One. It made for a really easy family outing, as we could grab a quic... || What I like in libraries: Books that are available that I originally have on my online To-Be-Read (TBR). Spacious environments. Multiple book genres. The first thing I noticed that...",6,2,6,1,4,0
