planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJqToUzWEV2jERBmof0jcGQxY,The Schoolhouse @ Punggol Digital District by Busy Bees,"88 Punggol Way, #03-111 Punggol Coast Mall, Singapore 829913",5.0,9,"[""establishment"", ""point_of_interest"", ""school""]",1.4155822,103.9104767,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJqXkLmG0V2jER4iQB7SY4hfk,Punggol Library,"1 Punggol Drive One, #01-12, Singapore 828629",4.4,522,"[""establishment"", ""library"", ""point_of_interest""]",1.4086682,103.9049973,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJbURpe_Ab2jERtE10Rb38Dbc,The Ngee Ann Kongsi Library @SIT,"11 New Punggol Rd, Level 5 W1 Campus Heart, Singapore 828616",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4141431,103.9107407,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJ6fxZjfYV2jERYbpBfp4XNXA,Ngee Ann Kongsi Library,"11 Punggol Coast Road, Singapore 829979",5.0,2,"[""establishment"", ""library"", ""point_of_interest""]",1.4141148,103.9107539,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJb0iEQwEW2jERzPinNnubDb0,Cedan Kindergarten & Child Development Centre,"198 Punggol Fld, #02-02, Singapore 820198",4.9,16,"[""establishment"", ""point_of_interest"", ""school""]",1.3995076,103.9064153,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJIcrZoAAW2jERyZ8KcxO3nwo,Kids' Kingdom Child Development and Learning Centre @ Punggol,"1 Edgefield Walk, Singapore 828850",4.5,23,"[""establishment"", ""point_of_interest"", ""school""]",1.4009793,103.9097069,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJc5DHexIW2jERw5Y42SBlW9Q,Sengkang Library,"1 Sengkang Square, #03-28 & #04-19, Singapore 545078",4.2,392,"[""establishment"", ""library"", ""point_of_interest""]",1.3917415,103.8947083,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJM2sIV-EV2jER92tIGDOcRrs,Nobleland Arts N Learning Place @ Punggol Pte Ltd,"Blk 261 Punggol Way, #01-07, Singapore 820261",4.8,24,"[""establishment"", ""point_of_interest"", ""school""]",1.4054152,103.8969093,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJm2hzj_0V2jERXNxv8PStW3k,Berry Tree Preschool - Punggol,"Block 195C Punggol Rd, #01-532, Singapore 823195",5.0,22,"[""establishment"", ""point_of_interest"", ""school""]",1.4011094,103.9068634,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJZaDS8P492jER6hGBr1nCdoI,Nobleland Arts N Learning Place @ Waterway Pte Ltd,"665A Punggol Dr., #02-512, Singapore 821665",4.9,41,"[""establishment"", ""point_of_interest"", ""school""]",1.4023387,103.9136339,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJ_bXb5zcV2jERFlM9M4as-N0,PlayFACTO School @ Marina Country Club Punggol | Student Care Punggol Marina,"11 Northshore Dr, #02-01 Punggol Marina Club, Singapore 828670",5.0,95,"[""establishment"", ""point_of_interest""]",1.4151523,103.8989929,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJqTYCWvsV2jERXenQ_JRqcAg,Comics & Games Library,"88 Punggol Way, #01-140 Punggol Coast Mall, Singapore 829913",3.8,11,"[""establishment"", ""library"", ""point_of_interest""]",1.4148519,103.9100412,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJOWp-u2MV2jERzODXeUmi0w4,Mulberry Learning @ Punggol,"407 Northshore Drive, #03-02, Northshore Plaza, I, Singapore 820407",4.6,28,"[""establishment"", ""point_of_interest"", ""school""]",1.4170783,103.9017207,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJDYeMOc8V2jERBfM48pMOMlg,Raffles Student Care @ Punggol View,"9 Punggol Pl, Singapore 828845",5.0,1,"[""establishment"", ""point_of_interest""]",1.4055006,103.9050866,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJm-YrtZMV2jERAO1IRRygy9c,MindChamps MindSpace @ Punggol (Marina Country Club) | After School Student Care P1-P5 | MindChamps Enrichment & PSLE P1-P6,"MindSpace Punggol, 11 Northshore Dr, #02-02 Marina Country Club, Singapore 828670",4.9,32,"[""establishment"", ""point_of_interest""]",1.4151523,103.8989929,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJKUKObeIV2jEReNXD-sPneYM,Media Resources Library,"98 Punggol Walk, Singapore",4.5,2,"[""establishment"", ""library"", ""point_of_interest""]",1.4018415,103.8986922,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,"9 Sentul Cres, #04-07 SAFRA, Punggol 828654",4.7,147,"[""establishment"", ""point_of_interest""]",1.4103163,103.9061147,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJL_NVReMV2jERAFBBGmnAguI,I Can Read,"83 Punggol Central, #02 - 06, Singapore 828761",4.5,237,"[""establishment"", ""point_of_interest""]",1.4060351,103.9018177,True
Punggol,Coney Island,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Coney Island, Punggol, Singapore",ChIJocw18R8X2jERb3PlI8ALa6A,The Write Connection - Punggol Plaza,"Punggol Plaza, Punggol Fld, #04-08, Singapore 820168",4.9,38,"[""establishment"", ""point_of_interest""]",1.3941746,103.9130396,True
