planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,0,Spence,https://www.google.com/maps/contrib/109537908143287059616/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI56oKmQS0jFkT8arQV0KVTMfO8K8yd8Y4xCvn3Ft2ShssNuQ=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772128364,Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok.
Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,1,Kavitha,https://www.google.com/maps/contrib/110358363802981682934/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXHS2zBLbAgoj7Po1SthrL_nUlr2KRfZMKKqFjodKm4lISxPjIK3A=s128-c0x00000000-cc-rp-mo-ba6,4,2 weeks ago,1782785924,"A nice beautiful place ... There is a library... Foods ... Places to sit n relax ...
Movie screen to watch movies... 😉
Bedok polyclinic...there is a library inside bedok hub...there is a foodplace to eat, swimming complex..."
Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,2,Will C,https://www.google.com/maps/contrib/108770861412310662498/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqv50lVVygW78t0XYwwfPaQogn6V8HTok_jSxbWHWumA_SElXiUA=s128-c0x00000000-cc-rp-mo-ba4,5,8 months ago,1762125893,"This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for warm weather days. The Olympic pool has a shelter. There is an activesg gym on the 6th floor that overlooks the pool if you want to work out (separate entrance fee of 2.50 sgd). However, the gym are strict with footwear and need to bring your own towel."
Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,3,Arc Chua,https://www.google.com/maps/contrib/113018417947997443979/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUbpN9RxBVo_Edgzjcjm6N_FFVqJ5Dg8JE4FQsukz5S7IcZOHZA=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,1767530760,"So many activities here. U got library, gym, multi purpose hall, swimming pool, classes for booking. Amazing place"
Punggol,Punggol Canal,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,4,Nadeesha Athukorala,https://www.google.com/maps/contrib/100906096244558577191/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXktMKwN18Rreba4SQkX3Aa6bhwXi35k953qVVG8NnKUfwY9W8=s128-c0x00000000-cc-rp-mo-ba6,5,11 months ago,1753841793,"Actually, It's a great location, close to the MRT and shops around. They Have  shopping stores and eateries as well.

It's a Fantastic place for kids to learn swimming at Level 5.They Have Indoor pools too in case it rains, So confirm wont miss the lessons.

Love the design of the place, very lively and green! Has a lot of activities happening as well related to community activities...🏊🤽🩱🌿🍃"
Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,0,Seanie,https://www.google.com/maps/contrib/101432342678308979633/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ8-OWE59K_b9wo7mLauwt08YFBwYiBtMJPIz0GWXoupJ_3KQ=s128-c0x00000000-cc-rp-mo,4,6 months ago,1766465702,"The swimming complex was really great.
But there's only one problem...

They don't allow swimsuits with zippers when going to the slides"
Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,1,Puong Huei Lau,https://www.google.com/maps/contrib/105738000594461162256/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXEtfAfADo3Xmu3HSfzduua21p_3aAN2KoASFQ7XZKRP8mSqGds=s128-c0x00000000-cc-rp-mo-ba3,5,11 months ago,1754056988,definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around.
Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,2,lim veronica,https://www.google.com/maps/contrib/105833608517509445675/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKw9jjKoLNV6IBXWqGub023DkFYtkbnd2Kr_0YDydcdmKbidQ=s128-c0x00000000-cc-rp-mo,1,4 months ago,1773555363,"The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their leg. We saw the aunty mop the floor and just walk out. We thought she just done cleaning the washroom may be. Then when we walk in, the toilet is full of tissue on the floor and she just ignore and go out. More cleanser required."
Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,3,Arati Menon-Tan,https://www.google.com/maps/contrib/117512170402631235578/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVSAZLUvVWG7d02-XB2Ay9nBKLzgKE5VovsA61VnUVUvJ0v_DIl=s128-c0x00000000-cc-rp-mo-ba5,4,a year ago,1738669648,Good variety of age appropriate pools. Jacuzzi jets don't really work well at all the spots. Jacuzzi water are constantly cold.
Punggol,Coney Island,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,4,Mohamed Muzammil,https://www.google.com/maps/contrib/103830381498088835575/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJdUdXABbQvPMJR8oR1O12jB1aMePIEETaxdoAEtMKoc2k1DQ=s128-c0x00000000-cc-rp-mo-ba4,4,a month ago,1780661514,Quite a few different pools for all ages! Remember not to wear swimwear with zipper if you are planning to take the slides!
