timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-18T17:03:11.150647,text_search,2,AIzaSy...8yB0,3,River Valley,Institution Hill,education,kindergarten,"kindergarten in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:11.784508,text_search,2,AIzaSy...8yB0,4,River Valley,Institution Hill,education,childcare centre,"childcare centre in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:12.794631,text_search,2,AIzaSy...8yB0,5,River Valley,Institution Hill,education,primary school,"primary school in Institution Hill, River Valley, Singapore",OK,,1,
2026-07-18T17:03:13.935803,text_search,2,AIzaSy...8yB0,6,River Valley,Institution Hill,education,secondary school,"secondary school in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:14.910814,text_search,2,AIzaSy...8yB0,7,River Valley,Institution Hill,education,junior college,"junior college in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:15.647258,text_search,2,AIzaSy...8yB0,8,River Valley,Institution Hill,education,polytechnic,"polytechnic in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:16.615366,text_search,2,AIzaSy...8yB0,9,River Valley,Institution Hill,education,university,"university in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:17.487833,text_search,2,AIzaSy...8yB0,10,River Valley,Institution Hill,education,tuition centre,"tuition centre in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:18.441885,text_search,2,AIzaSy...8yB0,11,River Valley,Institution Hill,education,library,"library in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:19.621645,text_search,2,AIzaSy...8yB0,12,River Valley,Institution Hill,transport,MRT station,"MRT station in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:20.680892,text_search,2,AIzaSy...8yB0,13,River Valley,Institution Hill,transport,bus stop,"bus stop in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:21.554458,text_search,2,AIzaSy...8yB0,14,River Valley,Institution Hill,transport,bus interchange,"bus interchange in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:22.394681,text_search,2,AIzaSy...8yB0,15,River Valley,Institution Hill,transport,LRT station,"LRT station in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:23.580553,text_search,2,AIzaSy...8yB0,16,River Valley,Institution Hill,food,hawker centre,"hawker centre in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:24.736570,text_search,2,AIzaSy...8yB0,17,River Valley,Institution Hill,food,food court,"food court in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:25.369606,text_search,2,AIzaSy...8yB0,18,River Valley,Institution Hill,food,coffee shop,"coffee shop in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:26.255328,text_search,2,AIzaSy...8yB0,19,River Valley,Institution Hill,food,restaurant,"restaurant in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:27.307127,text_search,2,AIzaSy...8yB0,20,River Valley,Institution Hill,food,cafe,"cafe in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:28.306181,text_search,2,AIzaSy...8yB0,21,River Valley,Institution Hill,shopping,shopping mall,"shopping mall in Institution Hill, River Valley, Singapore",OK,,9,
2026-07-18T17:03:29.513157,text_search,2,AIzaSy...8yB0,22,River Valley,Institution Hill,shopping,supermarket,"supermarket in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:30.617687,text_search,2,AIzaSy...8yB0,23,River Valley,Institution Hill,shopping,grocery store,"grocery store in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:31.554775,text_search,2,AIzaSy...8yB0,24,River Valley,Institution Hill,shopping,convenience store,"convenience store in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:32.779432,text_search,2,AIzaSy...8yB0,25,River Valley,Institution Hill,shopping,wet market,"wet market in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:33.879748,text_search,2,AIzaSy...8yB0,26,River Valley,Institution Hill,recreation,gym,"gym in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:34.911222,text_search,2,AIzaSy...8yB0,27,River Valley,Institution Hill,recreation,sports centre,"sports centre in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:35.675947,text_search,2,AIzaSy...8yB0,28,River Valley,Institution Hill,recreation,swimming complex,"swimming complex in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:36.839069,text_search,2,AIzaSy...8yB0,29,River Valley,Institution Hill,recreation,cinema,"cinema in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:37.936835,text_search,2,AIzaSy...8yB0,30,River Valley,Institution Hill,recreation,community club,"community club in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:38.768154,text_search,2,AIzaSy...8yB0,31,River Valley,Institution Hill,recreation,playground,"playground in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:39.696648,text_search,2,AIzaSy...8yB0,32,River Valley,Institution Hill,nature,park,"park in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:40.582896,text_search,2,AIzaSy...8yB0,33,River Valley,Institution Hill,nature,nature reserve,"nature reserve in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:41.617973,text_search,2,AIzaSy...8yB0,34,River Valley,Institution Hill,nature,garden,"garden in Institution Hill, River Valley, Singapore",OK,,20,
2026-07-18T17:03:42.605728,text_search,2,AIzaSy...8yB0,35,River Valley,Institution Hill,nature,beach,"beach in Institution Hill, River Valley, Singapore",OK,,15,
2026-07-18T17:03:43.447404,text_search,2,AIzaSy...8yB0,36,River Valley,Institution Hill,nature,waterfront,"waterfront in Institution Hill, River Valley, Singapore",OK,,20,
