planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
River Valley,Institution Hill,education,13,4.367,3475,87.34
River Valley,Institution Hill,transport,5,4.16,530,83.2
River Valley,Institution Hill,food,10,4.51,8159,90.2
River Valley,Institution Hill,shopping,8,4.175,59250,83.5
River Valley,Institution Hill,recreation,10,4.59,3813,91.8
River Valley,Institution Hill,nature,11,4.41,29587,88.2
River Valley,Leonie Hill,education,14,4.455,1530,89.1
River Valley,Leonie Hill,transport,4,4.267,115,85.34
River Valley,Leonie Hill,food,8,4.243,6750,84.86
River Valley,Leonie Hill,shopping,9,4.025,4997,80.5
River Valley,Leonie Hill,recreation,10,4.433,490,88.66
River Valley,Leonie Hill,nature,5,4.15,151,83.0
River Valley,One Tree Hill,education,13,4.373,3791,87.46
River Valley,One Tree Hill,transport,4,4.4,190,88.0
River Valley,One Tree Hill,food,9,4.322,7067,86.44
River Valley,One Tree Hill,shopping,7,3.329,6893,66.58
River Valley,One Tree Hill,recreation,12,4.567,3052,91.34
River Valley,One Tree Hill,nature,10,4.58,4438,91.6
River Valley,Oxley,education,14,4.4,3709,88.0
River Valley,Oxley,transport,4,4.275,191,85.5
River Valley,Oxley,food,9,4.278,21605,85.56
River Valley,Oxley,shopping,8,4.425,15253,88.5
River Valley,Oxley,recreation,11,4.3,6872,86.0
River Valley,Oxley,nature,7,4.317,11019,86.34
River Valley,Paterson,education,16,4.292,5750,85.84
River Valley,Paterson,transport,6,4.217,1463,84.34
River Valley,Paterson,food,10,4.39,24677,87.8
River Valley,Paterson,shopping,9,4.178,26685,83.56
River Valley,Paterson,recreation,12,4.242,9545,84.84
River Valley,Paterson,nature,10,4.38,21706,87.6
