planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
River Valley,Institution Hill,education,kindergarten,"kindergarten in Institution Hill, River Valley, Singapore",ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),"336 River Valley Rd, #01-00, Singapore 238366",4.6,16,"[""establishment"", ""point_of_interest"", ""school""]",1.2960792,103.8385122,True
River Valley,Institution Hill,education,kindergarten,"kindergarten in Institution Hill, River Valley, Singapore",ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,"262 River Valley Rd, Singapore 238308",5.0,25,"[""establishment"", ""point_of_interest"", ""school""]",1.2945922,103.841979,True
River Valley,Institution Hill,education,primary school,"primary school in Institution Hill, River Valley, Singapore",ChIJN0U4f5sZ2jERvMJyLZdur2s,River Valley Primary School,"2 River Vly Grn, Singapore 237993",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.2938838,103.8363894,True
River Valley,Institution Hill,education,secondary school,"secondary school in Institution Hill, River Valley, Singapore",ChIJ6bZLcpkZ2jER93bC-z2IZfQ,DIMENSIONS School of Higher Education / Languages (City Campus),"277 River Valley Rd, Singapore 238318",3.5,32,"[""establishment"", ""point_of_interest"", ""university""]",1.295678,103.840207,True
River Valley,Institution Hill,education,secondary school,"secondary school in Institution Hill, River Valley, Singapore",ChIJq6r6EpkZ2jER6iB6Cx-PJXg,Dimensions International College,"277 River Valley Rd, Singapore 238318",3.5,41,"[""establishment"", ""point_of_interest"", ""university""]",1.2956694,103.8402676,True
River Valley,Institution Hill,education,junior college,"junior college in Institution Hill, River Valley, Singapore",ChIJ61lTU6EQ2jERiBDECMxHYFY,National Junior College,"37 Hillcrest Rd, Singapore 288913",4.4,182,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.330476,103.8045,True
River Valley,Institution Hill,education,junior college,"junior college in Institution Hill, River Valley, Singapore",ChIJESRAQ1sa2jERlSmmrDCCriw,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",4.0,119,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3031354,103.785109,True
River Valley,Institution Hill,education,polytechnic,"polytechnic in Institution Hill, River Valley, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
River Valley,Institution Hill,education,polytechnic,"polytechnic in Institution Hill, River Valley, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,500,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
River Valley,Institution Hill,education,tuition centre,"tuition centre in Institution Hill, River Valley, Singapore",ChIJkYFOqZQZ2jERyK47GVvwBUE,Erudition Learning Hub,"111 Somerset Rd, #03-09, Singapore 238164",5.0,56,"[""establishment"", ""point_of_interest""]",1.3003361,103.8373053,True
