planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
River Valley,Institution Hill,education,kindergarten,ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),4.6,16,0,E Lin,https://www.google.com/maps/contrib/104675915187430644834/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXNes1qW4MXZFuPj2rrqPMtMq3PSKzQRfeKQLWSq9gSxug3YPM3=s128-c0x00000000-cc-rp-mo,5,7 months ago,1765791656,"My daughter has had the amazing years at RV Superland since N2! The teachers are so caring and attentive, making learning fun and engaging. We’ve seen her grow in confidence, curiosity, and social skills. Highly recommend Superland for any parent looking for a nurturing and joyful environment for their child!"
River Valley,Institution Hill,education,kindergarten,ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),4.6,16,1,Leroy Bahroocha,https://www.google.com/maps/contrib/108005963057556430124/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLL0ImUwl2EowC0ZUAAN3nLgibrF6ZcSokL4bQ-HJJ9TM_XsQ=s128-c0x00000000-cc-rp-mo,5,7 months ago,1765900604,"Our child has been enjoying life at Superland RV since 9 months of age 😊. Now, as he approaches his final year in Kindergarten 2 (omg—time really flies!), he has thoroughly enjoyed his very first school experience.

We would like to thank the Superland team and his wonderful teachers—especially Ain and Yuan—for making learning so fun and engaging. As parents, we have truly been spoiled by the frequent photo and video updates from school. You can’t imagine how much those updates brighten our day! Thank you for being so diligent in sharing them.

We also love the annual school dance concerts. These events build so much self-confidence in the children, and it’s wonderful to see them shine on stage. Our child has had such a positive learning experience, where meaningful friendships were also formed.

Once again, thank you so much for everything!"
River Valley,Institution Hill,education,kindergarten,ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),4.6,16,2,Thomas,https://www.google.com/maps/contrib/107250963190682496586/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjX64xsZywsIEiyrzPbCS5d77fGp91ek3F2AedErRzC97oiUSjyJ5A=s128-c0x00000000-cc-rp-mo,5,7 months ago,1765945404,"Our little one has been at Superland River Valley as early as 4 months old and we have been delighted by the care, love and teaching received since then. Furthermore, having French class has been a real help to providing him with strong bilingual foundations! Teaching at Superland has been wonderful with so many classes: Montessori, Music, Art, PE and he has been learning so much. Thank you Superland RV team and teachers for the wonderful work and care!"
River Valley,Institution Hill,education,kindergarten,ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),4.6,16,3,Lin YL,https://www.google.com/maps/contrib/108417765367271938977/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUdVG24B-fVVUSlZIbAqIfDY2Eq_vhS21mKeQcAOYlBoPUY2oiDdA=s128-c0x00000000-cc-rp-mo-ba3,5,7 months ago,1765764406,"My child has enrolled in Superland River Valley since Infant Care and she is absolutely thriving. Now at PG, she loves her friends, her teachers, has grown into an independent 2 year old, and explores the world with wild confidence. She regularly comes back from school surprising us with skills and vocabulary that we did not teach at home. When a new preschool nearer to our home became available, we debated switching her over. However, seeing her thrive at Superland, we made the easy decision to stay put and have no regrets."
River Valley,Institution Hill,education,kindergarten,ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),4.6,16,4,tanya kapoor,https://www.google.com/maps/contrib/107559502796054071775/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJYYrrD6fRC2dcYSFx4LLNLo47MnZUBWGHm8eTKD0njfWM7og=s128-c0x00000000-cc-rp-mo,5,a year ago,1722696728,"We had a wonderful experience at Superland. My son started going to Superland when he was 20 months old. The teachers have been very kind and have taken excellent care of him. They do a lot of interesting activities which helps with their overall development. They organise excursions from time to time as well as organise weekly outings to Fort Canning Park. I’m very grateful to the teachers for all the love, care, help, support and learning."
River Valley,Institution Hill,education,kindergarten,ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,5.0,25,0,Maiko,https://www.google.com/maps/contrib/110174992184576430564/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWlZFIS_VGkX0DzRxJXZlu9PsvfW2_F6oui6TwclVZ8HcbUWYc=s128-c0x00000000-cc-rp-mo,5,6 months ago,1766297557,"It has been two and a half years since my son started attending this school, and he is really looking forward to going to school every day.
It's a very homely school where the entire school feels like a family.
All the teachers are passionate about teaching and care about their students.

Over the past year, he has been indebted to Teacher Skye, Qian Ping Laoshi and Wu Laoshi.
We're very grateful to them for their patience with our son no matter what.
I highly recommend this school!"
River Valley,Institution Hill,education,kindergarten,ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,5.0,25,1,Tony “Gongshi” Sun,https://www.google.com/maps/contrib/114445234859268697343/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjU7sFnXkK8B6fEzxQHVHxdXVfHwkTBFGjKCKe0UfKDDh3lSMqIaLg=s128-c0x00000000-cc-rp-mo,5,6 months ago,1766573314,"My son has genuinely thrived here. We’ve seen clear growth in his confidence and independence: he separates more easily now and is excited to try new things.

The teachers are warm and very responsive, and they’ve helped him build great daily routines (meals, handwashing, and nap time). Learning is also thoughtfully designed and age-appropriate: language, numbers, music, art, and sensory activities. He often come home to surprise me with new things learned at school.

We also really appreciate the proactive updates and communication so we can also enjoy the happy moments he spent in school."
River Valley,Institution Hill,education,kindergarten,ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,5.0,25,2,Isaac Lim,https://www.google.com/maps/contrib/113910978516749520024/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVH3sRMQY9pd8hwJcN9X7k2LzbLN6ua27mf6zXry2JnuCAQNvAgDQ=s128-c0x00000000-cc-rp-mo-ba2,5,7 months ago,1765593663,"This praise is for Teacher Skye and Qian Ping Laoshi! They are such loving and dedicated teachers, and we are so lucky to have had them guide our child this year. They put in so much attention and effort that they put in to give our child an encouraging academic environment. Thank you so much, teachers and Cambridge!"
River Valley,Institution Hill,education,kindergarten,ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,5.0,25,3,Summer Yin,https://www.google.com/maps/contrib/105210506456686876020/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjU41xQ0vBhRFh_wnnMjkC7LTU8uZ2RtJ587wT2m0S1GPik2Z6q-=s128-c0x00000000-cc-rp-mo,5,7 months ago,1766058342,"We have been with Cambridge River Valley for over two years, and it has truly been the best decision we’ve made for our daughter. From day one, the school has felt warm, nurturing, and full of positive energy. The children are genuinely happy to be there, and the overall vibe of the school is amazing.

The teachers are exceptional. We are incredibly grateful to Jing Wen Laoshi, Teacher Munis, Teacher Jen, Tong Laoshi, and Zeng Laoshi, and Principal Jo for their care, patience, and dedication. They have made such a meaningful impact on the children’s growth and confidence.

There are so many things we love about the school:
1.	Enrichment classes during school days – The school offers a wide variety of enrichment programs that allow children to explore different interests. Each semester includes performance showings, which is a wonderful way for parents to see the children’s progress and confidence grow.

2.	True bilingual (and sometimes trilingual) environment – The exposure to Chinese, English, and even Japanese at such an early age is incredible. It feels very natural and immersive, and the kids pick up languages so easily.

3.	Strong family and community values – The school warmly welcomes parent participation and organizes meaningful events such as Mother’s Day, Father’s Day, and Grandparents’ Day. They truly value family involvement and celebrate all religions and cultures, making it a very diverse and inclusive environment.

4.	Thoughtful STEAM curriculum – The STEAM program introduces important concepts in age-appropriate ways, helping children develop holistically—academically, creatively, and socially.

We are so thankful to be part of the Cambridge River Valley community. ❤️"
River Valley,Institution Hill,education,kindergarten,ChIJJ1rP4p4Z2jERTuGtVjG6BZE,Cambridge @ River Valley,5.0,25,4,Asami,https://www.google.com/maps/contrib/113861275703978585535/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXpPF5mqJFjFejNp7OLuEiBSY_zhmqK5pV2ZiWZnB5aaoYltmU=s128-c0x00000000-cc-rp-mo,5,6 months ago,1766479477,"Cambridge@River Valley is amazing!

The teachers are absolutely wonderful, and we feel so lucky to have found such a caring team.
We are especially grateful to Qian Ping Laoshi, Teacher Skye, Tong Laoshi, Teacher Jenn, Zeng Laoshi, Jing Wen Laoshi, Teacher Munis and Wu Laoshi.

There are also great support from Japanese teachers(Megumi Sensei and Akira Sensei), which give them a lot of peace of mind.
We really appreciate that they teach the children a lot about Japanese culture and manners as well. It means so much to us and is a huge help. It’s truly a great support for Japanese expatriate families too.

We truly recommend this school.
Our children love it so much that they even want to go on their days off, and seeing how happy they are makes us happy as parents too."
River Valley,Institution Hill,education,secondary school,ChIJ6bZLcpkZ2jER93bC-z2IZfQ,DIMENSIONS School of Higher Education / Languages (City Campus),3.5,32,0,Megha Hegde,https://www.google.com/maps/contrib/107476333117071763908/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJVkJqe1HZPreG-wRQfpxesQmWYezPj39kblIZBTKymj_XOb00=s128-c0x00000000-cc-rp-mo,1,8 months ago,1762935628,"0 star pathetic school  is extremely disappointing, and many teachers behave like bullies towards students. They destroy students’ confidence. I strongly advise against enrolling your child here."
River Valley,Institution Hill,education,secondary school,ChIJ6bZLcpkZ2jER93bC-z2IZfQ,DIMENSIONS School of Higher Education / Languages (City Campus),3.5,32,1,silygy xxx,https://www.google.com/maps/contrib/111330193207525511741/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWH_0CrRea1nW4snWxjnwksk_8ISJb2leAXJmsdyagVCbCoIeM=s128-c0x00000000-cc-rp-mo,1,2 years ago,1691805472,Don't come to this school. Some   teachers even don't know how to teach and learn nothing from the class.Studying here is a waste of time and life.
