planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Rochor,Bencoolen,education,20,4.4,3012,88.0
Rochor,Bencoolen,transport,20,4.24,4146,84.8
Rochor,Bencoolen,food,20,4.365,121807,87.3
Rochor,Bencoolen,shopping,20,4.295,164341,85.9
Rochor,Bencoolen,recreation,20,4.355,9227,87.1
Rochor,Bencoolen,nature,20,4.45,184482,89.0
Rochor,Farrer Park,education,20,4.653,3733,93.06
Rochor,Farrer Park,transport,20,4.121,4170,82.42
Rochor,Farrer Park,food,20,4.31,147318,86.2
Rochor,Farrer Park,shopping,20,4.25,181324,85.0
Rochor,Farrer Park,recreation,20,4.315,11094,86.3
Rochor,Farrer Park,nature,20,4.425,187860,88.5
Rochor,Kampong Glam,education,20,4.728,1006,94.56
Rochor,Kampong Glam,transport,20,4.31,4668,86.2
Rochor,Kampong Glam,food,20,4.38,136179,87.6
Rochor,Kampong Glam,shopping,20,4.265,147313,85.3
Rochor,Kampong Glam,recreation,20,4.31,10018,86.2
Rochor,Kampong Glam,nature,20,4.45,188977,89.0
Rochor,Little India,education,20,4.706,3299,94.12
Rochor,Little India,transport,20,4.325,3182,86.5
Rochor,Little India,food,20,4.32,140937,86.4
Rochor,Little India,shopping,20,4.28,140701,85.6
Rochor,Little India,recreation,20,4.3,9966,86.0
Rochor,Little India,nature,20,4.45,24980,89.0
Rochor,Mackenzie,education,20,4.67,1515,93.4
Rochor,Mackenzie,transport,20,4.19,3603,83.8
Rochor,Mackenzie,food,20,4.26,169909,85.2
Rochor,Mackenzie,shopping,20,4.33,214756,86.6
Rochor,Mackenzie,recreation,20,4.24,11405,84.8
Rochor,Mackenzie,nature,20,4.34,27473,86.8
Rochor,Mount Emily,education,20,4.611,953,92.22
Rochor,Mount Emily,transport,15,4.087,3294,81.74
Rochor,Mount Emily,food,20,4.19,121917,83.8
Rochor,Mount Emily,shopping,20,4.165,133720,83.3
Rochor,Mount Emily,recreation,20,4.43,8033,88.6
Rochor,Mount Emily,nature,20,4.415,179931,88.3
Rochor,Rochor Canal,education,20,4.484,1321,89.68
Rochor,Rochor Canal,transport,13,4.2,2911,84.0
Rochor,Rochor Canal,food,20,4.315,137148,86.3
Rochor,Rochor Canal,shopping,20,4.27,168727,85.4
Rochor,Rochor Canal,recreation,20,4.22,8571,84.4
Rochor,Rochor Canal,nature,20,4.385,177987,87.7
Rochor,Selegie,education,20,4.48,1368,89.6
Rochor,Selegie,transport,20,4.275,2037,85.5
Rochor,Selegie,food,20,4.285,156271,85.7
Rochor,Selegie,shopping,20,4.29,194257,85.8
Rochor,Selegie,recreation,20,4.39,9879,87.8
Rochor,Selegie,nature,20,4.405,28657,88.1
Rochor,Sungei Road,education,20,4.432,3008,88.64
Rochor,Sungei Road,transport,20,4.31,4559,86.2
Rochor,Sungei Road,food,20,4.27,148595,85.4
Rochor,Sungei Road,shopping,20,4.27,168727,85.4
Rochor,Sungei Road,recreation,20,4.45,11254,89.0
Rochor,Sungei Road,nature,20,4.485,186228,89.7
Rochor,Victoria,education,20,4.535,2380,90.7
Rochor,Victoria,transport,20,4.275,3651,85.5
Rochor,Victoria,food,20,4.34,128052,86.8
Rochor,Victoria,shopping,20,4.33,156449,86.6
Rochor,Victoria,recreation,20,4.465,8966,89.3
Rochor,Victoria,nature,20,4.33,180187,86.6
