planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJTzu447sZ2jERd0vWRESiATI,The Ngee Ann Kongsi Library (Students' Only),"1 McNally St, Singapore 187940",4.0,7,"[""establishment"", ""library"", ""point_of_interest""]",1.3028656,103.8515975,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJZ1dF-wcZ2jERFQwOj6Y3DlQ,KIT КИТ. Russian Language. School in Singapore. Школа на русском языке в Сингапуре,"91 Bencoolen St, #08-05 Sunshine Plaza (Office Tower, Singapore 189652",5.0,19,"[""book_store"", ""establishment"", ""library"", ""point_of_interest"", ""school"", ""store""]",1.3005314,103.8508826,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJcWKu6EIZ2jERTUR7JlnDv0c,Learning Leap Student Care Centre (Newton),"204 Bukit Timah Rd, #01-00 Boon Liew Building, Singapore 229863",4.7,15,"[""establishment"", ""point_of_interest""]",1.3119379,103.8419827,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJuR6D5s0Z2jER3anRnYz7aZs,Joyful Tots at Bendemeer,"70 Bendemeer Rd, #03-03, Singapore 339940",4.6,23,"[""establishment"", ""point_of_interest"", ""school""]",1.3164173,103.8625531,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJqRJp3ZcP2jERmzeOLShQ4bI,My Reading Lab,"49 Dorset Rd, #09-112 Farrer Park Gardens, Singapore 210049",5.0,4,"[""establishment"", ""point_of_interest"", ""school""]",1.3127161,103.8499315,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJAQCcb74Z2jERBjFFNXUc3YA,Maplebear Whiz Kids Pte. Ltd.,"92 Wilkie Rd, Singapore 228086",,0,"[""establishment"", ""point_of_interest""]",1.303963,103.846899,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJh7CPSKoZ2jERHpAF-PJuAS8,PlayFACTO School @ Boon Keng | Student Care Boon Keng,"72 Bendemeer Rd, #03-11/12 Luzerne Building, Singapore 339941",4.8,81,"[""establishment"", ""point_of_interest"", ""school""]",1.3160296,103.8628655,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJ2zOiSwsZ2jERY2Wt9PYlO_A,Chinatown Library,"133 New Bridge Rd, #04-12 Chinatown Point, Singapore 059413",3.6,160,"[""establishment"", ""library"", ""point_of_interest""]",1.2852093,103.8447228,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJ-8IBCtIZ2jER7v3RZGuNkmc,Twinklekidz@Bendemeer,"80 Bendemeer Rd, #01-07, Singapore 339949",4.6,38,"[""establishment"", ""point_of_interest"", ""school""]",1.3172569,103.8635502,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJfcHMb7sZ2jERc49syyUVZAs,Nanyang Academy of Fine Arts (NAFA),"80 Bencoolen St, Singapore 189655",4.1,230,"[""establishment"", ""point_of_interest"", ""university""]",1.2999518,103.8518,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJh8NC2Lca2jERpWcQ6odfuG4,Nascans,"73 Bukit Timah Rd, #02-01, Singapore 229832",1.5,33,"[""establishment"", ""point_of_interest""]",1.3068324,103.8478062,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJF2rMTmQX2jER5wkZ3F22xDE,Red SchoolHouse Woodleigh,"48 Woodleigh Prk, #B1-01, Singapore 357844",4.4,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3424382,103.8677276,True
Rochor,Bencoolen,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bencoolen, Rochor, Singapore",ChIJXfYiWwEb2jERIU-cnclcdrw,Childhood Builder After School Pte Ltd (Student Care Centre at Redhill),"2 Leng Kee Rd, #03-07 Thye Hong Centre, Singapore 159086",4.8,25,"[""establishment"", ""point_of_interest""]",1.2910782,103.8148337,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJ-fnsPbkZ2jERV6QkEH0qt78,Bef Rochor Stn Exit B,Singapore,4.1,10,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.30461,103.852,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJNzPjqLwZ2jERoCj00IIPNs8,Bencoolen,"31 Bencoolen St, Singapore 189658",4.5,508,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.2985238,103.8499,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJz3pZSqMZ2jERU5w1BPy8gro,Bencoolen Stn Exit B,Singapore,4.1,21,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.29821,103.84936,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJazeuVI0Z2jERKCPoqpySt7Y,Bugis MRT Station (DT14),"191 Rochor Rd, Singapore 188476",4.3,128,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2993293,103.8570591,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJjeSGZbkZ2jERsBaoiCrKBeI,Rochor Stn,Singapore,3.4,17,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.30366,103.85257,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJqwf3eRYZ2jERXnrwLUbfZjE,Rochor MRT Station (DT13) Exit B,"Central Area, Singapore",4.8,13,"[""establishment"", ""point_of_interest""]",1.3042266,103.8530813,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJzyhuXrsZ2jERa3jCPeYi41Q,Bef Bencoolen Stn Exit A,Singapore,3.0,2,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2997204,103.8511105,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJT_BKaAAZ2jEREFge_Mv78lg,Bencoolen MRT Station Exit B,"31 Bencoolen St, B2-02, Singapore 189658",4.8,9,"[""establishment"", ""point_of_interest""]",1.2982108,103.8496654,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJhzhvTqMZ2jERkC6EN0LuvPU,Opp Bencoolen Stn Exit B,Singapore,3.6,8,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2981907,103.8498325,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJV8sOb7kZ2jERBRSCAclpvf0,Rochor,Singapore,4.4,748,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.3036225,103.8526567,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJeQJtwLkZ2jERZh49gYSTnU0,Jln Besar Stn Exit A,"Jln Besar, Singapore",4.9,12,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3045315,103.85486,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJ_Qp2VrcZ2jERZcOv0uL_0y8,Queen St Ter,"Ban San St, Singapore",3.9,433,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.303537,103.8567355,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJI-AdQL8Z2jERYr8pyovhuzg,Little India,Singapore,4.2,34,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.30664,103.84921,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJN8cMlboZ2jERCfAouofl4Uw,Aft Bugis Stn Exit C,Singapore,4.3,102,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.2996128,103.855168,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJFSVqELAZ2jERt_II_K1dfeM,Bugis Stn Exit D,Singapore,4.7,6,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.298865,103.857346,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJK7TOZLAZ2jERpmk1mNwZpBM,Bugis Stn/Parkview Sq,Singapore,4.6,8,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3003734,103.8572457,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJuz41c7AZ2jERgl25Ot0ZuJw,Bugis,Singapore,4.4,2043,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.3001701,103.8561248,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJ4eCeuLwZ2jERPMlvzVQeZQ0,Sch of The Arts,Singapore,4.5,6,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.2991121,103.8490238,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJJcj0jboZ2jERMhgfEtoYuFo,Opp Bugis Stn Exit C,Singapore,4.0,23,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3000755,103.8551629,True
Rochor,Bencoolen,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bencoolen, Rochor, Singapore",ChIJUwkafroZ2jERQWhI1MHlfbw,Bugis Stn Exit B,Singapore,4.3,15,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3007416,103.8561255,True
