timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:48:06.921226,text_search,2,AIzaSy...8yB0,94,Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:09.454757,text_search,2,AIzaSy...8yB0,95,Seletar,Pulau Punggol Barat,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:12.082976,text_search,2,AIzaSy...8yB0,96,Seletar,Pulau Punggol Barat,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:14.749625,text_search,2,AIzaSy...8yB0,97,Seletar,Pulau Punggol Barat,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:17.385787,text_search,2,AIzaSy...8yB0,98,Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:19.989101,text_search,2,AIzaSy...8yB0,99,Seletar,Pulau Punggol Barat,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Pulau Punggol Barat, Seletar, Singapore",OK,,20,
2026-07-20T15:48:22.604527,text_search,2,AIzaSy...8yB0,100,Seletar,Pulau Punggol Timor,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Timor, Seletar, Singapore",OK,,20,
2026-07-20T15:48:24.754750,text_search,2,AIzaSy...8yB0,101,Seletar,Pulau Punggol Timor,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Pulau Punggol Timor, Seletar, Singapore",OK,,20,
2026-07-20T15:48:27.284826,text_search,2,AIzaSy...8yB0,102,Seletar,Pulau Punggol Timor,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Pulau Punggol Timor, Seletar, Singapore",OK,,2,
2026-07-20T15:48:29.512362,text_search,2,AIzaSy...8yB0,103,Seletar,Pulau Punggol Timor,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Pulau Punggol Timor, Seletar, Singapore",OK,,6,
2026-07-20T15:48:32.339041,text_search,2,AIzaSy...8yB0,104,Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Pulau Punggol Timor, Seletar, Singapore",OK,,20,
2026-07-20T15:48:34.569143,text_search,2,AIzaSy...8yB0,105,Seletar,Pulau Punggol Timor,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Pulau Punggol Timor, Seletar, Singapore",OK,,20,
2026-07-20T15:48:36.749893,text_search,2,AIzaSy...8yB0,106,Seletar,Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Seletar, Seletar, Singapore",OK,,20,
2026-07-20T15:48:38.847143,text_search,2,AIzaSy...8yB0,107,Seletar,Seletar,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Seletar, Seletar, Singapore",OK,,20,
