planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Seletar,Pulau Punggol Barat,education,20,4.606,1445,92.12
Seletar,Pulau Punggol Barat,transport,20,4.27,2834,85.4
Seletar,Pulau Punggol Barat,food,20,4.0,39766,80.0
Seletar,Pulau Punggol Barat,shopping,20,4.085,67624,81.7
Seletar,Pulau Punggol Barat,recreation,20,4.253,14627,85.06
Seletar,Pulau Punggol Barat,nature,20,4.535,21685,90.7
Seletar,Pulau Punggol Timor,education,20,4.6,2003,92.0
Seletar,Pulau Punggol Timor,transport,20,4.145,2705,82.9
Seletar,Pulau Punggol Timor,food,2,3.7,1446,74.0
Seletar,Pulau Punggol Timor,shopping,6,4.167,13797,83.34
Seletar,Pulau Punggol Timor,recreation,20,4.189,15445,83.78
Seletar,Pulau Punggol Timor,nature,20,4.5,20667,90.0
Seletar,Seletar,education,20,4.578,1624,91.56
Seletar,Seletar,transport,20,4.015,1725,80.3
Seletar,Seletar,food,20,4.285,48294,85.7
Seletar,Seletar,shopping,20,4.175,104012,83.5
Seletar,Seletar,recreation,20,4.255,15109,85.1
Seletar,Seletar,nature,20,4.54,19710,90.8
Seletar,Seletar Aerospace Park,education,20,4.528,1350,90.56
Seletar,Seletar Aerospace Park,transport,20,4.019,973,80.38
Seletar,Seletar Aerospace Park,food,20,4.285,27110,85.7
Seletar,Seletar Aerospace Park,shopping,20,4.225,66765,84.5
Seletar,Seletar Aerospace Park,recreation,13,4.4,8391,88.0
Seletar,Seletar Aerospace Park,nature,20,4.39,10507,87.8
