planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Seletar,Pulau Punggol Barat,education,10,4.7,7,1,2,0,6,0,1,0,4,0,0,0,"This is very great neighbourhood library with librarians who are very observant and go the extra mile. Especially I thank Ms Fazilah 9 Nov 2025 at 7.30pm. She goes the extra mile f... || We recently took our little one to Sengkang Public Library, which is conveniently located right inside Compass One. It made for a really easy family outing, as we could grab a quic... || What I like in libraries: Books that are available that I originally have on my online To-Be-Read (TBR). Spacious environments. Multiple book genres. The first thing I noticed that...",6,2,6,1,4,0
Seletar,Pulau Punggol Barat,transport,10,4.4,0,0,2,2,6,0,1,0,5,0,0,0,"Sengkang MRT station is the the most nice place and quite a lot of shops and shopping center and most of all the tickets call the stuff always have a very good nice and small on he... || Nowadays goes SengKang MRT some time have problem . MRT staff friendly guide me to another entrance. I in the MRT saw a man taking a bubble tea drinking and no one stop him .until ... || Sengkang MRT/LRT is super convenient — everything you need is connected in one spot. Whether I’m heading to work, grabbing groceries at Compass One, or just getting around the neig...",0,0,6,1,5,0
Seletar,Pulau Punggol Barat,food,10,4.4,0,0,0,4,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-4,3,0,0,0
Seletar,Pulau Punggol Barat,shopping,10,4.6,1,0,3,6,1,1,0,0,4,0,0,2,"This mall has everything you need for a relaxing weekend. There is a kids’ play area, as well as a jogging track with a beautiful lake view. It offers plenty of dining options, inc... || Waterway Point is a large and spacious mall with a good mix of shops, products, services and plenty of food options. It covers most day-to-day needs and works well as a one-stop de... || Waterway point shopping mall shopping I would say clothing shops like Uniqlo n playdress.there is a popular bookstore n a toys r us.there is a miniso ...Japan home n value shop I w...",1,-3,0,0,4,-2
Seletar,Pulau Punggol Barat,recreation,10,4.2,0,0,0,0,3,0,1,0,0,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,3,1,0,0
Seletar,Pulau Punggol Barat,nature,10,4.7,10,0,1,5,1,0,0,0,1,0,0,0,"Quiet, underrated gem in the northeast. Punggol Park has a really chill vibe, especially around the big lake in the middle. Great for evening walks, light jogs, or just sitting dow... || If u are in Hougang / Sengkang area, and wanted a park to stroll or exercise. Try this Punggol Park. Pls note that although it called Punggol Park, it’s actually in end of upper Se... || Actually, It's a Nice and quiet park with a running loop around a pond.The park with a lot of place to rest chair benches. It's shady with huge trees and bird chirping. The place i...",10,-4,1,0,1,0
Seletar,Pulau Punggol Timor,education,10,4.9,4,0,0,0,4,0,1,0,2,0,0,0,"An unforgettable family sports day where the children learned to be brave, work together, and participate actively. There were a wide variety of activities, and the kids had a grea... || MindChamps Preschool has exceeded our expectations. The school places strong emphasis on confidence-building and critical thinking, which has really helped my child become more exp... || Recently enrolled to MindChamps Punggol. It's a great school with good facilities, nice and engaging teachers, condusive environment for learning. They also frequently conduct work...",4,0,4,1,2,0
Seletar,Pulau Punggol Timor,transport,10,4.4,0,0,2,2,6,0,1,0,5,0,0,0,"Sengkang MRT station is the the most nice place and quite a lot of shops and shopping center and most of all the tickets call the stuff always have a very good nice and small on he... || Nowadays goes SengKang MRT some time have problem . MRT staff friendly guide me to another entrance. I in the MRT saw a man taking a bubble tea drinking and no one stop him .until ... || Sengkang MRT/LRT is super convenient — everything you need is connected in one spot. Whether I’m heading to work, grabbing groceries at Compass One, or just getting around the neig...",0,0,6,1,5,0
Seletar,Pulau Punggol Timor,food,10,3.7,0,0,3,1,2,0,1,0,1,0,3,0,"This is a great hawker! Well-situated with a lot of spacious seating and access to open air by SIT. The food options are plentiful and they have a lot of unique and delicious food ... || **Punggol Coast Hawker Centre** 84 Punggol Way, Singapore 829911 Punggol Hawker Centre offers a wide selection of mouth-watering dishes. Here, you can enjoy a variety of famous Sin... || Punggol Coast Hawker Centre damn solid sia. Place big and clean. No sea view lah but super near Punggol Coast MRT, walk short short only. Food choices sibei many, and got halal opt...",0,2,2,1,1,3
Seletar,Pulau Punggol Timor,shopping,10,3.5,0,0,1,4,1,0,1,0,3,0,1,0,"The Seletar Mall is one of those neighbourhood malls that quietly gets the job done. It may not be the biggest or flashiest, but it is clean, well laid out, and easy to navigate. T... || Has been ordering the food from food panda and it is the first time to eat at the actual outlet. The dishes served are very consistent to those that delivered to my home. The deliv... || Ahoy! If only every mall had a playground like this hidden gem. We were thrilled to discover this pirate-themed wonderland—packed with fun for kiddos of all ages! With 3 long slide...",0,-3,1,1,3,1
