planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJ52raRWsX2jERD7JcFe_EN3A,Little Oxford Schoolhouse @ SK02,"2 Jalan Merdu, Singapore 548651",4.9,47,"[""establishment"", ""point_of_interest"", ""school""]",1.391649,103.9003975,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJgxDOkIkX2jERwodJ4c8s7WA,Little Oxford Schoolhouse @ SK48,"48 Jalan Merdu, Singapore 548675",4.8,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3934727,103.9004817,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJqXkLmG0V2jER4iQB7SY4hfk,Punggol Library,"1 Punggol Drive One, #01-12, Singapore 828629",4.4,522,"[""establishment"", ""library"", ""point_of_interest""]",1.4086682,103.9049973,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,"9 Sentul Cres, #04-07 SAFRA, Punggol 828654",4.7,147,"[""establishment"", ""point_of_interest""]",1.4103163,103.9061147,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJgYqG6moV2jERX_90tnNlx-s,Skool4Kidz Campus @ One Punggol,"1 Punggol Dr., #03-03, Singapore 828629",4.7,60,"[""establishment"", ""point_of_interest"", ""school""]",1.4091077,103.9052892,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJxQMVb0YX2jERhu44WIwR41E,Learning Vision Sengkang General Hospital,"1 Anchorvale St, #04-21, Singapore 544835",4.9,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3963094,103.8911356,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJ08O5yd8X2jERGoCd1AlRciQ,My First Skool at 50 Sengkang West Way,"50 Sengkang W Wy, #01-381, Singapore 797621",4.7,37,"[""establishment"", ""point_of_interest"", ""school""]",1.3930497,103.8739269,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJ4bc7GPsV2jER7wq9Dl_itV8,My First Skool at 2 Punggol Drive | Preschool | Childcare | Playgroup | Infant Care | Large Centre,"2 Punggol Dr., Singapore 828803",4.2,47,"[""establishment"", ""point_of_interest"", ""school""]",1.4071571,103.9043372,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJKUKObeIV2jEReNXD-sPneYM,Media Resources Library,"98 Punggol Walk, Singapore",4.5,2,"[""establishment"", ""library"", ""point_of_interest""]",1.4018415,103.8986922,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJc5DHexIW2jERw5Y42SBlW9Q,Sengkang Library,"1 Sengkang Square, #03-28 & #04-19, Singapore 545078",4.2,392,"[""establishment"", ""library"", ""point_of_interest""]",1.3917415,103.8947083,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJkS1PGwAX2jERPZwpMof5BzI,Little Children's Library,"350 Anchorvale Rd, Singapore 544317",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.3929354,103.8865545,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJIcrZoAAW2jERyZ8KcxO3nwo,Kids' Kingdom Child Development and Learning Centre @ Punggol,"1 Edgefield Walk, Singapore 828850",4.5,23,"[""establishment"", ""point_of_interest"", ""school""]",1.4009793,103.9097069,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJbURpe_Ab2jERtE10Rb38Dbc,The Ngee Ann Kongsi Library @SIT,"11 New Punggol Rd, Level 5 W1 Campus Heart, Singapore 828616",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4141431,103.9107407,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJM2sIV-EV2jER92tIGDOcRrs,Nobleland Arts N Learning Place @ Punggol Pte Ltd,"Blk 261 Punggol Way, #01-07, Singapore 820261",4.8,24,"[""establishment"", ""point_of_interest"", ""school""]",1.4054152,103.8969093,True
Seletar,Pulau Punggol Barat,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Punggol Barat, Seletar, Singapore",ChIJ9-qiMG0W2jEROa-UF_22YY8,Berry Tree Preschool - Sengkang,"Block 319C Anchorvale Dr, #01-66, Singapore 543319",4.6,22,"[""establishment"", ""point_of_interest"", ""school""]",1.390864,103.8907253,True
