timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:49:16.216667,text_search,2,AIzaSy...8yB0,130,Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:18.563217,text_search,2,AIzaSy...8yB0,131,Sembawang,Admiralty,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:21.092429,text_search,2,AIzaSy...8yB0,132,Sembawang,Admiralty,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:23.798662,text_search,2,AIzaSy...8yB0,133,Sembawang,Admiralty,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:26.269121,text_search,2,AIzaSy...8yB0,134,Sembawang,Admiralty,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:28.819029,text_search,2,AIzaSy...8yB0,135,Sembawang,Admiralty,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Admiralty, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:31.573709,text_search,2,AIzaSy...8yB0,136,Sembawang,Sembawang Central,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sembawang Central, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:33.950455,text_search,2,AIzaSy...8yB0,137,Sembawang,Sembawang Central,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Sembawang Central, Sembawang, Singapore",OK,,15,
2026-07-20T15:49:36.804165,text_search,2,AIzaSy...8yB0,138,Sembawang,Sembawang Central,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Sembawang Central, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:39.196666,text_search,2,AIzaSy...8yB0,139,Sembawang,Sembawang Central,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Sembawang Central, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:41.497540,text_search,2,AIzaSy...8yB0,140,Sembawang,Sembawang Central,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Sembawang Central, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:43.870663,text_search,2,AIzaSy...8yB0,141,Sembawang,Sembawang Central,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Sembawang Central, Sembawang, Singapore",OK,,11,
2026-07-20T15:49:46.400651,text_search,2,AIzaSy...8yB0,142,Sembawang,Sembawang East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sembawang East, Sembawang, Singapore",OK,,20,
2026-07-20T15:49:48.859296,text_search,2,AIzaSy...8yB0,143,Sembawang,Sembawang East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Sembawang East, Sembawang, Singapore",OK,,15,
