planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Sembawang,Admiralty,education,20,4.81,1336,96.2
Sembawang,Admiralty,transport,20,4.15,2889,83.0
Sembawang,Admiralty,food,20,3.96,27741,79.2
Sembawang,Admiralty,shopping,20,4.175,106721,83.5
Sembawang,Admiralty,recreation,20,4.205,9702,84.1
Sembawang,Admiralty,nature,20,4.432,17718,88.64
Sembawang,Sembawang Central,education,20,4.715,1878,94.3
Sembawang,Sembawang Central,transport,15,3.987,1637,79.74
Sembawang,Sembawang Central,food,20,4.155,64867,83.1
Sembawang,Sembawang Central,shopping,20,4.15,64838,83.0
Sembawang,Sembawang Central,recreation,20,4.385,6588,87.7
Sembawang,Sembawang Central,nature,11,4.473,12626,89.46
Sembawang,Sembawang East,education,20,4.705,869,94.1
Sembawang,Sembawang East,transport,15,3.987,1637,79.74
Sembawang,Sembawang East,food,20,4.115,40357,82.3
Sembawang,Sembawang East,shopping,20,4.115,55625,82.3
Sembawang,Sembawang East,recreation,20,4.35,6054,87.0
Sembawang,Sembawang East,nature,14,4.479,14899,89.58
Sembawang,Sembawang North,education,20,4.68,856,93.6
Sembawang,Sembawang North,transport,16,4.075,2196,81.5
Sembawang,Sembawang North,food,20,4.08,40268,81.6
Sembawang,Sembawang North,shopping,20,4.165,63319,83.3
Sembawang,Sembawang North,recreation,20,4.34,7696,86.8
Sembawang,Sembawang North,nature,13,4.485,12656,89.7
Sembawang,Sembawang Springs,education,20,4.735,811,94.7
Sembawang,Sembawang Springs,transport,13,3.877,2202,77.54
Sembawang,Sembawang Springs,food,20,4.125,36066,82.5
Sembawang,Sembawang Springs,shopping,20,4.165,62241,83.3
Sembawang,Sembawang Springs,recreation,20,4.445,5501,88.9
Sembawang,Sembawang Springs,nature,14,4.479,13302,89.58
Sembawang,Sembawang Straits,education,20,4.735,812,94.7
Sembawang,Sembawang Straits,transport,13,3.969,1618,79.38
Sembawang,Sembawang Straits,food,1,4.2,1945,84.0
Sembawang,Sembawang Straits,shopping,14,4.021,18936,80.42
Sembawang,Sembawang Straits,recreation,20,4.47,4616,89.4
Sembawang,Sembawang Straits,nature,14,4.479,12661,89.58
Sembawang,Senoko North,education,20,4.795,922,95.9
Sembawang,Senoko North,transport,10,3.611,1580,72.22
Sembawang,Senoko North,food,20,4.22,37020,84.4
Sembawang,Senoko North,shopping,1,3.9,815,78.0
Sembawang,Senoko North,recreation,20,4.26,9475,85.2
Sembawang,Senoko North,nature,20,4.455,27267,89.1
Sembawang,Senoko South,education,20,4.658,951,93.16
Sembawang,Senoko South,transport,20,3.953,1652,79.06
Sembawang,Senoko South,food,20,4.155,135068,83.1
Sembawang,Senoko South,shopping,20,4.14,44396,82.8
Sembawang,Senoko South,recreation,20,4.455,5561,89.1
Sembawang,Senoko South,nature,20,4.4,24023,88.0
Sembawang,The Wharves,education,20,4.72,807,94.4
Sembawang,The Wharves,transport,13,3.862,1647,77.24
Sembawang,The Wharves,food,20,4.25,121541,85.0
Sembawang,The Wharves,shopping,20,4.09,75962,81.8
Sembawang,The Wharves,recreation,20,4.405,5222,88.1
Sembawang,The Wharves,nature,17,4.465,18033,89.3
