planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJNX1sv2YT2jERoF5IpESJXlw,My Little Campus - MLC (Sembawang),"406 Sembawang Dr, #01-828, Singapore 750406",5.0,13,"[""establishment"", ""point_of_interest"", ""school""]",1.4530174,103.8170112,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJSTHr5WAT2jER8sdXJTNxrzo,My First Skool at Blk 491 Admiralty Link,"491 Admiralty Link, #01-191, Singapore 750491",5.0,3,"[""establishment"", ""point_of_interest"", ""school""]",1.4561222,103.8175959,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJs_kR2cIT2jERvkkE_qfSPAU,Wharton Montessori Preschool @ Sembawang,"8 Admiralty St, #01-13, Admirax 757438",5.0,20,"[""establishment"", ""point_of_interest"", ""school""]",1.4625623,103.8160974,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJEXlbHVwT2jER5BU273xZK0s,Little Footprints Preschool @ Admiralty,"8 Admiralty St, #01-03, Admirax, Singapore 757438",4.8,36,"[""establishment"", ""point_of_interest"", ""school""]",1.4625623,103.8160974,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJZZaMpAkT2jEREgLhS6GBRwQ,My First Skool at Kampung Admiralty,"Woodlands Drive 71, #06-02 Blk 676, Singapore 730676",5.0,15,"[""establishment"", ""point_of_interest"", ""school""]",1.4397745,103.8008056,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJO5JBPuUT2jERGtV9cpphGt8,EduFirst Learning Centre (Sembawang) - English Math Chinese Science Tuition Centre Student Care Singapore,"2 Sembawang Cres, #02 05 06 Canberra Community Club, Singapore 757632",4.8,96,"[""establishment"", ""point_of_interest""]",1.4448348,103.8196639,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJVVWlLmcT2jER4K3Oh72uq7o,Reliance Learning Lab,"483 Admiralty Link, #01-25, Singapore 750483",4.8,28,"[""establishment"", ""point_of_interest""]",1.4560624,103.8154224,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJNTlHDncU2jERMf2p39hUWew,Maplebear Sembawang,"29 Jln Lengkok Sembawang, Singapore 759218",5.0,26,"[""establishment"", ""point_of_interest"", ""school""]",1.4282383,103.8249065,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJ0_2v-goT2jERnC823Yt8ZYg,First Steps Preschool @ Admiralty,"701 Woodlands Drive 40, Singapore 730701",5.0,11,"[""establishment"", ""point_of_interest""]",1.441439,103.7962129,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJnVjyIGMT2jER1AP2Rg9FFT4,Star Learners @ Sembawang Way | Preschool & Childcare,"355 Sembawang Wy, #02-02, Singapore 750355",5.0,116,"[""establishment"", ""point_of_interest"", ""school""]",1.4500614,103.8184399,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJ_5R36voV2jERNLwksv34gLs,MindChamps MindSpace @ Sembawang Shopping Centre (Canberra) | After School Student Care | MindChamps Enrichment for P1-P5,"604 Sembawang Rd, #03-14 Sembawang Shopping Centre, Singapore 758459",5.0,42,"[""establishment"", ""point_of_interest""]",1.4420175,103.8250677,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJHyby1H8U2jERcLpQogdt3pc,Star Learners @ Sembawang Place | Preschool & Childcare,"587 Sembawang Pl, Singapore 758440",4.8,51,"[""establishment"", ""point_of_interest"", ""school""]",1.43938,103.824555,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJW6IeMH0T2jERiY_tOOMSWeI,Sembawang Library,"30 Sembawang Dr, #05 - 01 Sun Plaza, Singapore 757713",3.9,193,"[""establishment"", ""library"", ""point_of_interest""]",1.4482825,103.8195571,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJqVqJA6YT2jERen84koMFzGM,Woodlands Library,"900 S Woodlands Dr, #01-03 Civic Centre, Singapore 730900",4.3,488,"[""establishment"", ""library"", ""point_of_interest""]",1.4349053,103.78678,True
Sembawang,Admiralty,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Admiralty, Sembawang, Singapore",ChIJm3Mfpf0T2jER_xZHp65wiaI,PlayFACTO School @ Sembawang,"Block 463B Sembawang Dr, #01-385, Singapore 752463",5.0,54,"[""establishment"", ""point_of_interest"", ""school""]",1.4560176,103.8137696,True
