timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:51:36.152572,text_search,2,AIzaSy...8yB0,201,Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:38.370362,text_search,2,AIzaSy...8yB0,202,Sengkang,Anchorvale,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Anchorvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:40.803915,text_search,2,AIzaSy...8yB0,203,Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Anchorvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:43.314603,text_search,2,AIzaSy...8yB0,204,Sengkang,Anchorvale,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Anchorvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:45.573610,text_search,2,AIzaSy...8yB0,205,Sengkang,Anchorvale,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Anchorvale, Sengkang, Singapore",OK,,19,
2026-07-20T15:51:47.854501,text_search,2,AIzaSy...8yB0,206,Sengkang,Anchorvale,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Anchorvale, Sengkang, Singapore",OK,,3,
2026-07-20T15:51:50.450485,text_search,2,AIzaSy...8yB0,207,Sengkang,Compassvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Compassvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:52.578949,text_search,2,AIzaSy...8yB0,208,Sengkang,Compassvale,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Compassvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:55.197141,text_search,2,AIzaSy...8yB0,209,Sengkang,Compassvale,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Compassvale, Sengkang, Singapore",OK,,20,
2026-07-20T15:51:57.630437,text_search,2,AIzaSy...8yB0,210,Sengkang,Compassvale,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Compassvale, Sengkang, Singapore",OK,,20,
