planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Sengkang,Anchorvale,education,20,4.75,1043,95.0
Sengkang,Anchorvale,transport,20,3.925,1889,78.5
Sengkang,Anchorvale,food,20,4.125,26324,82.5
Sengkang,Anchorvale,shopping,20,4.03,51788,80.6
Sengkang,Anchorvale,recreation,19,4.521,8322,90.42
Sengkang,Anchorvale,nature,3,4.467,5061,89.34
Sengkang,Compassvale,education,20,4.67,973,93.4
Sengkang,Compassvale,transport,20,4.106,2194,82.12
Sengkang,Compassvale,food,20,4.155,92477,83.1
Sengkang,Compassvale,shopping,20,4.09,108191,81.8
Sengkang,Compassvale,recreation,20,4.275,11625,85.5
Sengkang,Compassvale,nature,20,4.485,13248,89.7
Sengkang,Fernvale,education,20,4.712,693,94.24
Sengkang,Fernvale,transport,20,4.0,2326,80.0
Sengkang,Fernvale,food,20,4.09,30505,81.8
Sengkang,Fernvale,shopping,20,4.105,57436,82.1
Sengkang,Fernvale,recreation,20,4.295,12106,85.9
Sengkang,Fernvale,nature,20,4.415,18794,88.3
Sengkang,Lorong Halus North,education,20,4.816,1046,96.32
Sengkang,Lorong Halus North,transport,14,3.967,968,79.34
Sengkang,Lorong Halus North,food,20,4.115,93047,82.3
Sengkang,Lorong Halus North,shopping,20,4.065,53262,81.3
Sengkang,Lorong Halus North,recreation,20,4.395,9084,87.9
Sengkang,Lorong Halus North,nature,20,4.39,29984,87.8
Sengkang,Rivervale,education,20,4.753,1216,95.06
Sengkang,Rivervale,transport,20,4.235,1831,84.7
Sengkang,Rivervale,food,20,3.925,16583,78.5
Sengkang,Rivervale,shopping,20,4.12,97324,82.4
Sengkang,Rivervale,recreation,20,4.415,9914,88.3
Sengkang,Rivervale,nature,20,4.45,28809,89.0
Sengkang,Sengkang Town Centre,education,20,4.595,2650,91.9
Sengkang,Sengkang Town Centre,transport,20,3.967,1720,79.34
Sengkang,Sengkang Town Centre,food,13,4.0,12286,80.0
Sengkang,Sengkang Town Centre,shopping,20,4.05,49673,81.0
Sengkang,Sengkang Town Centre,recreation,20,4.46,8386,89.2
Sengkang,Sengkang Town Centre,nature,20,4.375,10006,87.5
Sengkang,Sengkang West,education,20,4.621,2513,92.42
Sengkang,Sengkang West,transport,20,4.079,1936,81.58
Sengkang,Sengkang West,food,20,4.13,41215,82.6
Sengkang,Sengkang West,shopping,20,4.095,96425,81.9
Sengkang,Sengkang West,recreation,20,4.375,9489,87.5
Sengkang,Sengkang West,nature,20,4.455,30517,89.1
