planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Sengkang,Anchorvale,education,10,4.8,3,1,2,0,3,0,2,0,2,0,0,0,"My child attended EduFirst from Primary 1 to 6, and we’re truly elated to have found a student care centre with such high service standards. The team at Anchorvale is thoughtful, a... || I am so grateful for Edufirst Learning Centre (Anchorvale) All three of my kids have attended, and our experience has been nothing short of wonderful. The teachers are incredibly d... || I’ve been attending Edufirst Learning Centre for the past few months, and it has made a big difference in my understanding of the subjects, especially Math and Science. The teacher...",2,2,3,2,2,0
Sengkang,Anchorvale,transport,10,4.0,0,1,0,0,3,0,1,0,5,0,0,0,"Extremely NOISY construction works of the depot extension!!! They work 24/7 every day, including weekends. Despite numerous feedback, they still carry on throughout the nights that... || there is a nice view point during sunset at the hill beside the sbs depot || Modern large bus depot for maintenance of SBS Transit trains. Reachable by two LRT stations Tongkang and Rebjong. Plenty of fasciitis including canteen and groceries. Conveniently ...",-1,0,3,1,5,0
Sengkang,Anchorvale,food,10,4.0,0,0,1,2,0,0,0,0,1,0,2,0,"This is the Mumchi stall at Anchorvale Hawker Centre. I just bought 2 coconut munchi pancakes last week and today the stall called out to me again. This time round it is the red be... || Great service. Staff is always friendly. She also advise us accordingly on the available flavours and waiting time. Always happy going to this outlet. The pancakes are also very ta... || Absolutely love their pancakes here! The pancakes were soft, fluffy, and packed with tasty flavours. What made the experience even better was the owner was super friendly, welcomin...",0,-1,0,0,1,2
Sengkang,Anchorvale,shopping,10,4.5,0,0,1,6,1,0,0,0,5,0,1,0,"✔️ Review of Hougang Mall 90 Hougang Ave 10, Singapore 538766 💙💙💙 I'm excited to share that I was selected as the winner of the Water Wally & Sally Plushie giveaway for Singapore's... || Nice neighborhood mall with almost everything you need. Food options are plenty and the prices are quite reasonable, which is always a big plus. The air conditioning is also very g... || Newly Upgraded Hougang Mall with many New F&B Outlets. Spoilt for choice, variety Authentic European & SEA Food Stalls here. Vibrant & POSITIVE ENERGY ENVIRONMENT Shopping Mall her...",0,-5,1,0,5,1
Sengkang,Anchorvale,recreation,10,3.7,1,0,0,3,2,0,1,0,0,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,1,-3,2,1,0,0
Sengkang,Anchorvale,nature,10,4.5,5,0,3,2,3,0,0,0,1,0,0,0,"Beautiful park in the middle of housing estate in Sengkang. Opened area with plenty of space for outdoor activities and picnics. There is a Tenderbest restaurant nearby. Clean and ... || Love this park. Scenic. Bridges. Ponds. Chickens. Parrots. After a jog/walk, hop in to Tenderbest for a cuppa. Bliss. || Big open space. Terrapins roam free (don't feel, I guess and be careful of where you step). Also monitor lizards. Peaceful, air is so clean and fresh. Love the views and the vibes....",5,1,3,0,1,0
Sengkang,Compassvale,education,10,4.8,3,1,2,0,3,0,5,0,2,0,0,0,"Despite having dedicated teachers for each class, the teachers work together as a collective, creating a kampong spirit within the centre that we truly love. We hope our child will... || I am truly grateful to have such wonderful teachers at My First Skool. They are friendly, caring, and take such good care of my daughter, allowing me to go to work without worry. M... || We would like to express our heartfelt appreciation to Complement, especially HeShu Laoshi, Teacher Aliyah, Teacher Anne, Ms Zakiah, Ms WeiMei and Ms PeckQi for taking such wonderf...",2,2,3,5,2,0
Sengkang,Compassvale,transport,10,4.0,0,1,0,0,3,0,1,0,5,0,0,0,"Extremely NOISY construction works of the depot extension!!! They work 24/7 every day, including weekends. Despite numerous feedback, they still carry on throughout the nights that... || there is a nice view point during sunset at the hill beside the sbs depot || Modern large bus depot for maintenance of SBS Transit trains. Reachable by two LRT stations Tongkang and Rebjong. Plenty of fasciitis including canteen and groceries. Conveniently ...",-1,0,3,1,5,0
Sengkang,Compassvale,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Sengkang,Compassvale,shopping,10,4.5,1,0,2,6,2,1,0,0,6,0,0,2,"This mall has everything you need for a relaxing weekend. There is a kids’ play area, as well as a jogging track with a beautiful lake view. It offers plenty of dining options, inc... || Waterway Point is a large and spacious mall with a good mix of shops, products, services and plenty of food options. It covers most day-to-day needs and works well as a one-stop de... || Waterway point shopping mall shopping I would say clothing shops like Uniqlo n playdress.there is a popular bookstore n a toys r us.there is a miniso ...Japan home n value shop I w...",1,-4,1,0,6,-2
