planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJPcatD20W2jER5foyiNiQrdc,Life Student Care Centre,"306C Anchorvale Link, Singapore 543306",4.6,56,"[""establishment"", ""point_of_interest""]",1.3902098,103.8881582,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJJYYBC3QW2jERV-2C95PWPHc,Star Learners @ Sengkang Sports Centre | Preschool & Childcare,"57 Anchorvale Rd, #01-04/05 Sengkang Sports and Recreation Centre, Singapore 544964",5.0,31,"[""establishment"", ""point_of_interest"", ""school""]",1.3967499,103.8870317,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJxQMVb0YX2jERhu44WIwR41E,Learning Vision Sengkang General Hospital,"1 Anchorvale St, #04-21, Singapore 544835",4.9,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3963094,103.8911356,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJYYbqTXQW2jER7gdiI421fEo,Skool4Kidz Campus @ Sengkang Riverside Park,"3 Anchorvale Cres, Singapore 544618",4.4,123,"[""establishment"", ""point_of_interest"", ""school""]",1.3984477,103.8875288,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJJbA0XnQW2jERP5ZgGBzkBGk,Skool4Kidz Preschool @ Sengkang Anchorvale Crescent,"01-38 Anchorvale Cres, Singapore 542336",4.7,3,"[""establishment"", ""point_of_interest"", ""school""]",1.3975406,103.8890193,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJN4TezgwX2jERHipuzTJkZL0,My First Skool at Blk 332B Anchorvale Link,"Blk 332B Anchorvale Link, #01-372, Singapore 542332",5.0,16,"[""establishment"", ""point_of_interest"", ""school""]",1.3951425,103.8915702,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJwXixDnIW2jERKlq_cxoXsbw,Learning Centre@Sengkang,"31 Anchorvale Rd, Singapore 545056",5.0,1,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school"", ""university""]",1.392229,103.886431,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJkS1PGwAX2jERPZwpMof5BzI,Little Children's Library,"350 Anchorvale Rd, Singapore 544317",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.3929354,103.8865545,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJ3zSwzgAX2jERK8Fv21Tj7co,Learning Studio Educare in Anchor Green Primary (Kindergarten Care Centre),"31 Anchorvale Dr, KCare Centre, Singapore 544969",,0,"[""establishment"", ""point_of_interest""]",1.3910625,103.8870683,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJ7UwHRWwW2jERqYL7EfR-kzY,My First Skool at Blk 302B Anchorvale Link,"Blk 302B Anchorvale Link, #01-176, Singapore 542302",4.5,17,"[""establishment"", ""point_of_interest"", ""school""]",1.388851,103.887398,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJ9-qiMG0W2jEROa-UF_22YY8,Berry Tree Preschool - Sengkang,"Block 319C Anchorvale Dr, #01-66, Singapore 543319",4.6,22,"[""establishment"", ""point_of_interest"", ""school""]",1.390864,103.8907253,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJwXixDnIW2jER2Tn-Z3rwqm4,Sengkang Methodist Preschool,"31 Anchorvale Rd, Singapore 545056",5.0,24,"[""establishment"", ""point_of_interest"", ""school""]",1.3924024,103.8863532,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJ6fB86BAW2jER7z_Z6m-B3TE,Sengkang Student Care Centre,"229 Compassvale Walk, Singapore 540229",5.0,4,"[""establishment"", ""point_of_interest""]",1.3885955,103.9008714,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJTZM8bG0W2jERrcZmLQJKixw,My First Skool at Blk 308C Anchorvale Road,"Blk 308C Anchorvale Rd, #01-26, Singapore 543308",4.7,20,"[""establishment"", ""point_of_interest"", ""school""]",1.3892971,103.8869855,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJIT_RytkX2jERrz8H3jkfvAc,EduFirst Learning Centre (Sengkang 2) - English Math Chinese Science Tuition Centre Singapore,"326A Anchorvale Rd, #01-256, Singapore 541326",4.9,123,"[""establishment"", ""point_of_interest""]",1.3949339,103.8880041,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJobQR8_kX2jER-3pgTO8nxPA,The Learning Edge Centre (Anchorvale CC) English Creative Writing for Primary Level,"59 Anchorvale Rd, CC, Singapore 544965",4.9,51,"[""establishment"", ""point_of_interest""]",1.3970326,103.8866987,True
Sengkang,Anchorvale,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anchorvale, Sengkang, Singapore",ChIJD2YT5FEX2jERDtlu6suilCQ,My First Skool at Blk 314A Anchorvale Link,"Blk 314A Anchorvale Link, #01-147, Singapore 541314",4.3,13,"[""establishment"", ""point_of_interest"", ""school""]",1.390977,103.88928,True
