planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,0,Clifford Heng,https://www.google.com/maps/contrib/116254032430089639159/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUKnytJHRruKPPzfAUInN4rUndje_E02XC_pxfAIag0MCrUDs0=s128-c0x00000000-cc-rp-mo-ba3,5,a month ago,1780398217,"This is the Mumchi stall at Anchorvale Hawker Centre. I just bought 2 coconut munchi pancakes last week and today the stall called out to me again. This time round it is the red bean flavour and yes, 2 pieces.

A friendly staff who saw my glassware containing my dinner and he put it in a plastic bag automatically without asking as he was concerned that if it slipped, I may be injured or the glass splinters would injure those around me.

I appreciate his gesture as he is sincere about his customers and his friendly demeanor will always bring a smile to my face. While customer can be taught, sincerity is demonstrated. Looking forward to my next purchase."
Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,1,Nur Aishah,https://www.google.com/maps/contrib/113541389439555589342/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocInZfxoVMf5KHA9wgJPRij5nX-8EPcx8pR9TwPQ6KVNGidHaQ=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778634250,Great service. Staff is always friendly. She also advise us accordingly on the available flavours and waiting time. Always happy going to this outlet. The pancakes are also very tasty even the kids being picky eaters love them.
Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,2,Jonathan Atom,https://www.google.com/maps/contrib/100884445897352451051/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLJwZCImBOqU3TprqwNxTnF4b2BqkFzt5_jrHmenO46ABpW7Q=s128-c0x00000000-cc-rp-mo,5,a month ago,1779881534,"Absolutely love their pancakes here! The pancakes were soft, fluffy, and packed with tasty flavours. What made the experience even better was the owner was super friendly, welcoming, and genuinely enjoys interacting with customers. You can really feel the passion and positive vibes while waiting for your food. Highly recommended if you’re craving a delicious sweet treat with great service!"
Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,3,Fion Yeo,https://www.google.com/maps/contrib/102956792652875093353/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJTFplQpFsFABvWVCcc5lHUV0RTtUN7yYzw17qF7-f2Sji5nA=s128-c0x00000000-cc-rp-mo-ba2,4,4 months ago,1772794604,"Friendly staff helped to heat up without asking. But the kueh seems a little undercook, and the starch taste is a little strong. The fillings all fall off when the staff pack it for me. Not as nice as last time when they just had it at Yishun"
Sengkang,Anchorvale,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,4,Boredbara,https://www.google.com/maps/contrib/103400094416739250508/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVuzBJbHP47QvfiXkvtBzNGqIyBAiwwAMPlSLB7eFO7Ta4h6qI=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1779969842,I’ve been visiting munchi for quite awhile but first time seeing Uncle here this evening (28 May 2026). Uncle today was very enthusiastic and welcoming! Thanks for his recommendations too! Very happy buying munchi from him 😄
Sengkang,Sengkang West,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,0,Clifford Heng,https://www.google.com/maps/contrib/116254032430089639159/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUKnytJHRruKPPzfAUInN4rUndje_E02XC_pxfAIag0MCrUDs0=s128-c0x00000000-cc-rp-mo-ba3,5,a month ago,1780398217,"This is the Mumchi stall at Anchorvale Hawker Centre. I just bought 2 coconut munchi pancakes last week and today the stall called out to me again. This time round it is the red bean flavour and yes, 2 pieces.

A friendly staff who saw my glassware containing my dinner and he put it in a plastic bag automatically without asking as he was concerned that if it slipped, I may be injured or the glass splinters would injure those around me.

I appreciate his gesture as he is sincere about his customers and his friendly demeanor will always bring a smile to my face. While customer can be taught, sincerity is demonstrated. Looking forward to my next purchase."
Sengkang,Sengkang West,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,1,Nur Aishah,https://www.google.com/maps/contrib/113541389439555589342/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocInZfxoVMf5KHA9wgJPRij5nX-8EPcx8pR9TwPQ6KVNGidHaQ=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778634250,Great service. Staff is always friendly. She also advise us accordingly on the available flavours and waiting time. Always happy going to this outlet. The pancakes are also very tasty even the kids being picky eaters love them.
Sengkang,Sengkang West,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,2,Jonathan Atom,https://www.google.com/maps/contrib/100884445897352451051/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLJwZCImBOqU3TprqwNxTnF4b2BqkFzt5_jrHmenO46ABpW7Q=s128-c0x00000000-cc-rp-mo,5,a month ago,1779881534,"Absolutely love their pancakes here! The pancakes were soft, fluffy, and packed with tasty flavours. What made the experience even better was the owner was super friendly, welcoming, and genuinely enjoys interacting with customers. You can really feel the passion and positive vibes while waiting for your food. Highly recommended if you’re craving a delicious sweet treat with great service!"
Sengkang,Sengkang West,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,3,Fion Yeo,https://www.google.com/maps/contrib/102956792652875093353/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJTFplQpFsFABvWVCcc5lHUV0RTtUN7yYzw17qF7-f2Sji5nA=s128-c0x00000000-cc-rp-mo-ba2,4,4 months ago,1772794604,"Friendly staff helped to heat up without asking. But the kueh seems a little undercook, and the starch taste is a little strong. The fillings all fall off when the staff pack it for me. Not as nice as last time when they just had it at Yishun"
Sengkang,Sengkang West,food,food dining hawker centres restaurants cafes,ChIJ09GkflUX2jERTYKOlxooYC8,Munchi Pancakes @ Anchorvale Village Hawker Centre,4.9,6282,4,Boredbara,https://www.google.com/maps/contrib/103400094416739250508/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVuzBJbHP47QvfiXkvtBzNGqIyBAiwwAMPlSLB7eFO7Ta4h6qI=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1779969842,I’ve been visiting munchi for quite awhile but first time seeing Uncle here this evening (28 May 2026). Uncle today was very enthusiastic and welcoming! Thanks for his recommendations too! Very happy buying munchi from him 😄
