timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:53:22.162751,text_search,2,AIzaSy...8yB0,249,Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:24.712026,text_search,2,AIzaSy...8yB0,250,Serangoon,Lorong Chuan,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:26.958421,text_search,2,AIzaSy...8yB0,251,Serangoon,Lorong Chuan,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:29.046838,text_search,2,AIzaSy...8yB0,252,Serangoon,Lorong Chuan,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:31.373513,text_search,2,AIzaSy...8yB0,253,Serangoon,Lorong Chuan,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:33.743016,text_search,2,AIzaSy...8yB0,254,Serangoon,Lorong Chuan,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Lorong Chuan, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:36.276671,text_search,2,AIzaSy...8yB0,255,Serangoon,Seletar Hills,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:38.312733,text_search,2,AIzaSy...8yB0,256,Serangoon,Seletar Hills,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:40.648841,text_search,2,AIzaSy...8yB0,257,Serangoon,Seletar Hills,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:42.994013,text_search,2,AIzaSy...8yB0,258,Serangoon,Seletar Hills,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:45.564310,text_search,2,AIzaSy...8yB0,259,Serangoon,Seletar Hills,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:48.005538,text_search,2,AIzaSy...8yB0,260,Serangoon,Seletar Hills,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Seletar Hills, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:50.255700,text_search,2,AIzaSy...8yB0,261,Serangoon,Serangoon Central,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Serangoon Central, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:52.567957,text_search,2,AIzaSy...8yB0,262,Serangoon,Serangoon Central,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Serangoon Central, Serangoon, Singapore",OK,,20,
2026-07-20T15:53:54.954035,text_search,2,AIzaSy...8yB0,263,Serangoon,Serangoon Central,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Serangoon Central, Serangoon, Singapore",OK,,20,
