planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Serangoon,Lorong Chuan,education,20,4.711,1447,94.22
Serangoon,Lorong Chuan,transport,20,3.853,1486,77.06
Serangoon,Lorong Chuan,food,20,4.145,113357,82.9
Serangoon,Lorong Chuan,shopping,20,4.105,98430,82.1
Serangoon,Lorong Chuan,recreation,20,4.155,9018,83.1
Serangoon,Lorong Chuan,nature,20,4.425,22344,88.5
Serangoon,Seletar Hills,education,20,4.411,1386,88.22
Serangoon,Seletar Hills,transport,20,4.06,1539,81.2
Serangoon,Seletar Hills,food,20,4.26,37062,85.2
Serangoon,Seletar Hills,shopping,20,4.13,65679,82.6
Serangoon,Seletar Hills,recreation,20,4.365,10924,87.3
Serangoon,Seletar Hills,nature,20,4.48,17391,89.6
Serangoon,Serangoon Central,education,20,4.685,1231,93.7
Serangoon,Serangoon Central,transport,20,3.937,1545,78.74
Serangoon,Serangoon Central,food,20,4.175,30614,83.5
Serangoon,Serangoon Central,shopping,20,3.995,85860,79.9
Serangoon,Serangoon Central,recreation,18,4.206,8405,84.12
Serangoon,Serangoon Central,nature,20,4.405,20467,88.1
Serangoon,Serangoon Garden,education,20,4.715,1284,94.3
Serangoon,Serangoon Garden,transport,20,3.89,4931,77.8
Serangoon,Serangoon Garden,food,20,4.17,60173,83.4
Serangoon,Serangoon Garden,shopping,20,4.03,78278,80.6
Serangoon,Serangoon Garden,recreation,20,4.13,10752,82.6
Serangoon,Serangoon Garden,nature,20,4.46,20682,89.2
Serangoon,Serangoon North,education,20,4.735,1302,94.7
Serangoon,Serangoon North,transport,20,3.91,1432,78.2
Serangoon,Serangoon North,food,20,4.02,24225,80.4
Serangoon,Serangoon North,shopping,20,4.015,63475,80.3
Serangoon,Serangoon North,recreation,20,4.0,6963,80.0
Serangoon,Serangoon North,nature,20,4.45,20561,89.0
Serangoon,Serangoon North Ind Estate,education,20,4.825,1287,96.5
Serangoon,Serangoon North Ind Estate,transport,20,3.79,1415,75.8
Serangoon,Serangoon North Ind Estate,food,20,4.08,45212,81.6
Serangoon,Serangoon North Ind Estate,shopping,20,3.935,40200,78.7
Serangoon,Serangoon North Ind Estate,recreation,20,3.98,5337,79.6
Serangoon,Serangoon North Ind Estate,nature,17,4.453,15392,89.06
Serangoon,Upper Paya Lebar,education,20,4.66,1203,93.2
Serangoon,Upper Paya Lebar,transport,20,4.115,2887,82.3
Serangoon,Upper Paya Lebar,food,20,4.125,73768,82.5
Serangoon,Upper Paya Lebar,shopping,20,4.1,113776,82.0
Serangoon,Upper Paya Lebar,recreation,20,4.17,10323,83.4
Serangoon,Upper Paya Lebar,nature,20,4.415,11502,88.3
