planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJg4l3u6oX2jERpioFnelbvRI,MindChamps MindSpace @ Serangoon (Lorong Chuan) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"151 Lorong Chuan, #02-12 New Tech Park (after Lobby H, Singapore 556741",5.0,142,"[""establishment"", ""point_of_interest""]",1.3515176,103.861401,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJmX3EqgEX2jER6DLo4wt6FuA,Blossom Discovery Centre (Serangoon) | Preschool & Childcare,"275A Lorong Chuan, Singapore 556770",4.8,6,"[""establishment"", ""point_of_interest"", ""school""]",1.357233,103.8678139,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJl1-H1w4X2jERsaoFJSccusU,MindChamps PreSchool @ Serangoon,"151 Lorong Chuan, New Tech Park, #03-06 Lobby F, Singapore 556741",4.9,258,"[""establishment"", ""point_of_interest"", ""school""]",1.3526598,103.8598608,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJxyAVvKYX2jERaDNkoSoZUEs,Serangoon Library,"23 Serangoon Central, #04-82/83 NEX, Singapore 556083",4.2,362,"[""establishment"", ""library"", ""point_of_interest""]",1.3502127,103.8728869,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJFX-wkRQX2jERa7bl41jhU6M,Serangoon Moral Student Care Centre (SMSCC),"#01-37 Serangoon Ave 2, Singapore 550239",5.0,9,"[""establishment"", ""point_of_interest""]",1.3533056,103.8684124,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJIZpbfw8X2jERTXE405we3Bw,Shaws Preschool @ Lorong Chuan,"5 Mei Hwan Dr, Singapore 568346",4.8,30,"[""establishment"", ""point_of_interest"", ""school""]",1.3544768,103.8593323,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJrfE-M_4X2jER69eyljUL0Q4,Learning Studio Educare in Zhonghua Primary (Student Care Centre),"12 Serangoon Ave 4, Singapore 556095",3.7,3,"[""establishment"", ""point_of_interest""]",1.359895,103.869558,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJVVUVERMX2jERi0VO-G5RjIo,Wordsmith Learning Hub Pte. Ltd. (Main Centre),"326 Serangoon Ave 3, #01-378 - Go to Level 2, Singapore 550326",4.7,284,"[""establishment"", ""point_of_interest"", ""school""]",1.3503007,103.8689694,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJxbMPDAgX2jER8qvVzsGzIrw,My First Skool at Blk 306 Serangoon,"306 Serangoon Ave 2, #01-58, Singapore 550306",5.0,15,"[""establishment"", ""point_of_interest"", ""school""]",1.3541304,103.8669804,True
Serangoon,Lorong Chuan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lorong Chuan, Serangoon, Singapore",ChIJvaxaIAgX2jERuZswBv0oXzs,Camelot Infant Care @ Serangoon,"301, #02-342 Serangoon Ave 2, Singapore 550301",4.8,65,"[""establishment"", ""point_of_interest""]",1.353152,103.867943,True
