planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Serangoon,Upper Paya Lebar,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,0,Vlad Tapia,https://www.google.com/maps/contrib/104302249587464076392/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVujY_BVCu76Ul_zk_keYrNHc2oAYmjCeDAhMeCKO0acL5uibbO=s128-c0x00000000-cc-rp-mo-ba5,5,9 months ago,1759733707,Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center.
Serangoon,Upper Paya Lebar,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,1,Pauline Wong,https://www.google.com/maps/contrib/105049081627213827044/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKEdk4RloMmf3H8ZUsr3WPyiCFNeb-7i4S5tDHZ-WYMIZ86dg=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764138348,"Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls!"
Serangoon,Upper Paya Lebar,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,2,Caleb Tan,https://www.google.com/maps/contrib/113662045918405903382/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJx6byWBOl-84nPNWAy7nj8HGSdOXkeSfNxn8d4806X_0jAuY3c=s128-c0x00000000-cc-rp-mo-ba4,1,a year ago,1733913912,"Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court.

Had so much potential as one of the only few sheltered basketball courts in the area but unfortunately poorly maintained and not used to its potential.

Can you imagine a basketball court that is booked every evening (except Tuesdays) for non-basketball related activities? This is it."
Serangoon,Upper Paya Lebar,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,3,Tran Jolly,https://www.google.com/maps/contrib/109190124922135975831/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXosDTt2_TDxjWEbgW7J4MVPpu6aUyz7tQ_SmRFTDgeQoOrtPdBdA=s128-c0x00000000-cc-rp-mo,1,5 months ago,1770794431,"Appealing for CDC voucher, take almost 1 month didn't approve.  Call every single day,the staffs kept give the reason * in- charge is not in the office * . Just wondering when the in charge will be in the office,? And when the voucher will be issued???"
Serangoon,Upper Paya Lebar,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,Buona Vista Community Club,4.2,1126,4,Keith,https://www.google.com/maps/contrib/112794073900214876808/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIKvowqxeXEm2meqhyZCXr5rmIJ_Xe2qUV7NdM0uQ6iaGdKww=s128-c0x00000000-cc-rp-mo,5,8 months ago,1763195988,I went over to do some collection and update certain issues. I was served by Mr Stanley Tan who was outstanding in his customer handling. He was patient and always answered my questions well and it showed his good product knowledge. He was courteous and a credit to your CC. Kindly convey my thanks to him
Serangoon,Serangoon Central,recreation,recreation sports gyms swimming community clubs,ChIJ53wZNFEW2jERdlyymTEEgn0,The Serangoon Community Club,4.2,1102,0,雷爷RAY,https://www.google.com/maps/contrib/113110448599954054601/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWvgkbL3l-qiYPbNniGT906soSYJh_ZoeiVbwepXwys_ybc8Iw=s128-c0x00000000-cc-rp-mo-ba3,5,6 months ago,1768629176,"Special thanks to the team at The Serangoon Community Club for their efforts in bringing many events to the community. 👍🏻

The CPR/AED training was not only well delivered, it was very entertaining as well. Thank you for the refreshments too. 😍

Keep up the great work!"
Serangoon,Serangoon Central,recreation,recreation sports gyms swimming community clubs,ChIJ53wZNFEW2jERdlyymTEEgn0,The Serangoon Community Club,4.2,1102,1,Sylvia Ang,https://www.google.com/maps/contrib/107834715349935127693/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjU9LCOpfeA9r4TU3xcjb3eliEh7RXLXipZc7zSBQVVBhjns_ve2dw=s128-c0x00000000-cc-rp-mo-ba6,5,8 months ago,1762563774,"Mindfulness
Serangoon CC
7 Nov 25. Fri
9 am to 12 noon
Rating 4.6

Sylvia Ang Known as Ang Lay Kheng attended Mindfulness.

Qi Breathing

Hero Story mediation
What's your victim
Story. Feel hurt & wrong.

Imagine being the hero. Hero write a letter to victim.

Gratitude meditation
To someone supported you.

Serangoon CC
Mindfulness
31 Oct 25. Fri
,9 am to 1200 noon
Rating. 4.7

Sylvia Ang known as Ang Lay Kheng
Attended Mindfulness

We went thru breathing mindfulness.

Using critus Enzyme for plants, fertilizer.

Serangoon CC, MPH
Rating 4.7
Mindfulness
24 Oct 25, Fri
9am to 12 noon
Dr Teo Ho Pin.
Guest of Honour

Mindfulness SIP Tea
Art of Sip Tea with Mindfulness

Mindfulness with
Macrogreen
(Seedling of Broccoli)

Serangoon CC
Mindfulness
Auditorium.
10am to 12 noon
17 October 2025
Rating  4.6

How mindfulness can enhance sleep quality by trainer
Eric Lim

Mindfulness ,3 Oct
Serangoon CC
Rating 4.6

Sylvia Ang known as
Ang Lay Kheng
Attended Mindfulness. 3 Oct 0900 hr 1200 hr

Give someone smile, give something to someone. How you feel when you clap daily. Feel refresh.One clap all bring positive healing energy. Mindfulness. Awareness. Not judgement. Present

5.5 rating to Serangoon Community Club. For the adorable, helpful, digital ambassador. I. Sylvia Ang known as Lay Kheng Ang or IC Ang Lay Kheng. Recently I approached the digital Ambassador to help me update Google records. She promptly finished the work. Even register me for a scam talk at 2 pm 21 June 2024. She reminded me to attend. I do not hesitate to make use of the service. I will introduce my friends."
Serangoon,Serangoon Central,recreation,recreation sports gyms swimming community clubs,ChIJ53wZNFEW2jERdlyymTEEgn0,The Serangoon Community Club,4.2,1102,2,Sylvia Ang,https://www.google.com/maps/contrib/108673456850099094409/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVcQe3aoeM-eJlUBAOiV0rVC8OCGVm3sEScncpZ-tfESGKNI3L1=s128-c0x00000000-cc-rp-mo-ba5,5,10 months ago,1758329989,"Mindfulness
Serangoon CC
18 Sept 25
Rating 4.5

Sylvia Ang known as Ang Lay Kheng attended a Mindfulness course for seniors.

We have basic of mindfulness.

Mindfulness Quiten your mind. Be calm & relax. Think of being happiness. Smile to your loved one.

Planting broccoli
Macrogrern

Happiness. Think of what good seeds you like to inpart. What good character.

18 Sept Paper power flower @ Serangoon Cc not posted Bec it's Hwi Yoh Gardens not listed

Serangoon CC
Rating 4.6
Mindfulness course

Sylvia Ang known as
Ang Lay Kheng attended a Mindfulness course.

It was relaxed, insightful. Looking forward for future course

Serangoon cc
Rating 5

Sylvia Ang known as Ang Ley Kheng
Visited the Digital ambassdor. My glammery icon stuck. Facebook can't work. The Digital ambassdor did an excellent job. It works.

Serangoon community Club.  5.5 rating.Go Digital Senior Scam Talk, I, Sylvia Ang, Lay Ang Ang  got invited by Digital Ambassador to attend this talk. The talk well organised. Interesting topic Scam talk. Have a enlighting afternoon.  Next time look out similar talk."
Serangoon,Serangoon Central,recreation,recreation sports gyms swimming community clubs,ChIJ53wZNFEW2jERdlyymTEEgn0,The Serangoon Community Club,4.2,1102,3,karen chia,https://www.google.com/maps/contrib/106768178933556960340/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWp0h6o9zhZjYFprnk3gicwCyOr4BkGZKdAG-dZcEElHzlo_CIwDA=s128-c0x00000000-cc-rp-mo-ba5,4,4 years ago,1636617926,"A clean, tidy & quiet corner with a relax community atmosphere. The oversize sculpture, Iggy's Pod hanging over the vast atrium is a sight to behold.
There are onsite recycle facilities for electronic  (computers, printers), batteries  and lightbulbs (some LED lightbulbs contains mercury, so please dispose off responsibly).  Facility to replace your Trace Together Token too!
A short walk round the corner is Pet Corner, colourful birds & bird's songs welcome you. There are several coffee shops all within walking distance which cater for breakfast, lunch and dinner."
Serangoon,Serangoon Central,recreation,recreation sports gyms swimming community clubs,ChIJ53wZNFEW2jERdlyymTEEgn0,The Serangoon Community Club,4.2,1102,4,Monsieur Snow,https://www.google.com/maps/contrib/102118777920337503499/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXAQltgmQMvxJvHm4IcPyCdgSNwHMe3ZxKpR4ai73l-ASfH-XV9=s128-c0x00000000-cc-rp-mo-ba6,4,4 years ago,1654228766,"Facilities are limited, but serves their purposes.
The one I know about are the study room and gym.
Take the lift beside the counter to go to the amenities.
Study room has no wifi, and just some old office tables for you to do your own things. Water cooler is just outside.
Gym is on level 3, with limited equipment.
There is a free weights rack for squats, deadlifts, bench press.
There are free weight dumbbells, resistance machines, treadmills and inclined bench.
Quite a small cozy gym with not many people. Closes at 930pm. See rates and packages in pictures.
Note that non-members who didn't purchase the package cannot come during certain timings.
They can only come when the counter opens, which closes at 6pm.
Go to the counter to exchange for a pass to go to the gym. You need to return the pass afterwards.
Be sure to call in if you are unsure so as to not make a wasted trip!

Like all CCs, they also offer all kinds of services like singpass reset, or classes to sign up for! Check with them for further details."
