timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:55:07.647275,text_search,2,AIzaSy...8yB0,299,Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:09.349388,text_search,2,AIzaSy...8yB0,300,Simpang,Pulau Seletar,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:11.039859,text_search,2,AIzaSy...8yB0,301,Simpang,Pulau Seletar,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:14.295084,text_search,2,AIzaSy...8yB0,302,Simpang,Pulau Seletar,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:17.328541,text_search,2,AIzaSy...8yB0,303,Simpang,Pulau Seletar,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:20.072808,text_search,2,AIzaSy...8yB0,304,Simpang,Pulau Seletar,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Pulau Seletar, Simpang, Singapore",OK,,20,
2026-07-20T15:55:22.941092,text_search,2,AIzaSy...8yB0,305,Simpang,Simpang North,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:25.810363,text_search,2,AIzaSy...8yB0,306,Simpang,Simpang North,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:28.514784,text_search,2,AIzaSy...8yB0,307,Simpang,Simpang North,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:30.692655,text_search,2,AIzaSy...8yB0,308,Simpang,Simpang North,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:33.234135,text_search,2,AIzaSy...8yB0,309,Simpang,Simpang North,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:36.157406,text_search,2,AIzaSy...8yB0,310,Simpang,Simpang North,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Simpang North, Simpang, Singapore",OK,,20,
2026-07-20T15:55:38.761883,text_search,2,AIzaSy...8yB0,311,Simpang,Simpang South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:41.148471,text_search,2,AIzaSy...8yB0,312,Simpang,Simpang South,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:47.536794,text_search,2,AIzaSy...8yB0,313,Simpang,Simpang South,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:50.139264,text_search,2,AIzaSy...8yB0,314,Simpang,Simpang South,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:52.797525,text_search,2,AIzaSy...8yB0,315,Simpang,Simpang South,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:55.168172,text_search,2,AIzaSy...8yB0,316,Simpang,Simpang South,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Simpang South, Simpang, Singapore",OK,,20,
2026-07-20T15:55:57.663214,text_search,2,AIzaSy...8yB0,317,Simpang,Tanjong Irau,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:00.369661,text_search,2,AIzaSy...8yB0,318,Simpang,Tanjong Irau,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:03.380970,text_search,2,AIzaSy...8yB0,319,Simpang,Tanjong Irau,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:06.242799,text_search,2,AIzaSy...8yB0,320,Simpang,Tanjong Irau,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:09.294422,text_search,2,AIzaSy...8yB0,321,Simpang,Tanjong Irau,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:12.108310,text_search,2,AIzaSy...8yB0,322,Simpang,Tanjong Irau,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Tanjong Irau, Simpang, Singapore",OK,,20,
2026-07-20T15:56:12.130848,place_details_reviews,2,AIzaSy...8yB0,322,Simpang,Pulau Seletar,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:56:12.133498,place_details_reviews,2,AIzaSy...8yB0,322,Simpang,Pulau Seletar,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,OK,,5,Sengkang Sport Centre
2026-07-20T15:56:12.134639,place_details_reviews,2,AIzaSy...8yB0,322,Simpang,Tanjong Irau,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,OK,,5,Temasek Club
2026-07-20T15:56:12.806938,place_details_reviews,2,AIzaSy...8yB0,323,Simpang,Pulau Seletar,transport,public transport MRT LRT bus stops,ChIJ915hTbgV2jERcO2QIPDsnGY,OK,,5,Samudera LRT Station (PW4)
