planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Simpang,Pulau Seletar,education,20,4.533,2000,90.66
Simpang,Pulau Seletar,transport,20,4.195,602,83.9
Simpang,Pulau Seletar,food,20,4.19,147131,83.8
Simpang,Pulau Seletar,shopping,20,4.21,170147,84.2
Simpang,Pulau Seletar,recreation,20,4.3,14433,86.0
Simpang,Pulau Seletar,nature,20,4.505,19954,90.1
Simpang,Simpang North,education,20,4.65,3859,93.0
Simpang,Simpang North,transport,20,4.115,841,82.3
Simpang,Simpang North,food,20,4.165,114802,83.3
Simpang,Simpang North,shopping,20,4.26,125717,85.2
Simpang,Simpang North,recreation,20,4.21,11995,84.2
Simpang,Simpang North,nature,20,4.445,32086,88.9
Simpang,Simpang South,education,20,4.57,3611,91.4
Simpang,Simpang South,transport,20,4.17,385,83.4
Simpang,Simpang South,food,20,4.21,138572,84.2
Simpang,Simpang South,shopping,20,4.205,101094,84.1
Simpang,Simpang South,recreation,20,4.195,10247,83.9
Simpang,Simpang South,nature,20,4.445,31396,88.9
Simpang,Tanjong Irau,education,20,4.685,1857,93.7
Simpang,Tanjong Irau,transport,20,4.28,666,85.6
Simpang,Tanjong Irau,food,20,4.19,152733,83.8
Simpang,Tanjong Irau,shopping,20,4.15,122697,83.0
Simpang,Tanjong Irau,recreation,20,4.28,11351,85.6
Simpang,Tanjong Irau,nature,20,4.45,38279,89.0
