planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJcaOg62wU2jERB6GKt4ELsEA,Nee Soon Central Community Children's Library,"644 Yishun Street 61, Singapore 760644",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4217439,103.8373836,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJPcatD20W2jER5foyiNiQrdc,Life Student Care Centre,"306C Anchorvale Link, Singapore 543306",4.6,56,"[""establishment"", ""point_of_interest""]",1.3902098,103.8881582,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJ8R_YbXoW2jERr4vwJWFSGt4,My First Skool at 51 Fernvale Link,"51 Fernvale Link, Singapore 797536",4.9,104,"[""establishment"", ""point_of_interest"", ""school""]",1.3953326,103.8786851,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJiXgt9vkX2jER_c9p52lTkzk,PlayFACTO School @ Fernvale,"405B Fernvale Ln, #01-115, Singapore 792405",4.7,84,"[""establishment"", ""point_of_interest""]",1.3890652,103.8735931,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJc5DHexIW2jERw5Y42SBlW9Q,Sengkang Library,"1 Sengkang Square, #03-28 & #04-19, Singapore 545078",4.2,392,"[""establishment"", ""library"", ""point_of_interest""]",1.3917415,103.8947083,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJxQMVb0YX2jERhu44WIwR41E,Learning Vision Sengkang General Hospital,"1 Anchorvale St, #04-21, Singapore 544835",4.9,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3963094,103.8911356,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJjwjvcmUX2jERb5i8gQ6GXig,Tuhfah Learning Centre,"253 Jln Kayu, Singapore 799479",4.9,36,"[""establishment"", ""point_of_interest""]",1.3966793,103.8729392,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJkS1PGwAX2jERPZwpMof5BzI,Little Children's Library,"350 Anchorvale Rd, Singapore 544317",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.3929354,103.8865545,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJxwTzdDkV2jEROUHKTiE2gPo,PlayFACTO School @ Yishun | Student Care Yishun,"1 Yishun Industrial Street 1, #01-07/08 A'Posh BizHub, Singapore 768160",4.9,80,"[""establishment"", ""point_of_interest""]",1.436958,103.8421412,True
Simpang,Pulau Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pulau Seletar, Simpang, Singapore",ChIJBYGvEQAV2jER6vbbOEyIvVk,Play & Learn Community library corner,"137 Yishun Ring Rd, Singapore 760137",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.4320036,103.8300215,True
