planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Singapore River,Boat Quay,education,20,4.51,3718,90.2
Singapore River,Boat Quay,transport,20,4.33,1955,86.6
Singapore River,Boat Quay,food,20,4.255,106279,85.1
Singapore River,Boat Quay,shopping,15,4.28,97228,85.6
Singapore River,Boat Quay,recreation,20,4.56,8119,91.2
Singapore River,Boat Quay,nature,20,4.495,27468,89.9
Singapore River,Clarke Quay,education,20,4.44,60196,88.8
Singapore River,Clarke Quay,transport,20,4.058,1793,81.16
Singapore River,Clarke Quay,food,1,3.5,196,70.0
Singapore River,Clarke Quay,shopping,11,4.309,79314,86.18
Singapore River,Clarke Quay,recreation,20,4.6,4350,92.0
Singapore River,Clarke Quay,nature,20,4.48,231772,89.6
Singapore River,Robertson Quay,education,20,4.637,3957,92.74
Singapore River,Robertson Quay,transport,20,4.095,1208,81.9
Singapore River,Robertson Quay,food,20,4.295,95204,85.9
Singapore River,Robertson Quay,shopping,20,4.33,170385,86.6
Singapore River,Robertson Quay,recreation,20,4.46,6792,89.2
Singapore River,Robertson Quay,nature,20,4.415,186579,88.3
