planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJ83wlTjAZ2jER54XL0Gkk-hY,Mulberry Learning @ Clarke Quay,"20 Upper Circular Rd, #01-42 The Riverwalk, Singapore 058416",4.7,20,"[""establishment"", ""point_of_interest"", ""school""]",1.2891952,103.8481647,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJYUwPf58Z2jERiPnbGdtaJ3E,MindChamps PreSchool @ River Valley,"30 Merchant Rd, #03-12/17 Riverside Point, Singapore 058282",4.9,308,"[""establishment"", ""point_of_interest"", ""school""]",1.2894269,103.8440642,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJ2zOiSwsZ2jERY2Wt9PYlO_A,Chinatown Library,"133 New Bridge Rd, #04-12 Chinatown Point, Singapore 059413",3.6,160,"[""establishment"", ""library"", ""point_of_interest""]",1.2852093,103.8447228,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJRQmgcK0Z2jER99m3txTK1HY,Bamboo Path Academy | One-Stop PSLE Success Hub,"1 Selegie Rd, #03-03, #03-05, Singapore 188306",5.0,27,"[""establishment"", ""point_of_interest""]",1.3002563,103.8492233,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJqXLTAHEZ2jERacRM1phkzLk,"Thrive After-school, New Bahru","46 Kim Yam Rd, #04-10 New Bahru, Singapore 239351",5.0,3,"[""establishment"", ""point_of_interest""]",1.2928106,103.8386992,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJDcJs9UEZ2jER4dKm3CUVyMk,Harbourfront Library,"1 HarbourFront Walk, #03-05 VivoCity, Singapore 098585",4.5,484,"[""establishment"", ""library"", ""point_of_interest""]",1.2636837,103.8233985,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJa04K9EcY2jERqNmNcEgk2XY,NTUC First Campus,"16 Raffles Quay, #23-01 Hong Leong Building, Singapore 048581",2.4,10,"[""establishment"", ""point_of_interest"", ""school""]",1.2814451,103.8508829,True
Singapore River,Boat Quay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boat Quay, Singapore River, Singapore",ChIJG1WlJAwZ2jERZm3MT8DMOrI,TickiKids,"30 Cecil St, #19-06, Singapore 049712",5.0,2,"[""establishment"", ""point_of_interest""]",1.282878,103.849932,True
