timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:56:58.987715,text_search,2,AIzaSy...8yB0,352,Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:01.368205,text_search,2,AIzaSy...8yB0,353,Southern Islands,Sentosa,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:04.358161,text_search,2,AIzaSy...8yB0,354,Southern Islands,Sentosa,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:06.772779,text_search,2,AIzaSy...8yB0,355,Southern Islands,Sentosa,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:09.504764,text_search,2,AIzaSy...8yB0,356,Southern Islands,Sentosa,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:12.165140,text_search,2,AIzaSy...8yB0,357,Southern Islands,Sentosa,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Sentosa, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:14.533135,text_search,2,AIzaSy...8yB0,358,Southern Islands,Southern Group,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:17.249460,text_search,2,AIzaSy...8yB0,359,Southern Islands,Southern Group,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:19.703361,text_search,2,AIzaSy...8yB0,360,Southern Islands,Southern Group,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:22.251676,text_search,2,AIzaSy...8yB0,361,Southern Islands,Southern Group,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:25.326772,text_search,2,AIzaSy...8yB0,362,Southern Islands,Southern Group,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:27.775468,text_search,2,AIzaSy...8yB0,363,Southern Islands,Southern Group,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Southern Group, Southern Islands, Singapore",OK,,20,
2026-07-20T15:57:27.798643,place_details_reviews,2,AIzaSy...8yB0,363,Southern Islands,Sentosa,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,OK,,5,Queenstown Library
2026-07-20T15:57:28.682646,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Sentosa,recreation,recreation sports gyms swimming community clubs,ChIJ1278pRwb2jER5mLbqcDeKCY,OK,,5,SAFRA Mount Faber
2026-07-20T15:57:28.683815,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Sentosa,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:57:28.684571,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Southern Group,education,education facilities schools childcare libraries,ChIJDcJs9UEZ2jER4dKm3CUVyMk,OK,,5,Harbourfront Library
2026-07-20T15:57:28.685019,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Sentosa,shopping,shopping groceries malls supermarkets markets,ChIJK7xLl1gZ2jERP_GdUY9XNLo,OK,,5,VivoCity
2026-07-20T15:57:28.685442,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Sentosa,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T15:57:28.685927,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Southern Group,nature,parks gardens nature waterfront park connectors,ChIJMxZ-kwQZ2jERdsqftXeWCWI,OK,,5,Gardens by the Bay
2026-07-20T15:57:28.686217,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Southern Group,shopping,shopping groceries malls supermarkets markets,ChIJR1Fyfr0Z2jERzwO-AZiJ-HM,OK,,5,Plaza Singapura
2026-07-20T15:57:28.686471,place_details_reviews,2,AIzaSy...8yB0,364,Southern Islands,Sentosa,nature,parks gardens nature waterfront park connectors,ChIJVSYjJKIZ2jERpRFinATD52s,OK,,5,Fort Canning Park
2026-07-20T15:57:29.515168,place_details_reviews,2,AIzaSy...8yB0,365,Southern Islands,Sentosa,shopping,shopping groceries malls supermarkets markets,ChIJVXvuuswb2jER8BZU_kcS2ds,OK,,5,Anchorpoint
2026-07-20T15:57:29.516341,place_details_reviews,2,AIzaSy...8yB0,365,Southern Islands,Southern Group,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,OK,,5,City Square Mall
2026-07-20T15:57:29.516841,place_details_reviews,2,AIzaSy...8yB0,365,Southern Islands,Southern Group,transport,public transport MRT LRT bus stops,ChIJ_Qp2VrcZ2jERZcOv0uL_0y8,OK,,5,Queen St Ter
2026-07-20T15:57:30.146691,place_details_reviews,2,AIzaSy...8yB0,366,Southern Islands,Sentosa,transport,public transport MRT LRT bus stops,ChIJbbcmnf8b2jERuhtMESeTzQ8,OK,,5,Sentosa Coach Park
