planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Southern Islands,Sentosa,education,20,4.368,3151,87.36
Southern Islands,Sentosa,transport,20,4.025,1042,80.5
Southern Islands,Sentosa,food,20,4.32,96259,86.4
Southern Islands,Sentosa,shopping,20,4.205,74367,84.1
Southern Islands,Sentosa,recreation,20,4.44,8559,88.8
Southern Islands,Sentosa,nature,20,4.515,32074,90.3
Southern Islands,Southern Group,education,20,4.605,3746,92.1
Southern Islands,Southern Group,transport,20,4.105,2316,82.1
Southern Islands,Southern Group,food,20,4.215,132753,84.3
Southern Islands,Southern Group,shopping,20,4.25,130701,85.0
Southern Islands,Southern Group,recreation,20,4.395,9304,87.9
Southern Islands,Southern Group,nature,20,4.465,191955,89.3
