planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJNxKWn20f2jERswf4YfajlOc,Sentosa Playgroup,"31 Ocean Way, #02-01, Singapore 098375",3.4,5,"[""establishment"", ""point_of_interest""]",1.2479283,103.8417309,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJAwAAIHAZ2jERWb0F8dl1h4c,Little Skool-House SingHealth Tower,"10 Hospital Blvd, #05-01 SingHealth Tower, Singapore 168582",4.4,11,"[""establishment"", ""point_of_interest"", ""school""]",1.2779352,103.8353809,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJ0ZQXRQ4d2jERUjXgjf97pjE,EtonHouse Pre-School by the Beach,"31 Beach View Road, #02-01 & #03-01 Palawan Kidz City, 31 Bch Vw Rd, Sentosa, Singapore 098008",1.0,1,"[""establishment"", ""point_of_interest"", ""school""]",1.2517513,103.8202065,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJ70r1sOEf2jERqzScQLCU4ls,Fiaba Kids,"31 Ocean Way, #01 - 21, Singapore 098375",,0,"[""establishment"", ""point_of_interest""]",1.2474673,103.8422473,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,"53 Margaret Dr, Singapore 149297",4.6,422,"[""establishment"", ""library"", ""point_of_interest""]",1.2986449,103.8051823,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJL2b6iToa2jERLPjNN7hKfIE,Children's Cove Preschool,"58 Jln Penjara, Singapore 149382",4.7,103,"[""establishment"", ""point_of_interest"", ""school""]",1.2993345,103.8071035,True
Southern Islands,Sentosa,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sentosa, Southern Islands, Singapore",ChIJj8lwOGwZ2jERCKcuHsVr4Z0,T.E.A.M. Student Care @ Tanjong Pagar (Cantonment),"101 Cantonment Rd, #01-04 Community Club, Singapore 089774",4.9,32,"[""establishment"", ""point_of_interest""]",1.2765467,103.8416837,True
