timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:57:35.967304,text_search,2,AIzaSy...8yB0,370,Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:38.712319,text_search,2,AIzaSy...8yB0,371,Straits View,Straits View,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:41.646120,text_search,2,AIzaSy...8yB0,372,Straits View,Straits View,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:44.123458,text_search,2,AIzaSy...8yB0,373,Straits View,Straits View,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:46.710487,text_search,2,AIzaSy...8yB0,374,Straits View,Straits View,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:49.425629,text_search,2,AIzaSy...8yB0,375,Straits View,Straits View,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Straits View, Straits View, Singapore",OK,,20,
2026-07-20T15:57:49.444108,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:57:49.444905,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,education,education facilities schools childcare libraries,ChIJDcJs9UEZ2jER4dKm3CUVyMk,OK,,5,Harbourfront Library
2026-07-20T15:57:49.445211,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,recreation,recreation sports gyms swimming community clubs,ChIJG54AV6YZ2jEREJaczuWecw8,OK,,5,Singapore Recreation Club
2026-07-20T15:57:49.445564,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T15:57:49.447007,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,nature,parks gardens nature waterfront park connectors,ChIJMxZ-kwQZ2jERdsqftXeWCWI,OK,,5,Gardens by the Bay
2026-07-20T15:57:49.447929,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,transport,public transport MRT LRT bus stops,ChIJPYxKUwQZ2jER7KUuPbBTsUQ,OK,,5,Bayfront
2026-07-20T15:57:49.448885,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,OK,,5,Singapore Swimming Club
2026-07-20T15:57:49.449345,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,nature,parks gardens nature waterfront park connectors,ChIJVSYjJKIZ2jERpRFinATD52s,OK,,5,Fort Canning Park
2026-07-20T15:57:49.449766,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,OK,,5,City Square Mall
2026-07-20T15:57:49.449955,place_details_reviews,2,AIzaSy...8yB0,375,Straits View,Straits View,shopping,shopping groceries malls supermarkets markets,ChIJj7TW9LoZ2jERQgNlXkKhASQ,OK,,5,Bugis Street
2026-07-20T15:57:50.219698,place_details_reviews,2,AIzaSy...8yB0,376,Straits View,Straits View,transport,public transport MRT LRT bus stops,ChIJq0GQRB8Z2jERfz0GTv95OQg,OK,,5,Marina South Pier
2026-07-20T15:57:50.221223,place_details_reviews,2,AIzaSy...8yB0,376,Straits View,Straits View,food,food dining hawker centres restaurants cafes,ChIJseQsTQ0Z2jERqpBTWF0Zf84,OK,,5,Maxwell Food Centre
