planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJLc768A4Z2jERemFom0buOCQ,Changemakers Explorer One Marina Boulevard | Preschool,"1 Marina Blvd, #B1-01, Singapore 018989",5.0,5,"[""establishment"", ""point_of_interest"", ""school""]",1.2822004,103.8526513,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJ2Uuf5swQ2jERUJ8XjfSTNDU,Little Skool-House OCBC Centre,"65 Chulia Street, West Wing, #02-02 OCBC Centre, Singapore 049513",5.0,7,"[""establishment"", ""point_of_interest"", ""school""]",1.285184,103.8488954,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJo-E5RxIZ2jERb28ybXebVTI,Mulberry Learning @ Shenton Way,"6A Shenton Wy, #03-01/04/04A/05 Downtown Gallery, Singapore 068809",4.4,45,"[""establishment"", ""point_of_interest""]",1.2771468,103.8485274,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJ7TX0kGwZ2jERwoNvLj0ADek,Mulberry Learning Centre @ Tanjong Pagar,"5 Tanjong Pagar Plz, #02-01, Singapore 081005",4.9,38,"[""establishment"", ""point_of_interest"", ""school""]",1.2763368,103.8429097,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJj8lwOGwZ2jERCKcuHsVr4Z0,T.E.A.M. Student Care @ Tanjong Pagar (Cantonment),"101 Cantonment Rd, #01-04 Community Club, Singapore 089774",4.9,32,"[""establishment"", ""point_of_interest""]",1.2765467,103.8416837,True
Straits View,Straits View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Straits View, Straits View, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
