timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:57:53.174154,text_search,2,AIzaSy...8yB0,377,Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:57:56.013530,text_search,2,AIzaSy...8yB0,378,Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:57:58.569873,text_search,2,AIzaSy...8yB0,379,Sungei Kadut,Gali Batu,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:01.017812,text_search,2,AIzaSy...8yB0,380,Sungei Kadut,Gali Batu,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:03.789999,text_search,2,AIzaSy...8yB0,381,Sungei Kadut,Gali Batu,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:06.375190,text_search,2,AIzaSy...8yB0,382,Sungei Kadut,Gali Batu,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Gali Batu, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:08.745947,text_search,2,AIzaSy...8yB0,383,Sungei Kadut,Kranji,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:11.250646,text_search,2,AIzaSy...8yB0,384,Sungei Kadut,Kranji,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:13.860575,text_search,2,AIzaSy...8yB0,385,Sungei Kadut,Kranji,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:16.227436,text_search,2,AIzaSy...8yB0,386,Sungei Kadut,Kranji,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:18.698779,text_search,2,AIzaSy...8yB0,387,Sungei Kadut,Kranji,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:21.241399,text_search,2,AIzaSy...8yB0,388,Sungei Kadut,Kranji,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Kranji, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:23.653744,text_search,2,AIzaSy...8yB0,389,Sungei Kadut,Pang Sua,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:26.476730,text_search,2,AIzaSy...8yB0,390,Sungei Kadut,Pang Sua,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:29.623442,text_search,2,AIzaSy...8yB0,391,Sungei Kadut,Pang Sua,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:32.893960,text_search,2,AIzaSy...8yB0,392,Sungei Kadut,Pang Sua,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:36.508732,text_search,2,AIzaSy...8yB0,393,Sungei Kadut,Pang Sua,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:39.646876,text_search,2,AIzaSy...8yB0,394,Sungei Kadut,Pang Sua,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Pang Sua, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:42.715720,text_search,2,AIzaSy...8yB0,395,Sungei Kadut,Reservoir View,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:45.858249,text_search,2,AIzaSy...8yB0,396,Sungei Kadut,Reservoir View,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:49.195893,text_search,2,AIzaSy...8yB0,397,Sungei Kadut,Reservoir View,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:52.179115,text_search,2,AIzaSy...8yB0,398,Sungei Kadut,Reservoir View,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:55.534232,text_search,2,AIzaSy...8yB0,399,Sungei Kadut,Reservoir View,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:58:58.678541,text_search,2,AIzaSy...8yB0,400,Sungei Kadut,Reservoir View,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Reservoir View, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:02.291778,text_search,2,AIzaSy...8yB0,401,Sungei Kadut,Turf Club,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:05.521010,text_search,2,AIzaSy...8yB0,402,Sungei Kadut,Turf Club,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:08.750351,text_search,2,AIzaSy...8yB0,403,Sungei Kadut,Turf Club,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:12.228011,text_search,2,AIzaSy...8yB0,404,Sungei Kadut,Turf Club,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:15.759090,text_search,2,AIzaSy...8yB0,405,Sungei Kadut,Turf Club,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:19.411260,text_search,2,AIzaSy...8yB0,406,Sungei Kadut,Turf Club,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Turf Club, Sungei Kadut, Singapore",OK,,20,
2026-07-20T15:59:19.450883,place_details_reviews,2,AIzaSy...8yB0,406,Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,OK,,5,Queenstown Library
2026-07-20T15:59:20.412551,place_details_reviews,2,AIzaSy...8yB0,407,Sungei Kadut,Pang Sua,transport,public transport MRT LRT bus stops,ChIJ4cFBjqgT2jERDv5FoRzSn6E,OK,,5,Woodlands
2026-07-20T15:59:20.414557,place_details_reviews,2,AIzaSy...8yB0,407,Sungei Kadut,Turf Club,education,education facilities schools childcare libraries,ChIJ5-Dtl-kR2jERllI9-1NpYVY,OK,,5,Choa Chu Kang Library
2026-07-20T15:59:20.956466,place_details_reviews,2,AIzaSy...8yB0,408,Sungei Kadut,Kranji,transport,public transport MRT LRT bus stops,ChIJ54GIcUYS2jER3UQ5swvevls,OK,,5,Kranji
2026-07-20T15:59:20.957654,place_details_reviews,2,AIzaSy...8yB0,408,Sungei Kadut,Gali Batu,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:59:21.589053,place_details_reviews,2,AIzaSy...8yB0,409,Sungei Kadut,Turf Club,education,education facilities schools childcare libraries,ChIJ77M1mP4a2jERRfwA553Qz3E,OK,,5,NUS Central Library
2026-07-20T15:59:21.589852,place_details_reviews,2,AIzaSy...8yB0,409,Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,ChIJ7e11tPob2jERasVPYICVQAc,OK,,5,Buona Vista MRT Station (CC22)
2026-07-20T15:59:21.590606,place_details_reviews,2,AIzaSy...8yB0,409,Sungei Kadut,Gali Batu,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,OK,,5,Temasek Club
2026-07-20T15:59:21.591536,place_details_reviews,2,AIzaSy...8yB0,409,Sungei Kadut,Reservoir View,nature,parks gardens nature waterfront park connectors,ChIJBVVBo_EV2jER-jKR3Hy6qUk,OK,,5,Punggol Waterway Park
2026-07-20T15:59:22.375768,place_details_reviews,2,AIzaSy...8yB0,410,Sungei Kadut,Turf Club,recreation,recreation sports gyms swimming community clubs,ChIJEwW7gpoP2jER4o0mrMTZddM,OK,,5,Jurong West Sport Centre
2026-07-20T15:59:23.095342,place_details_reviews,2,AIzaSy...8yB0,411,Sungei Kadut,Reservoir View,recreation,recreation sports gyms swimming community clubs,ChIJMduSTzgQ2jERm52nxYo5Zps,OK,,5,Civil Service Club @ Bukit Batok
2026-07-20T15:59:23.831678,place_details_reviews,2,AIzaSy...8yB0,412,Sungei Kadut,Pang Sua,nature,parks gardens nature waterfront park connectors,ChIJRzglD-wR2jERgCmyEeAecXI,OK,,5,Choa Chu Kang Park
