planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Sungei Kadut,Gali Batu,education,20,4.69,2425,93.8
Sungei Kadut,Gali Batu,transport,20,4.245,2014,84.9
Sungei Kadut,Gali Batu,food,20,4.16,125042,83.2
Sungei Kadut,Gali Batu,shopping,20,4.11,95307,82.2
Sungei Kadut,Gali Batu,recreation,20,4.13,10754,82.6
Sungei Kadut,Gali Batu,nature,20,4.435,34421,88.7
Sungei Kadut,Kranji,education,20,4.763,2211,95.26
Sungei Kadut,Kranji,transport,20,4.385,3274,87.7
Sungei Kadut,Kranji,food,20,4.115,129450,82.3
Sungei Kadut,Kranji,shopping,20,4.2,107665,84.0
Sungei Kadut,Kranji,recreation,20,4.245,14216,84.9
Sungei Kadut,Kranji,nature,20,4.425,24846,88.5
Sungei Kadut,Pang Sua,education,20,4.394,2646,87.88
Sungei Kadut,Pang Sua,transport,20,4.12,2474,82.4
Sungei Kadut,Pang Sua,food,20,4.09,123639,81.8
Sungei Kadut,Pang Sua,shopping,20,4.14,60958,82.8
Sungei Kadut,Pang Sua,recreation,20,4.235,15270,84.7
Sungei Kadut,Pang Sua,nature,20,4.425,16516,88.5
Sungei Kadut,Reservoir View,education,20,4.458,2750,89.16
Sungei Kadut,Reservoir View,transport,20,4.18,2270,83.6
Sungei Kadut,Reservoir View,food,20,4.075,83442,81.5
Sungei Kadut,Reservoir View,shopping,20,4.23,88016,84.6
Sungei Kadut,Reservoir View,recreation,20,4.2,13182,84.0
Sungei Kadut,Reservoir View,nature,20,4.41,26016,88.2
Sungei Kadut,Turf Club,education,20,4.711,1191,94.22
Sungei Kadut,Turf Club,transport,20,4.245,3806,84.9
Sungei Kadut,Turf Club,food,20,4.145,118393,82.9
Sungei Kadut,Turf Club,shopping,20,4.15,77127,83.0
Sungei Kadut,Turf Club,recreation,20,4.185,15152,83.7
Sungei Kadut,Turf Club,nature,20,4.425,23902,88.5
