planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJAQAA8AUa2jER4V2WHzwbWjg,Green Pastures Child Centre,"28 Duke's Rd, Singapore 268910",5.0,30,"[""establishment"", ""point_of_interest""]",1.3217482,103.8107527,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJZ3B4xVYR2jERdQhLoumwiA8,in:genius Student Care @ Jurong Gateway,"135 Jurong Gateway Rd, #04-339, Singapore 600135",4.9,43,"[""establishment"", ""point_of_interest""]",1.3338103,103.7397212,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJgSLBhIAQ2jER03pM4hD-5EY,Tay Eng Soon Library,"535A Clementi Rd, Singapore 599490 Clementi Rd, Singapore 599490",4.4,7,"[""establishment"", ""library"", ""point_of_interest""]",1.3298003,103.7757296,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJL2b6iToa2jERLPjNN7hKfIE,Children's Cove Preschool,"58 Jln Penjara, Singapore 149382",4.7,103,"[""establishment"", ""point_of_interest"", ""school""]",1.2993345,103.8071035,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJnYM95Z0X2jER_N8y5iFtqqA,Kidz Treehouse,"21 Serangoon North Ave 4, Singapore 555855",4.6,42,"[""establishment"", ""point_of_interest""]",1.3728523,103.8745871,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ32vX2ykb2jERclqJdZwnEfs,The Ark of Knowledge Education Centre,"446 Clementi Ave 3, #01-191, Singapore 120446",5.0,2,"[""establishment"", ""point_of_interest""]",1.3126088,103.7649879,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ5-Dtl-kR2jERllI9-1NpYVY,Choa Chu Kang Library,"21 Choa Chu Kang Avenue 4 #04-01/02 and #05-06, Lot One Shopper’s Mall, Singapore 689812",4.3,280,"[""establishment"", ""library"", ""point_of_interest""]",1.384977,103.7452205,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJp4_y7ccR2jERSt3nPw7Te_E,Little Footprints Preschool @ ITE West,"1 Choa Chu Kang Grv, Singapore 688236",4.9,44,"[""establishment"", ""point_of_interest"", ""school""]",1.3760208,103.752942,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJqVqJA6YT2jERen84koMFzGM,Woodlands Library,"900 S Woodlands Dr, #01-03 Civic Centre, Singapore 730900",4.3,488,"[""establishment"", ""library"", ""point_of_interest""]",1.4349053,103.78678,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ77M1mP4a2jERRfwA553Qz3E,NUS Central Library,"12 Kent Ridge Cres, Singapore 119275",4.6,166,"[""establishment"", ""library"", ""point_of_interest""]",1.2965182,103.773145,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJh-bVYOgT2jERnSDkw1F-WjM,PlayFACTO School @ Woods Square | Student Care Woodlands,"8 Woodlands Square, Solo 2, #04-25 Woods Square, Singapore 737713",5.0,122,"[""establishment"", ""point_of_interest""]",1.4353,103.7855651,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,"53 Margaret Dr, Singapore 149297",4.6,422,"[""establishment"", ""library"", ""point_of_interest""]",1.2986449,103.8051823,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Sungei Kadut,Gali Batu,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Gali Batu, Sungei Kadut, Singapore",ChIJk4Q1Bg4R2jER1LEf2I2Jx_U,MindChamps PreSchool @ Temasek Club,"131 Rifle Range Rd, #03-01 Temasek Club, Singapore 588406",5.0,53,"[""establishment"", ""point_of_interest"", ""school""]",1.3465272,103.7806957,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJW42fz6YT2jERCG34dWBN8Qo,Gali Batu (MRT) Depot,"350 Woodlands Rd, Singapore 677730",4.4,34,"[""establishment"", ""point_of_interest""]",1.4038632,103.7571322,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJ80ix5Gga2jERdXgSC68O6Xs,Ghim Moh Ter,Singapore,4.5,11,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3110525,103.7893395,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJOdueMVIa2jERhE4TnhWtNpo,Kent Ridge,"301 South Buona Vista Rd, Singapore 118177",4.3,98,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.29346,103.78463,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJox37CGEa2jERvtedS0eQ6FA,Dover Stn Exit A,Singapore,4.6,7,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.311234,103.778381,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJLXDxn7wR2jERI6bdKcYEx2s,Bt Panjang Stn Exit A/LRT,Singapore,4.4,14,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.37863,103.76219,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJHSFoU_ka2jER1hxgW5i82tQ,Kent Ridge Ter,Singapore,4.1,86,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.294253,103.769882,True
Sungei Kadut,Gali Batu,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Gali Batu, Sungei Kadut, Singapore",ChIJgdH0REIa2jERnNvlj82_wz8,Buona Vista Stn Exit C,Singapore,4.6,9,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3064951,103.7905453,True
