timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:59:29.725172,text_search,2,AIzaSy...8yB0,415,Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:32.819781,text_search,2,AIzaSy...8yB0,416,Tampines,Simei,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:36.206671,text_search,2,AIzaSy...8yB0,417,Tampines,Simei,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:39.480552,text_search,2,AIzaSy...8yB0,418,Tampines,Simei,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:42.935321,text_search,2,AIzaSy...8yB0,419,Tampines,Simei,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:47.008585,text_search,2,AIzaSy...8yB0,420,Tampines,Simei,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Simei, Tampines, Singapore",OK,,20,
2026-07-20T15:59:50.769910,text_search,2,AIzaSy...8yB0,421,Tampines,Tampines East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T15:59:53.458759,text_search,2,AIzaSy...8yB0,422,Tampines,Tampines East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T15:59:57.219066,text_search,2,AIzaSy...8yB0,423,Tampines,Tampines East,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T16:00:00.505828,text_search,2,AIzaSy...8yB0,424,Tampines,Tampines East,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T16:00:04.212107,text_search,2,AIzaSy...8yB0,425,Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T16:00:07.256565,text_search,2,AIzaSy...8yB0,426,Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Tampines East, Tampines, Singapore",OK,,20,
2026-07-20T16:00:10.432251,text_search,2,AIzaSy...8yB0,427,Tampines,Tampines North,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:13.734786,text_search,2,AIzaSy...8yB0,428,Tampines,Tampines North,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:17.263103,text_search,2,AIzaSy...8yB0,429,Tampines,Tampines North,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:20.488376,text_search,2,AIzaSy...8yB0,430,Tampines,Tampines North,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:23.716307,text_search,2,AIzaSy...8yB0,431,Tampines,Tampines North,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:26.928112,text_search,2,AIzaSy...8yB0,432,Tampines,Tampines North,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Tampines North, Tampines, Singapore",OK,,20,
2026-07-20T16:00:29.938295,text_search,2,AIzaSy...8yB0,433,Tampines,Tampines West,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:33.391723,text_search,2,AIzaSy...8yB0,434,Tampines,Tampines West,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:36.329727,text_search,2,AIzaSy...8yB0,435,Tampines,Tampines West,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:40.000805,text_search,2,AIzaSy...8yB0,436,Tampines,Tampines West,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:43.412237,text_search,2,AIzaSy...8yB0,437,Tampines,Tampines West,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:46.727205,text_search,2,AIzaSy...8yB0,438,Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Tampines West, Tampines, Singapore",OK,,20,
2026-07-20T16:00:49.584700,text_search,2,AIzaSy...8yB0,439,Tampines,Xilin,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Xilin, Tampines, Singapore",OK,,20,
2026-07-20T16:00:52.489311,text_search,2,AIzaSy...8yB0,440,Tampines,Xilin,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Xilin, Tampines, Singapore",OK,,20,
2026-07-20T16:00:55.851748,text_search,2,AIzaSy...8yB0,441,Tampines,Xilin,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Xilin, Tampines, Singapore",OK,,20,
2026-07-20T16:00:58.582127,text_search,2,AIzaSy...8yB0,442,Tampines,Xilin,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Xilin, Tampines, Singapore",OK,,20,
