planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Tampines,Simei,education,20,4.632,1989,92.64
Tampines,Simei,transport,20,4.315,4166,86.3
Tampines,Simei,food,20,4.115,117903,82.3
Tampines,Simei,shopping,20,4.225,85764,84.5
Tampines,Simei,recreation,20,4.23,27607,84.6
Tampines,Simei,nature,20,4.41,19793,88.2
Tampines,Tampines East,education,20,4.82,1549,96.4
Tampines,Tampines East,transport,20,4.285,2216,85.7
Tampines,Tampines East,food,20,4.12,46478,82.4
Tampines,Tampines East,shopping,20,4.21,78389,84.2
Tampines,Tampines East,recreation,20,4.315,28602,86.3
Tampines,Tampines East,nature,20,4.345,8347,86.9
Tampines,Tampines North,education,20,4.79,14529,95.8
Tampines,Tampines North,transport,20,4.365,3487,87.3
Tampines,Tampines North,food,20,4.215,41525,84.3
Tampines,Tampines North,shopping,20,4.25,68245,85.0
Tampines,Tampines North,recreation,20,4.34,23749,86.8
Tampines,Tampines North,nature,20,4.385,7323,87.7
Tampines,Tampines West,education,20,4.785,14881,95.7
Tampines,Tampines West,transport,20,4.405,2929,88.1
Tampines,Tampines West,food,20,4.27,46761,85.4
Tampines,Tampines West,shopping,20,4.195,67652,83.9
Tampines,Tampines West,recreation,20,4.43,23666,88.6
Tampines,Tampines West,nature,20,4.425,8841,88.5
Tampines,Xilin,education,20,4.883,14442,97.66
Tampines,Xilin,transport,20,4.205,2905,84.1
Tampines,Xilin,food,20,4.245,161295,84.9
Tampines,Xilin,shopping,20,4.22,105901,84.4
Tampines,Xilin,recreation,20,4.295,28182,85.9
Tampines,Xilin,nature,20,4.44,27273,88.8
