planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Tampines,Simei,education,10,3.8,5,0,1,6,4,1,0,0,1,0,0,1,"Review of ✔️NLB Public Library Tampines Regional at Our Tampines Hub (OTH) 👍 On November 18, 2025, I had the opportunity to visit the large community centre, Our Tampines Hub (OTH)... || Step into a space where curiosity thrives and knowledge knows no bounds. The Tampines Library isn’t just a building of books—it’s an inviting haven designed to spark learning and i... || One of the best libraries in Singapore, hands down. This place is more than just a library it’s a full lifestyle and learning hub. Spread across five levels, the space is huge, mod...",5,-5,3,0,1,-1
Tampines,Simei,transport,10,4.1,0,0,0,3,3,0,0,0,2,0,0,0,"Tampines MRT Station (EW2/DT32) is a major, highly integrated transit hub that serves as the primary gateway to Singapore’s bustling East. Combining an elevated station on the East... || Nice and clean station, very busy all the time. Use for daily commute to work. Also an interchange to connect to other train line and bus services. Took the train early this mornin... || This station is the ultimate example of urban connectivity. It's a big intersection where the Downtown Line (DTL/Blue) and the East-West Line (EWL/Green) meet up, making it the bes...",0,-3,3,0,2,0
Tampines,Simei,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Tampines,Simei,shopping,10,4.8,0,0,0,5,2,0,0,0,9,0,2,0,"Tampines mall has so many shops.singtel,m1,starhub all in 1 place... Toys r us,popular bookstore,clothing shops some of them r Uniqlo,bossini,cotton on,Giordano,everybody would env... || If you live in the East, Tampines Mall is likely your second home. As one of the most established neighbourhood malls in Singapore, it remains a powerhouse for shopping, dining, an... || There are 3 plazas in Tampines, basically covering all the brands you’d normally need. The food options have also grown a lot—many more fragrance hotpot stalls, and even Lanzhou be...",0,-5,2,0,9,2
Tampines,Simei,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Tampines,Simei,nature,10,4.7,5,0,2,2,3,0,0,0,3,0,0,0,"Woodlands Waterfront Park is a relaxing and scenic park located in the northern part of Singapore. It faces the Straits of Johor, so visitors can actually see Malaysia across the w... || This seaside park has an interesting history. The jetty, which is the centerpiece of the park, was a mooring location for the Malayan/Malaysian Navy when Singapore was still within... || It's a beautiful place we can see Singapore and Malaysia at that same time. When I went it's full rainy and I took photoshoot there. We want to spend peace area I will suggest The ...",5,0,3,0,3,0
Tampines,Tampines East,education,10,4.9,4,0,1,5,4,0,0,0,1,0,0,0,"Review of ✔️NLB Public Library Tampines Regional at Our Tampines Hub (OTH) 👍 On November 18, 2025, I had the opportunity to visit the large community centre, Our Tampines Hub (OTH)... || Step into a space where curiosity thrives and knowledge knows no bounds. The Tampines Library isn’t just a building of books—it’s an inviting haven designed to spark learning and i... || One of the best libraries in Singapore, hands down. This place is more than just a library it’s a full lifestyle and learning hub. Spread across five levels, the space is huge, mod...",4,-4,4,0,1,0
Tampines,Tampines East,transport,10,3.8,0,0,0,3,1,0,0,0,6,0,0,1,"Tampines MRT Station (EW2/DT32) is a major, highly integrated transit hub that serves as the primary gateway to Singapore’s bustling East. Combining an elevated station on the East... || Nice and clean station, very busy all the time. Use for daily commute to work. Also an interchange to connect to other train line and bus services. Took the train early this mornin... || This station is the ultimate example of urban connectivity. It's a big intersection where the Downtown Line (DTL/Blue) and the East-West Line (EWL/Green) meet up, making it the bes...",0,-3,1,0,6,-1
Tampines,Tampines East,food,10,4.3,0,0,0,0,0,0,0,0,0,0,0,1,"Pancake quality: Freshly made at the right texture, not too dry nor hard. Price: Reasonable. Store Cleanliness: Good. Staff: Helpful, patience and attentive. Tried & Recommend: - R... || My first time buying from this outlet. I go for Munchi Red Bean instead of the traditional one called Ming Jiang Kueh. This round piece of Munchi is generously filled with red bean... || I visited this stall today and bought some min jiang kueh. The display food items looked yummy and tasty. The staffs were friendly and nice. Overall, a great experience.",0,0,0,0,0,-1
Tampines,Tampines East,shopping,10,4.9,0,0,1,4,2,0,0,0,6,0,2,0,"Tampines mall has so many shops.singtel,m1,starhub all in 1 place... Toys r us,popular bookstore,clothing shops some of them r Uniqlo,bossini,cotton on,Giordano,everybody would env... || If you live in the East, Tampines Mall is likely your second home. As one of the most established neighbourhood malls in Singapore, it remains a powerhouse for shopping, dining, an... || There are 3 plazas in Tampines, basically covering all the brands you’d normally need. The food options have also grown a lot—many more fragrance hotpot stalls, and even Lanzhou be...",0,-3,2,0,6,2
Tampines,Tampines East,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Tampines,Tampines East,nature,10,4.5,5,0,3,2,3,0,0,0,1,0,0,0,"Beautiful park in the middle of housing estate in Sengkang. Opened area with plenty of space for outdoor activities and picnics. There is a Tenderbest restaurant nearby. Clean and ... || Love this park. Scenic. Bridges. Ponds. Chickens. Parrots. After a jog/walk, hop in to Tenderbest for a cuppa. Bliss. || Big open space. Terrapins roam free (don't feel, I guess and be careful of where you step). Also monitor lizards. Peaceful, air is so clean and fresh. Love the views and the vibes....",5,1,3,0,1,0
Tampines,Tampines North,education,10,4.8,4,0,1,8,3,0,0,0,3,0,0,0,"Our Tampines Hub (OTH) continues to be one of the most vibrant community spaces in Singapore. Even on a late weekday evening, the energy here is unmistakable. Here’s a review from ... || I like Purple Panda because the staff are friendly, patient. I haven’t tried their food yet, but I’ve heard good things about it, so I’m looking forward to giving it a try next tim... || Tampines Hub (OTH) is truly an excellent community hub with a wide range of amenities under one roof. From the food court and sports facilities to live performances and a one-stop ...",4,-7,3,0,3,0
Tampines,Tampines North,transport,10,4.1,0,0,0,3,3,1,0,0,2,1,0,0,"Tampines MRT Station (EW2/DT32) is a major, highly integrated transit hub that serves as the primary gateway to Singapore’s bustling East. Combining an elevated station on the East... || Nice and clean station, very busy all the time. Use for daily commute to work. Also an interchange to connect to other train line and bus services. Took the train early this mornin... || This station is the ultimate example of urban connectivity. It's a big intersection where the Downtown Line (DTL/Blue) and the East-West Line (EWL/Green) meet up, making it the bes...",0,-3,2,0,1,0
Tampines,Tampines North,food,10,4.0,0,0,0,0,0,1,0,0,0,0,1,1,"Favourite hawker center, especially at night, for delicious foods. Worth trying various nice foods and drinks there. But hard to find parking space near by. I need to park at carpa... || Super yummy spot HAHA Come here to eat quite often with my boyfriend The lor mee is really nice with crispy fish! Can taste the lor sauce. BCM is also good and I love the otah HAHA... || This food center is quite poplar in the east area. They have stalls covering breakfast, lunch, dinner and supper crowds. They are famous for Bak Chor Mee, Grilled Chicken Wings, Ch...",0,0,-1,0,0,0
Tampines,Tampines North,shopping,10,4.9,0,0,0,5,2,0,0,0,7,0,1,0,"Our Tampines Hub (OTH) continues to be one of the most vibrant community spaces in Singapore. Even on a late weekday evening, the energy here is unmistakable. Here’s a review from ... || I like Purple Panda because the staff are friendly, patient. I haven’t tried their food yet, but I’ve heard good things about it, so I’m looking forward to giving it a try next tim... || Tampines Hub (OTH) is truly an excellent community hub with a wide range of amenities under one roof. From the food court and sports facilities to live performances and a one-stop ...",0,-5,2,0,7,1
Tampines,Tampines North,recreation,10,4.4,0,0,2,3,1,0,0,0,2,0,0,0,"Our Tampines Hub (OTH) continues to be one of the most vibrant community spaces in Singapore. Even on a late weekday evening, the energy here is unmistakable. Here’s a review from ... || I like Purple Panda because the staff are friendly, patient. I haven’t tried their food yet, but I’ve heard good things about it, so I’m looking forward to giving it a try next tim... || Tampines Hub (OTH) is truly an excellent community hub with a wide range of amenities under one roof. From the food court and sports facilities to live performances and a one-stop ...",0,-1,1,0,2,0
