planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJq6qaUx892jERKuxoBdGvvEI,KidsCampus Changi Simei Childcare & Infant Care Centre,"10 Simei Street 2, #04-01 Community Club, Singapore 529915",5.0,61,"[""establishment"", ""point_of_interest""]",1.3449742,103.955191,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJ4f-PviI92jERgXmfZjwzxyc,Star Learners @ Changi Simei | Preschool & Childcare,"114 Simei Street 1, #01-614, Singapore 520114",4.9,31,"[""establishment"", ""point_of_interest"", ""school""]",1.34375,103.950429,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJZTvjsDI92jERmDyyM9PEjXo,Learning Studio Educare in Changkat Primary (Student Care Centre),"11 Simei St 3, Singapore 529896",2.3,3,"[""establishment"", ""point_of_interest""]",1.340245,103.9522864,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJWSC0zQw92jERJKMGnlWE3BQ,My First Skool at East Point Mall,"3 Simei Street 6, #06-06 East Point Mall, Singapore 528833",4.7,18,"[""establishment"", ""point_of_interest"", ""school""]",1.3427303,103.9530181,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJk3JbP-E92jER77YB5AFw7Z8,BIG EINSTEIN ACADEMY,"BLK 497C Tampines Street 45, #01-54, Singapore 522497",5.0,5,"[""establishment"", ""point_of_interest"", ""school""]",1.3584682,103.9588649,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJKxUegiY92jERh5RG0tz3974,Star Learners @ Simei | Preschool & Childcare,"9 Harvey Ave, Singapore 489480",5.0,33,"[""establishment"", ""point_of_interest"", ""school""]",1.3378518,103.9549853,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJrzknUh892jERvwiQA4cBlu4,Changi Simei Community Club,"10 Simei Street 2, Singapore 529915",4.2,908,"[""establishment"", ""point_of_interest""]",1.3448021,103.9550323,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJK3iC7BQ92jERPNZk0GmxeWs,Learning Kidz @ Tampines Point,"2 Tampines Central 6, #03-01 Income @, Tampines Point, Singapore 529483",4.6,21,"[""establishment"", ""point_of_interest"", ""school""]",1.3526533,103.9424517,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJr8Fxq5892jERPXA_JMrVjDI,Children Primaryland Student Care and Tuition,"Tampines St45 Blk497H #01-92, 497H Tampines Street 45, Block 497H, Singapore 526497",5.0,8,"[""establishment"", ""point_of_interest""]",1.3596067,103.9598611,True
Tampines,Simei,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Simei, Tampines, Singapore",ChIJ8V6JYQ492jERAjykK83B_KU,Tampines Library,"1 Tampines Walk, #02-01 Our Tampines Hub, Singapore 528523",4.4,598,"[""establishment"", ""library"", ""point_of_interest""]",1.3522195,103.941163,True
