timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-17T23:14:21.709276,text_search,1,AIzaSy...IDGw,907,Tengah,Brickland,education,kindergarten,"kindergarten in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:22.605608,text_search,1,AIzaSy...IDGw,908,Tengah,Brickland,education,childcare centre,"childcare centre in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:23.359987,text_search,1,AIzaSy...IDGw,909,Tengah,Brickland,education,primary school,"primary school in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:24.465520,text_search,1,AIzaSy...IDGw,910,Tengah,Brickland,education,secondary school,"secondary school in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:25.317659,text_search,1,AIzaSy...IDGw,911,Tengah,Brickland,education,junior college,"junior college in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:26.374005,text_search,1,AIzaSy...IDGw,912,Tengah,Brickland,education,polytechnic,"polytechnic in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:27.094747,text_search,1,AIzaSy...IDGw,913,Tengah,Brickland,education,university,"university in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:27.857892,text_search,1,AIzaSy...IDGw,914,Tengah,Brickland,education,tuition centre,"tuition centre in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:28.792690,text_search,1,AIzaSy...IDGw,915,Tengah,Brickland,education,library,"library in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:29.743274,text_search,1,AIzaSy...IDGw,916,Tengah,Brickland,transport,MRT station,"MRT station in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:30.458101,text_search,1,AIzaSy...IDGw,917,Tengah,Brickland,transport,bus stop,"bus stop in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:31.641890,text_search,1,AIzaSy...IDGw,918,Tengah,Brickland,transport,bus interchange,"bus interchange in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:32.660943,text_search,1,AIzaSy...IDGw,919,Tengah,Brickland,transport,LRT station,"LRT station in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:33.776701,text_search,1,AIzaSy...IDGw,920,Tengah,Brickland,food,hawker centre,"hawker centre in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:34.451096,text_search,1,AIzaSy...IDGw,921,Tengah,Brickland,food,food court,"food court in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:35.585768,text_search,1,AIzaSy...IDGw,922,Tengah,Brickland,food,coffee shop,"coffee shop in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:36.595130,text_search,1,AIzaSy...IDGw,923,Tengah,Brickland,food,restaurant,"restaurant in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:37.489483,text_search,1,AIzaSy...IDGw,924,Tengah,Brickland,food,cafe,"cafe in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:38.355267,text_search,1,AIzaSy...IDGw,925,Tengah,Brickland,shopping,shopping mall,"shopping mall in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:39.529465,text_search,1,AIzaSy...IDGw,926,Tengah,Brickland,shopping,supermarket,"supermarket in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:40.400885,text_search,1,AIzaSy...IDGw,927,Tengah,Brickland,shopping,grocery store,"grocery store in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:41.377649,text_search,1,AIzaSy...IDGw,928,Tengah,Brickland,shopping,convenience store,"convenience store in Brickland, Tengah, Singapore",OK,,12,
2026-07-17T23:14:42.645109,text_search,1,AIzaSy...IDGw,929,Tengah,Brickland,shopping,wet market,"wet market in Brickland, Tengah, Singapore",OK,,8,
2026-07-17T23:14:43.472064,text_search,1,AIzaSy...IDGw,930,Tengah,Brickland,recreation,gym,"gym in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:44.333567,text_search,1,AIzaSy...IDGw,931,Tengah,Brickland,recreation,sports centre,"sports centre in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:45.085895,text_search,1,AIzaSy...IDGw,932,Tengah,Brickland,recreation,swimming complex,"swimming complex in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:45.970007,text_search,1,AIzaSy...IDGw,933,Tengah,Brickland,recreation,cinema,"cinema in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:46.822756,text_search,1,AIzaSy...IDGw,934,Tengah,Brickland,recreation,community club,"community club in Brickland, Tengah, Singapore",OK,,15,
2026-07-17T23:14:47.730480,text_search,1,AIzaSy...IDGw,935,Tengah,Brickland,recreation,playground,"playground in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:48.812706,text_search,1,AIzaSy...IDGw,936,Tengah,Brickland,nature,park,"park in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:49.983766,text_search,1,AIzaSy...IDGw,937,Tengah,Brickland,nature,nature reserve,"nature reserve in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:51.026124,text_search,1,AIzaSy...IDGw,938,Tengah,Brickland,nature,garden,"garden in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:51.747704,text_search,1,AIzaSy...IDGw,939,Tengah,Brickland,nature,beach,"beach in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:52.767300,text_search,1,AIzaSy...IDGw,940,Tengah,Brickland,nature,waterfront,"waterfront in Brickland, Tengah, Singapore",OK,,20,
2026-07-17T23:14:53.674774,text_search,1,AIzaSy...IDGw,941,Tengah,Brickland,nature,park connector,"park connector in Brickland, Tengah, Singapore",OK,,17,
2026-07-17T23:14:54.669996,text_search,1,AIzaSy...IDGw,942,Tengah,Forest Hill,education,kindergarten,"kindergarten in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:14:55.578916,text_search,1,AIzaSy...IDGw,943,Tengah,Forest Hill,education,childcare centre,"childcare centre in Forest Hill, Tengah, Singapore",OK,,19,
2026-07-17T23:14:56.632555,text_search,1,AIzaSy...IDGw,944,Tengah,Forest Hill,education,primary school,"primary school in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:14:57.559670,text_search,1,AIzaSy...IDGw,945,Tengah,Forest Hill,education,secondary school,"secondary school in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:14:58.251461,text_search,1,AIzaSy...IDGw,946,Tengah,Forest Hill,education,junior college,"junior college in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:14:59.057814,text_search,1,AIzaSy...IDGw,947,Tengah,Forest Hill,education,polytechnic,"polytechnic in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:14:59.869932,text_search,1,AIzaSy...IDGw,948,Tengah,Forest Hill,education,university,"university in Forest Hill, Tengah, Singapore",OK,,17,
2026-07-17T23:15:00.636931,text_search,1,AIzaSy...IDGw,949,Tengah,Forest Hill,education,tuition centre,"tuition centre in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:15:01.756226,text_search,2,AIzaSy...8yB0,0,Tengah,Forest Hill,education,library,"library in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:15:02.626087,text_search,2,AIzaSy...8yB0,1,Tengah,Forest Hill,transport,MRT station,"MRT station in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:15:03.457796,text_search,2,AIzaSy...8yB0,2,Tengah,Forest Hill,transport,bus stop,"bus stop in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:15:04.223677,text_search,2,AIzaSy...8yB0,3,Tengah,Forest Hill,transport,bus interchange,"bus interchange in Forest Hill, Tengah, Singapore",OK,,17,
2026-07-17T23:15:05.138028,text_search,2,AIzaSy...8yB0,4,Tengah,Forest Hill,transport,LRT station,"LRT station in Forest Hill, Tengah, Singapore",OK,,20,
2026-07-17T23:15:06.282531,text_search,2,AIzaSy...8yB0,5,Tengah,Forest Hill,food,hawker centre,"hawker centre in Forest Hill, Tengah, Singapore",OK,,20,
