planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Tengah,Brickland,education,18,4.443,4684,88.86
Tengah,Brickland,transport,6,3.9,323,78.0
Tengah,Brickland,food,9,4.489,1927,89.78
Tengah,Brickland,shopping,10,4.17,13929,83.4
Tengah,Brickland,recreation,11,4.573,7174,91.46
Tengah,Brickland,nature,12,4.525,9233,90.5
Tengah,Forest Hill,education,17,4.492,5136,89.84
Tengah,Forest Hill,transport,6,3.933,523,78.66
Tengah,Forest Hill,food,9,4.278,10523,85.56
Tengah,Forest Hill,shopping,8,4.125,2048,82.5
Tengah,Forest Hill,recreation,11,4.56,3628,91.2
Tengah,Forest Hill,nature,12,4.517,23555,90.34
Tengah,Garden,education,15,4.28,2408,85.6
Tengah,Garden,transport,4,3.725,936,74.5
Tengah,Garden,food,9,4.078,4105,81.56
Tengah,Garden,shopping,7,4.029,1449,80.58
Tengah,Garden,recreation,10,4.47,6939,89.4
Tengah,Garden,nature,10,4.63,3657,92.6
Tengah,Park,education,15,4.445,297,88.9
Tengah,Park,transport,4,3.533,71,70.66
Tengah,Park,food,6,4.283,2458,85.66
Tengah,Park,shopping,7,3.971,1530,79.42
Tengah,Park,recreation,10,4.54,4472,90.8
Tengah,Park,nature,11,4.418,3566,88.36
Tengah,Plantation,education,17,4.543,7226,90.86
Tengah,Plantation,transport,4,3.867,68,77.34
Tengah,Plantation,food,6,4.367,3283,87.34
Tengah,Plantation,shopping,6,3.883,1230,77.66
Tengah,Plantation,recreation,9,4.578,5062,91.56
Tengah,Plantation,nature,7,4.571,1360,91.42
Tengah,Tengah Industrial Estate,education,15,4.333,1068,86.66
Tengah,Tengah Industrial Estate,transport,4,3.533,71,70.66
Tengah,Tengah Industrial Estate,food,8,4.075,2748,81.5
Tengah,Tengah Industrial Estate,shopping,8,4.037,1311,80.74
Tengah,Tengah Industrial Estate,recreation,9,4.578,3732,91.56
Tengah,Tengah Industrial Estate,nature,11,4.5,3549,90.0
