planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Tengah,Brickland,education,kindergarten,"kindergarten in Brickland, Tengah, Singapore",ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,"152 W Coast Rd, Singapore 127370",4.7,10,"[""establishment"", ""point_of_interest"", ""school""]",1.30275,103.765838,True
Tengah,Brickland,education,kindergarten,"kindergarten in Brickland, Tengah, Singapore",ChIJl0mnh0sR2jER1HEmTDBJOoc,Skool4Kidz Preschool @ Tengah Parc Glen,"Blk 318 Tengah Rd, #01-01 Parc Glen, Singapore 690318",4.7,6,"[""establishment"", ""point_of_interest""]",1.3629736,103.7382722,True
Tengah,Brickland,education,childcare centre,"childcare centre in Brickland, Tengah, Singapore",ChIJG_ftUQAR2jER5WGvCt5QssI,PCF Sparkletots Preschool @ Brickland Blk 308B,"Blk 308B Tengah Park Avenue, #01-219, Singapore 692308",5.0,1,"[""establishment"", ""point_of_interest""]",1.3610564,103.7377662,True
Tengah,Brickland,education,childcare centre,"childcare centre in Brickland, Tengah, Singapore",ChIJ80D7wGMR2jERF_LNOqxx8Fw,Mulberry Learning @ Tengah,"Blk 302 Tengah Park Avenue, #03-01 Parc Point, Singapore 690302",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3609694,103.738991,True
Tengah,Brickland,education,primary school,"primary school in Brickland, Tengah, Singapore",ChIJN2U85fIa2jERU3xusMZifDo,International Community School (Singapore),"27a Jubilee Rd, Singapore 128575",4.6,101,"[""establishment"", ""point_of_interest"", ""school""]",1.3068214,103.7660743,True
Tengah,Brickland,education,primary school,"primary school in Brickland, Tengah, Singapore",ChIJd4xooCEQ2jERifojA0epL4w,Jurong Primary School,"320 Jurong East Street 32, Singapore 609476",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.348679,103.732992,True
Tengah,Brickland,education,secondary school,"secondary school in Brickland, Tengah, Singapore",ChIJ8Qmmrl4a2jERz5nCeZ7P3ME,ACS (Independent),"121 Dover Rd, Singapore 139650",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3025841,103.7807147,True
Tengah,Brickland,education,secondary school,"secondary school in Brickland, Tengah, Singapore",ChIJgxoe5j8Y2jER-IXbEoimW5Q,Broadrick Secondary School,"61 Dakota Cres, Singapore 399935",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3072755,103.8872129,True
Tengah,Brickland,education,junior college,"junior college in Brickland, Tengah, Singapore",ChIJESRAQ1sa2jERlSmmrDCCriw,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",4.0,119,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3031354,103.785109,True
Tengah,Brickland,education,junior college,"junior college in Brickland, Tengah, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Tengah,Brickland,education,polytechnic,"polytechnic in Brickland, Tengah, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,498,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
Tengah,Brickland,education,polytechnic,"polytechnic in Brickland, Tengah, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
